# PDIoT walking data,,,,,,,
# Start time: 20180925T193250,,,,,,,
# Group: A,,,,,,,
# Subject: Adela,,,,,,,
# Activity type: Climbing stairs,,,,,,,
# Sensor position: Wrist,,,,,,,
# Side of body: Left,,,,,,,
# Sensor mounting: Body,,,,,,,
# Number of steps: 50,,,,,,,
# Notes: ,,,,,,,
,,,,,,,
timestamp,seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1537900370497,0,0.4267578,-0.87109375,0.17480469,0.65625,0.34375,0.09375
1537900370498,1,0.44921875,-0.87597656,0.19042969,-5.625,-1.40625,2.78125
1537900370499,2,0.3857422,-0.80859375,0.18652344,2.78125,0.03125,3.65625
1537900370499,3,0.44140625,-0.8408203,0.2109375,-18.25,-2.53125,4.125
1537900370499,4,0.32714844,-0.83496094,0.15820312,18,2,-0.75
1537900370695,5,0.43847656,-0.85839844,0.17675781,21.65625,12.875,-2.09375
1537900370697,6,0.41308594,-0.8144531,0.203125,21.90625,9.5,-5.6875
1537900370697,7,0.42871094,-0.84277344,0.24804688,52.59375,16.65625,-11.84375
1537900370697,8,0.43652344,-0.8359375,0.28710938,52.28125,17.0625,-13.625
1537900370698,9,0.44433594,-0.8496094,0.33789062,62.4375,16.53125,-14.71875
1537900370894,10,0.4345703,-0.8613281,0.33398438,55.84375,19.6875,-14.59375
1537900370895,11,0.38671875,-0.7470703,0.32421875,36.90625,23.25,-12.03125
1537900370896,12,0.4921875,-0.8564453,0.44921875,39.84375,22.5625,-11.25
1537900370897,13,0.42871094,-0.74121094,0.40625,20.84375,14.375,-10.34375
1537900370897,14,0.47265625,-0.7871094,0.47851562,15.5625,17.3125,-9.28125
1537900371093,15,0.45214844,-0.76953125,0.4892578,22.625,10.375,-12.15625
1537900371094,16,0.4375,-0.7480469,0.4873047,8.59375,12.625,-7.53125
1537900371096,17,0.45507812,-0.6777344,0.5205078,-1.34375,13.59375,-2.40625
1537900371097,18,0.48242188,-0.75878906,0.57421875,11.15625,6.46875,-1.0625
1537900371097,19,0.45117188,-0.72265625,0.5332031,-0.875,-1.1875,-1.78125
1537900371293,20,0.4501953,-0.7060547,0.47265625,3.46875,-0.8125,-1.40625
1537900371294,21,0.4375,-0.64746094,0.48242188,34.40625,5.78125,-3
1537900371491,22,0.4814453,-0.75878906,0.5810547,20.8125,-1.34375,0.28125
1537900371492,23,0.42871094,-0.57910156,0.5332031,36.84375,-6.65625,-5.4375
1537900371493,24,0.46191406,-0.65722656,0.60253906,61.4375,6.6875,-7.03125
1537900371494,25,0.47753906,-0.60253906,0.6669922,55.15625,-4.34375,-9.0625
1537900371494,26,0.5439453,-0.5732422,0.6220703,46.1875,3.78125,-10.03125
1537900371495,27,0.46484375,-0.6123047,0.6875,18,-1.3125,-9.84375
1537900371690,28,0.46289062,-0.7158203,0.58984375,3.90625,3.40625,-0.75
1537900371690,29,0.4560547,-0.6044922,0.6591797,-19.1875,-2.21875,6.34375
1537900371691,30,0.44140625,-0.53125,0.625,-18.625,-2.59375,11.59375
1537900371692,31,0.453125,-0.5722656,0.6826172,-3.96875,3.15625,12.25
1537900371694,32,0.48242188,-0.6669922,0.68359375,-13.75,0.15625,10.0625
1537900371694,33,0.4248047,-0.58203125,0.62597656,-8.1875,0.21875,7.8125
1537900371694,34,0.45996094,-0.6376953,0.6230469,-8.1875,1.15625,6.21875
1537900371889,35,0.42382812,-0.62890625,0.6201172,-8.125,2.125,7.5
1537900371890,36,0.43066406,-0.66308594,0.5566406,-14.90625,1.5625,10.84375
1537900371891,37,0.38476562,-0.71191406,0.5878906,-16,2.59375,16.40625
1537900371892,38,0.3173828,-0.921875,0.53222656,-42.875,-3.90625,34.34375
1537900371892,39,0.15722656,-0.9951172,0.50390625,-73.6875,-10.5625,53.09375
1537900372087,40,0.08886719,-1.1064453,0.4501953,-94.1875,-10.34375,73.59375
1537900372088,41,0.061523438,-1.0429688,0.4404297,-120.125,-13.625,92.6875
1537900372088,42,0.115234375,-1,0.43554688,-112.25,-1.96875,112.21875
1537900372286,43,0.07714844,-1.0771484,0.45410156,-158.53125,-9,142.125
1537900372286,44,0.1328125,-1.0234375,0.35058594,-156.21875,-1.46875,164.65625
1537900372288,45,0.21484375,-0.9160156,0.3330078,-179.53125,-21.25,171.1875
1537900372289,46,0.23828125,-0.8066406,0.3466797,-152.1875,-37.375,161.84375
1537900372289,47,0.1953125,-0.8642578,0.18457031,-102.90625,-63.8125,140.125
1537900372289,48,0.10839844,-0.65722656,0.044921875,-79.96875,-85.90625,100.875
1537900372289,49,-0.13476562,-0.8300781,-0.045898438,-38.15625,-89.1875,67.5
1537900372486,50,-0.25878906,-0.859375,-0.10644531,-12.15625,-71.84375,29.90625
1537900372487,51,-0.31933594,-0.8964844,-0.13574219,-15.21875,-58.5,6.9375
1537900372487,52,-0.4609375,-0.7519531,-0.26367188,4.25,-32.1875,-8.75
1537900372487,53,-0.46191406,-1.1035156,-0.19140625,28.90625,-5.5,-23.15625
1537900372487,54,-0.4169922,-0.8623047,-0.115234375,5.40625,9.03125,-20.15625
1537900372686,55,-0.3515625,-0.9560547,-0.18359375,-39.1875,-9.59375,-25.34375
1537900372686,56,-0.3232422,-0.79296875,-0.107421875,-11.0625,-14.1875,-27.34375
1537900372686,57,-0.34472656,-0.91503906,-0.08886719,22.875,-6.84375,-30.15625
