"# PDIoT walking data"
"# Start time: 20180924T144223"
"# Group: C"
"# Subject: testCjoao"
"# Activity type: Walking (level ground)"
"# Sensor position: Foot"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: white part up. orange sensor"
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537796543321","0","0.60839844","-0.026367188","-0.7939453","1.46875","-0.09375","-0.75"
"1537796543322","1","0.6113281","-0.041015625","-0.7910156","1.71875","0.9375","-0.5"
"1537796543323","2","0.61035156","-0.03515625","-0.78125","1.53125","1.5","-1.34375"
"1537796543323","3","0.6113281","-0.022460938","-0.7763672","1.59375","1.5625","-1.46875"
"1537796543520","4","0.6142578","-0.03125","-0.7763672","1.90625","1.6875","-1.65625"
"1537796543521","5","0.61816406","-0.037109375","-0.77734375","1.90625","1.3125","-0.96875"
"1537796543525","6","0.61035156","-0.03125","-0.7783203","1.65625","-0.34375","-0.625"
"1537796543526","7","0.61621094","-0.03125","-0.7890625","1.15625","-0.625","-0.4375"
"1537796543526","8","0.60839844","-0.036132812","-0.7890625","1.65625","1.0","-0.375"
"1537796543526","9","0.60839844","-0.03515625","-0.7910156","1.40625","1.9375","-1.03125"
"1537796543720","10","0.6064453","-0.013671875","-0.7919922","2.34375","3.15625","-1.09375"
"1537796543720","11","0.59472656","-0.0390625","-0.7919922","4.15625","4.78125","-0.125"
"1537796543721","12","0.62402344","-0.036132812","-0.7705078","3.84375","3.6875","-0.4375"
"1537796543725","13","0.6201172","-0.020507812","-0.7792969","3.71875","2.34375","0.375"
"1537796543725","14","0.6298828","-0.043945312","-0.75683594","3.84375","0.9375","1.53125"
"1537796543918","15","0.62402344","-0.043945312","-0.76660156","3.5","-0.625","1.34375"
"1537796543918","16","0.625","-0.04296875","-0.77441406","2.625","-1.625","0.78125"
"1537796543918","17","0.62109375","-0.043945312","-0.7792969","2.34375","-1.5","0.53125"
"1537796544117","18","0.6220703","-0.043945312","-0.7861328","1.90625","-0.875","0.375"
"1537796544117","19","0.6191406","-0.04296875","-0.7841797","1.71875","0.03125","0.0"
"1537796544118","20","0.6171875","-0.046875","-0.77441406","1.59375","0.59375","-0.3125"
"1537796544119","21","0.6201172","-0.041992188","-0.77441406","1.46875","-0.03125","-0.25"
"1537796544120","22","0.6171875","-0.040039062","-0.77246094","1.46875","-0.34375","-0.125"
"1537796544120","23","0.6171875","-0.03515625","-0.7783203","2.03125","0.21875","0.1875"
"1537796544121","24","0.6152344","-0.04296875","-0.76953125","2.8125","0.15625","0.84375"
"1537796544315","25","0.6201172","-0.046875","-0.7705078","2.875","-0.625","1.21875"
"1537796544316","26","0.61621094","-0.047851562","-0.7714844","2.5","-2.03125","1.28125"
"1537796544316","27","0.6152344","-0.049804688","-0.78027344","2.15625","-1.8125","0.96875"
"1537796544316","28","0.6123047","-0.046875","-0.78222656","2.28125","-1.0","0.84375"
"1537796544318","29","0.61328125","-0.0546875","-0.77734375","1.84375","-1.0","0.46875"
