"# PDIoT walking data"
"# Start time: 20180925T180641"
"# Group: D"
"# Subject: Goda"
"# Activity type: Walking (level ground)"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537895201836","0","0.020507812","-0.96484375","-0.20703125","1.0625","-0.3125","-5.25"
"1537895201838","1","0.0078125","-0.9814453","-0.20410156","2.75","-0.90625","-4.34375"
"1537895201838","2","0.001953125","-0.96777344","-0.20996094","4.0","-1.65625","-3.34375"
"1537895201840","3","-0.0029296875","-0.9638672","-0.21679688","5.6875","-1.40625","-3.0"
"1537895201841","4","-0.0107421875","-0.9824219","-0.21972656","6.625","-2.3125","-2.125"
"1537895202233","5","-0.015625","-0.9785156","-0.22851562","7.09375","-2.375","-1.03125"
"1537895202234","6","-0.024414062","-0.96777344","-0.2265625","7.46875","-0.4375","-0.96875"
"1537895202234","7","-0.0234375","-1.0126953","-0.22558594","8.5","0.96875","0.96875"
"1537895202235","8","-0.020507812","-1.0195312","-0.22949219","9.28125","1.21875","3.90625"
"1537895202236","9","-0.0078125","-0.95410156","-0.23535156","10.28125","0.59375","4.09375"
"1537895202237","10","0.0126953125","-0.9355469","-0.23828125","9.59375","-1.90625","3.90625"
"1537895202238","11","0.047851562","-0.9980469","-0.21386719","7.46875","-0.90625","4.46875"
"1537895202239","12","0.06347656","-1.0595703","-0.23242188","4.84375","-2.4375","3.78125"
"1537895202239","13","0.10449219","-1.0390625","-0.23632812","2.28125","-2.4375","-2.9375"
"1537895202433","14","0.13183594","-0.9921875","-0.27246094","-1.375","-2.375","-14.84375"
"1537895202433","15","0.17871094","-0.89160156","-0.28222656","-9.5","-7.875","-26.625"
"1537895202433","16","0.19726562","-0.9511719","-0.30273438","-12.5","-13.25","-28.875"
"1537895202434","17","0.18652344","-1.0058594","-0.30078125","-16.65625","-22.03125","-23.0625"
"1537895202435","18","0.16796875","-0.9765625","-0.31640625","-17.875","-18.375","-21.1875"
"1537895202435","19","0.16796875","-0.97265625","-0.3310547","-18.40625","-7.8125","-23.875"
"1537895202631","20","0.19335938","-0.94433594","-0.33203125","-18.15625","1.875","-28.6875"
"1537895202632","21","0.24023438","-0.9199219","-0.3154297","-20.625","-4.75","-31.96875"
"1537895202632","22","0.23046875","-0.86328125","-0.3388672","-25.0625","-19.53125","-31.96875"
"1537895202632","23","0.20117188","-0.8496094","-0.35351562","-25.625","-14.34375","-27.59375"
"1537895202633","24","0.21386719","-0.83984375","-0.3251953","-23.28125","-3.3125","-22.40625"
"1537895202832","25","0.22363281","-0.85253906","-0.30078125","-18.71875","-2.8125","-16.46875"
"1537895202832","26","0.18945312","-0.87597656","-0.2861328","-13.09375","-9.65625","-7.4375"
"1537895202832","27","0.1484375","-0.9628906","-0.26171875","-3.875","-12.46875","5.375"
"1537895202832","28","0.08105469","-1.0576172","-0.24414062","7.53125","-11.71875","21.125"
"1537895202833","29","0.0146484375","-1.1962891","-0.2578125","21.5625","-7.5625","40.53125"
"1537895203229","30","-0.0078125","-1.2099609","-0.23925781","36.09375","7.25","55.65625"
"1537895203427","31","-0.021484375","-1.0585938","-0.23730469","44.875","18.75","57.1875"
"1537895203427","32","-0.013671875","-0.8222656","-0.2421875","43.90625","23.8125","47.0625"
"1537895203427","33","0.005859375","-0.8671875","-0.203125","38.84375","20.125","37.65625"
"1537895203427","34","-0.01953125","-1.0","-0.16601562","23.75","15.5625","33.4375"
"1537895203429","35","-0.034179688","-1.0791016","-0.15625","13.1875","20.09375","30.09375"
"1537895203429","36","-0.068359375","-1.0615234","-0.21875","10.6875","36.0625","25.9375"
"1537895203429","37","-0.0146484375","-0.8808594","-0.21679688","13.15625","50.03125","18.125"
"1537895203430","38","0.0234375","-0.875","-0.16601562","17.34375","51.5","14.53125"
"1537895203431","39","0.0126953125","-0.8388672","-0.20605469","15.28125","33.6875","16.90625"
"1537895203625","40","0.037109375","-1.1826172","-0.28125","36.59375","-14.46875","32.84375"
"1537895203626","41","0.038085938","-1.4033203","-0.31152344","30.53125","-37.65625","31.6875"
"1537895203626","42","0.030273438","-1.6240234","-0.28222656","19.3125","-46.375","21.0625"
"1537895203626","43","-0.009765625","-1.4677734","-0.3232422","-5.71875","-51.28125","1.40625"
"1537895203627","44","-0.026367188","-1.0449219","-0.23242188","-32.34375","-16.0625","-26.78125"
"1537895203823","45","0.09765625","-0.99121094","-0.14648438","-42.59375","5.25","-51.21875"
"1537895204025","46","0.13378906","-1.0761719","-0.171875","-61.875","-21.5625","-57.0"
"1537895204026","47","0.14257812","-1.1259766","-0.12988281","-79.5","-46.375","-57.625"
"1537895204026","48","0.109375","-1.0849609","-0.08203125","-92.28125","-53.40625","-63.21875"
"1537895204027","49","0.04296875","-1.015625","-0.0234375","-96.46875","-44.75","-76.1875"
"1537895204027","50","-0.009765625","-0.9511719","-0.036132812","-90.6875","-22.40625","-94.53125"
"1537895204027","51","0.0146484375","-0.91796875","-0.043945312","-79.09375","0.0","-104.0625"
"1537895204027","52","0.061523438","-0.86328125","-0.057617188","-66.3125","9.75","-100.90625"
"1537895204028","53","0.091796875","-0.7470703","-0.068359375","-54.4375","-0.25","-89.34375"
"1537895204221","54","0.029296875","-0.8515625","-0.07910156","-34.71875","-7.375","-62.9375"
"1537895204222","55","0.0","-1.0175781","-0.10546875","-12.375","-1.96875","-21.1875"
"1537895204222","56","-0.01171875","-0.98535156","-0.16210938","8.8125","10.5","13.625"
"1537895204222","57","-0.041015625","-1.1386719","-0.15234375","45.4375","22.53125","51.875"
"1537895204223","58","-0.08984375","-1.1542969","-0.22460938","69.96875","20.8125","85.875"
"1537895204224","59","-0.026367188","-0.94433594","-0.25683594","87.96875","20.75","102.53125"
"1537895204420","60","-0.060546875","-0.9736328","-0.20214844","97.4375","24.84375","104.125"
"1537895204421","61","-0.11230469","-1.0976562","-0.20507812","93.46875","19.78125","99.375"
"1537895204421","62","-0.026367188","-1.1396484","-0.15820312","79.0625","16.21875","95.9375"
"1537895204421","63","-0.036132812","-1.109375","-0.16308594","67.59375","15.5625","79.84375"
"1537895204423","64","-0.009765625","-0.9794922","-0.21972656","59.09375","29.125","67.375"
"1537895204619","65","-0.016601562","-0.92871094","-0.21191406","56.21875","53.34375","58.90625"
"1537895204620","66","0.033203125","-0.9082031","-0.24316406","55.4375","80.375","48.59375"
"1537895204620","67","0.12011719","-0.84765625","-0.24121094","45.25","79.40625","43.40625"
"1537895204621","68","0.14746094","-0.86621094","-0.21875","35.53125","67.4375","33.375"
"1537895204621","69","0.14746094","-1.0800781","-0.25390625","27.53125","45.78125","20.3125"
"1537895204819","70","0.14160156","-1.3056641","-0.28027344","21.25","13.90625","9.03125"
"1537895204820","71","0.10449219","-1.4150391","-0.2919922","10.28125","-22.84375","-6.40625"
"1537895204821","72","0.01953125","-1.3056641","-0.24023438","-2.46875","-26.84375","-36.75"
"1537895204822","73","0.029296875","-1.2802734","-0.22949219","-21.34375","-29.0","-58.84375"
"1537895204822","74","-0.061523438","-1.234375","-0.22949219","-53.03125","-38.5625","-70.875"
"1537895205016","75","-0.083984375","-1.3154297","-0.044921875","-75.0625","5.1875","-90.6875"
"1537895205016","76","0.034179688","-1.1699219","-0.07421875","-86.65625","9.75","-109.9375"
"1537895205016","77","-0.0146484375","-1.1816406","-0.15332031","-94.90625","-23.5","-119.9375"
"1537895205017","78","0.051757812","-0.9765625","-0.10449219","-92.8125","-29.375","-127.8125"
"1537895205018","79","-0.00390625","-0.9169922","-0.14453125","-93.4375","-30.75","-118.34375"
