"# PDIoT walking data"
"# Start time: 20181001T212040"
"# Group: D"
"# Subject: Goda"
"# Activity type: Climbing stairs"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1538425241006","0","0.9482422","0.15429688","-0.14160156","-10.03125","8.4375","23.25"
"1538425241007","1","0.9746094","0.15625","-0.15722656","-11.25","14.84375","31.5625"
"1538425241008","2","0.95703125","0.16601562","-0.16699219","-12.8125","18.625","36.6875"
"1538425241008","3","0.9824219","0.16992188","-0.15917969","-13.4375","19.84375","38.84375"
"1538425241009","4","0.9794922","0.16699219","-0.171875","-10.75","21.4375","39.625"
"1538425241205","5","0.9951172","0.1796875","-0.18066406","-6.28125","19.28125","38.15625"
"1538425241405","6","0.9707031","0.18261719","-0.16796875","-3.4375","14.28125","33.21875"
"1538425241405","7","0.94140625","0.18164062","-0.17285156","2.25","11.90625","28.5625"
"1538425241406","8","0.93652344","0.18261719","-0.18164062","4.9375","11.125","25.59375"
"1538425241406","9","1.0205078","0.18652344","-0.17773438","1.28125","8.0625","26.1875"
"1538425241406","10","1.0917969","0.19726562","-0.15917969","-4.03125","6.15625","26.3125"
"1538425241409","11","1.140625","0.21386719","-0.15429688","-5.75","5.375","22.40625"
"1538425241410","12","1.2109375","0.23925781","-0.18847656","3.53125","5.75","18.3125"
"1538425241410","13","1.4189453","0.23242188","-0.1328125","16.59375","15.28125","14.34375"
"1538425241410","14","1.640625","0.25976562","-0.21679688","37.40625","3.375","3.125"
"1538425241603","15","1.3720703","0.203125","-0.24609375","42.21875","-29.21875","-37.09375"
"1538425241802","16","0.92089844","0.05859375","-0.21289062","48.03125","-48.21875","-94.96875"
"1538425241802","17","0.9941406","0.14746094","-0.24414062","76.59375","-52.78125","-136.84375"
"1538425241802","18","1.1240234","0.07421875","-0.29492188","101.625","-76.78125","-147.28125"
"1538425241803","19","1.1708984","0.036132812","-0.24707031","82.3125","-94.59375","-145.1875"
"1538425241805","20","1.0263672","0.045898438","-0.21484375","42.34375","-94.21875","-137.8125"
"1538425241805","21","0.84375","0.0546875","-0.19335938","14.625","-90.03125","-123.9375"
"1538425241805","22","0.6816406","0.13476562","-0.19824219","5.375","-77.625","-106.3125"
"1538425241806","23","0.6171875","0.1796875","-0.21289062","17.25","-66.21875","-89.28125"
"1538425241806","24","0.6015625","0.18847656","-0.33496094","16.65625","-52.96875","-71.46875"
"1538425242199","25","0.6386719","0.2529297","-0.3955078","1.21875","-46.25","-52.125"
"1538425242199","26","0.6357422","0.29882812","-0.3701172","-1.40625","-32.40625","-35.28125"
"1538425242199","27","0.5878906","0.29492188","-0.49023438","16.21875","-9.6875","-17.5"
"1538425242200","28","0.625","0.20507812","-0.5","16.28125","21.25","10.09375"
"1538425242200","29","0.8642578","0.19335938","-0.41601562","-10.9375","72.875","59.53125"
"1538425242201","30","1.3984375","0.21386719","-0.4482422","-26.4375","116.09375","127.15625"
"1538425242202","31","1.1943359","0.26367188","-0.3779297","-48.90625","100.96875","155.71875"
"1538425242400","32","1.0761719","0.21289062","-0.20703125","-47.375","98.34375","154.78125"
"1538425242400","33","1.2197266","0.19726562","-0.16503906","-14.65625","89.71875","147.90625"
"1538425242401","34","1.1308594","0.20410156","-0.14648438","-11.3125","47.5625","119.75"
"1538425242401","35","0.96484375","0.083984375","-0.051757812","-53.15625","44.0","100.65625"
"1538425242401","36","0.82910156","0.1171875","-0.099609375","-82.15625","46.8125","89.3125"
"1538425242401","37","0.6845703","0.16699219","-0.078125","-93.75","45.65625","84.46875"
"1538425242401","38","0.8359375","0.13769531","-0.017578125","-73.875","47.90625","82.78125"
"1538425242596","39","1.0654297","0.18359375","-0.030273438","-37.53125","47.6875","87.0"
"1538425242597","40","1.4208984","0.19042969","-0.013671875","-2.09375","35.65625","84.65625"
"1538425242597","41","1.2392578","0.16308594","-0.10644531","21.78125","15.03125","64.65625"
"1538425242597","42","1.3408203","0.09472656","-0.16113281","32.78125","12.8125","30.46875"
"1538425242598","43","1.5732422","0.11816406","-0.15136719","-15.9375","-8.71875","-15.75"
"1538425242797","44","1.1435547","0.05078125","-0.22167969","-55.4375","-39.125","-75.5625"
"1538425242798","45","0.8613281","0.07519531","-0.35546875","-42.3125","-44.5625","-139.46875"
"1538425242798","46","1.1367188","0.07519531","-0.2763672","1.40625","-53.59375","-182.96875"
"1538425242798","47","1.3574219","-0.0068359375","-0.17675781","-3.0","-68.15625","-201.40625"
"1538425242798","48","1.0195312","0.05859375","-0.19921875","-13.5","-74.03125","-196.78125"
"1538425242993","49","0.8232422","0.14355469","-0.21875","10.1875","-62.8125","-181.8125"
"1538425242994","50","0.6611328","0.17089844","-0.21386719","54.4375","-62.625","-158.4375"
"1538425242995","51","0.52246094","0.11035156","-0.15136719","72.5","-58.59375","-134.6875"
"1538425242995","52","0.5292969","0.18554688","-0.24804688","54.1875","-37.21875","-106.5625"
"1538425242996","53","0.7158203","0.26953125","-0.27441406","57.96875","-15.125","-76.34375"
"1538425243195","54","0.6953125","0.30566406","-0.43359375","28.6875","10.03125","-39.53125"
"1538425243196","55","0.82714844","0.35253906","-0.48339844","-8.125","45.21875","-7.3125"
"1538425243196","56","1.0830078","0.515625","-0.49316406","-20.46875","74.15625","29.96875"
"1538425243196","57","1.4296875","0.7441406","-0.48046875","42.15625","77.875","57.5"
"1538425243196","58","1.1601562","0.61621094","-0.47460938","100.875","51.53125","58.53125"
"1538425243392","59","0.8310547","0.4189453","-0.3173828","116.5","38.46875","35.34375"
"1538425243392","60","0.85058594","0.53027344","-0.31347656","81.59375","34.5","14.15625"
"1538425243393","61","0.8701172","0.41503906","-0.3388672","52.90625","17.28125","12.03125"
"1538425243393","62","0.6894531","0.42382812","-0.2421875","-0.9375","2.375","4.53125"
"1538425243394","63","0.61328125","0.37304688","-0.33691406","-11.78125","-2.1875","-3.90625"
"1538425243590","64","0.43164062","0.36132812","-0.25683594","-14.78125","-8.21875","-9.15625"
"1538425243591","65","0.40234375","0.4013672","-0.27734375","-19.96875","2.5625","-19.09375"
"1538425243591","66","0.4951172","0.40039062","-0.28515625","7.0","3.90625","-20.625"
"1538425243591","67","0.66796875","0.3720703","-0.17578125","30.1875","4.03125","-11.03125"
"1538425243592","68","0.83984375","0.34570312","-0.20507812","31.96875","11.375","7.53125"
"1538425243791","69","1.0927734","0.3017578","-0.22167969","35.5","23.5","30.21875"
"1538425243791","70","1.3945312","0.28222656","-0.2265625","37.96875","31.5","62.8125"
"1538425243791","71","1.5400391","0.15820312","-0.18652344","31.3125","34.125","90.96875"
"1538425243791","72","1.65625","0.06542969","-0.13476562","-13.6875","47.96875","112.0"
"1538425243792","73","1.3916016","0.038085938","-0.21484375","-40.65625","39.25","120.8125"
"1538425244187","74","0.9716797","0.091796875","-0.25683594","-62.4375","40.28125","112.875"
"1538425244187","75","0.9873047","0.1171875","-0.36328125","-29.1875","28.75","80.03125"
"1538425244187","76","0.8486328","-0.043945312","-0.20800781","-20.75","19.96875","49.21875"
"1538425244188","77","0.8847656","0.020507812","-0.12890625","-26.75","15.375","34.0"
"1538425244387","78","0.75","0.025390625","-0.13378906","-39.0","11.65625","32.46875"
"1538425244388","79","0.72753906","0.18066406","-0.23242188","-23.75","13.8125","39.3125"
"1538425244388","80","0.8027344","0.1796875","-0.20996094","14.8125","7.03125","44.6875"
"1538425244388","81","0.8017578","0.17871094","-0.19921875","38.9375","6.46875","41.28125"
"1538425244389","82","0.8808594","0.09375","-0.17578125","59.875","7.8125","29.6875"
"1538425244389","83","0.9560547","0.0390625","-0.18359375","54.1875","8.5625","19.84375"
"1538425244389","84","0.9082031","0.12402344","-0.21777344","60.46875","3.71875","12.59375"
