"# PDIoT walking data"
"# Start time: 20181002T124300"
"# Group: F"
"# Subject: Paulius"
"# Activity type: Descending stairs"
"# Sensor position: Wrist"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 30"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1538480580647","0","-0.055664062","-0.9042969","0.07128906","-31.25","-30.40625","-2.875"
"1538480580647","1","-0.0859375","-0.8300781","0.15527344","-37.0","-35.96875","5.78125"
"1538480580648","2","-0.036132812","-0.97265625","0.24414062","41.125","-27.25","15.1875"
"1538480580846","3","-0.123046875","-0.8984375","0.19628906","18.46875","-39.125","16.15625"
"1538480580849","4","-0.07910156","-0.8310547","0.10449219","69.0","-23.5625","17.0625"
"1538480580850","5","-0.09472656","-0.9550781","0.06640625","60.34375","-20.78125","15.1875"
"1538480580850","6","-0.12109375","-0.86816406","0.21582031","63.875","-13.875","19.09375"
"1538480580851","7","-0.14746094","-0.79296875","0.2890625","61.09375","-6.53125","11.53125"
"1538480580851","8","-0.09863281","-0.8671875","0.2939453","46.4375","-6.96875","7.5625"
"1538480580851","9","-0.016601562","-0.93066406","0.37304688","38.0625","-9.46875","10.59375"
"1538480581044","10","-0.06640625","-0.71972656","0.26367188","-7.46875","-17.40625","3.40625"
"1538480581045","11","-0.07324219","-0.72265625","0.20703125","7.96875","-22.34375","4.375"
"1538480581045","12","9.765625E-4","-0.87402344","0.296875","-25.53125","-32.90625","-5.375"
"1538480581047","13","0.07324219","-0.7392578","0.016601562","-47.25","-59.53125","-14.34375"
"1538480581047","14","0.14355469","-0.8535156","0.072265625","-98.84375","-82.03125","-30.59375"
"1538480581243","15","0.24609375","-0.6357422","-0.07324219","-161.09375","-110.5625","-62.625"
"1538480581244","16","0.37109375","-1.0576172","0.0390625","-286.40625","-132.71875","-106.78125"
"1538480581244","17","0.3232422","-0.36621094","-0.14550781","-264.65625","-129.46875","-162.1875"
"1538480581245","18","0.58691406","-0.5576172","-0.2763672","-38.28125","-69.09375","-173.0"
"1538480581245","19","0.7001953","-1.1005859","-0.3720703","-56.15625","-82.78125","-178.125"
"1538480581443","20","0.6611328","-0.7548828","-0.328125","-93.40625","-57.5625","-190.125"
"1538480581444","21","0.7675781","-0.6816406","-0.421875","47.84375","-24.96875","-183.96875"
"1538480581444","22","0.89746094","-0.75878906","-0.39453125","71.28125","-21.625","-164.875"
"1538480581444","23","1.0146484","-0.90234375","-0.29589844","39.21875","-15.03125","-151.03125"
"1538480581445","24","0.8642578","-0.625","-0.390625","47.84375","-17.21875","-143.25"
"1538480581642","25","0.9345703","-0.6308594","-0.3388672","65.53125","-5.21875","-125.125"
"1538480581642","26","0.8857422","-0.7363281","-0.359375","66.21875","-10.6875","-102.0"
"1538480581642","27","0.98828125","-0.484375","-0.3173828","77.25","15.71875","-99.25"
"1538480581642","28","1.3720703","-0.7080078","-0.36621094","66.75","24.03125","-95.21875"
"1538480581643","29","1.1474609","-0.58496094","-0.32226562","37.71875","11.59375","-62.09375"
"1538480581840","30","1.0263672","-0.53515625","-0.4267578","7.5","33.4375","-24.75"
"1538480581840","31","1.1513672","-0.4423828","-0.31933594","-62.875","30.875","-3.1875"
"1538480581841","32","1.0439453","-0.125","-0.18652344","-85.53125","8.65625","18.71875"
"1538480581841","33","1.0048828","-0.140625","-0.2607422","-32.65625","10.125","49.125"
"1538480581841","34","0.82714844","-0.15625","-0.29101562","-20.71875","1.09375","63.59375"
"1538480582041","35","0.7480469","-0.043945312","-0.2578125","-44.9375","-8.1875","64.0"
"1538480582041","36","0.6455078","0.07519531","-0.21972656","-29.25","-17.65625","57.53125"
"1538480582042","37","0.47753906","0.13183594","-0.22851562","1.9375","-18.375","44.34375"
"1538480582042","38","0.6308594","0.15429688","-0.16796875","3.15625","-13.8125","31.53125"
"1538480582042","39","0.6777344","0.16894531","-0.15722656","4.125","-23.03125","17.875"
"1538480582237","40","0.68359375","0.22558594","-0.14941406","23.78125","-22.53125","7.125"
"1538480582238","41","0.65527344","0.28027344","-0.16503906","57.34375","-25.34375","-15.15625"
"1538480582238","42","1.0195312","0.0068359375","-0.13671875","84.46875","8.28125","-52.1875"
"1538480582238","43","2.0","0.02734375","-0.02734375","100.4375","31.40625","-133.3125"
"1538480582239","44","2.0","-0.3984375","-0.051757812","170.15625","32.28125","-185.3125"
"1538480582436","45","1.8525391","-0.5595703","-0.60546875","59.6875","28.4375","-175.5"
"1538480582436","46","1.4042969","-0.56347656","-0.31835938","-74.46875","9.625","-144.125"
"1538480582436","47","0.74902344","-0.70703125","-0.49414062","-77.65625","-18.21875","-99.6875"
"1538480582437","48","0.26171875","-0.53222656","-0.6376953","-4.65625","-3.625","-35.65625"
"1538480582438","49","0.35742188","-0.9111328","-0.46679688","1.75","0.15625","12.75"
"1538480582834","50","0.1953125","-0.6044922","-0.54785156","-27.1875","-9.28125","43.0"
"1538480582834","51","0.5205078","-0.68652344","-0.3935547","-39.8125","4.0","77.875"
"1538480582834","52","1.171875","-0.7080078","-0.2763672","-104.03125","0.84375","101.3125"
"1538480582834","53","1.71875","-0.5019531","-0.23730469","-126.78125","-6.25","134.875"
"1538480582835","54","2.0","-0.3486328","-0.11621094","-133.625","-24.5","166.3125"
