"# PDIoT walking data"
"# Start time: 20190923T154918"
"# Group: H"
"# Subject: tom"
"# Activity type: Climbing stairs"
"# Sensor position: Upper arm"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 30"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569250158658","0","-0.9501953","-0.2421875","-0.043945312","19.9375","12.625","8.15625"
"1569250158774","1","-0.9580078","-0.29882812","-0.060546875","15.71875","7.90625","11.9375"
"1569250158865","2","-0.9892578","-0.27539062","-0.072265625","24.03125","13.40625","4.6875"
"1569250158955","3","-1.0029297","-0.20605469","-0.10449219","13.84375","13.03125","6.5625"
"1569250159076","4","-1.1621094","-0.10449219","-0.14941406","5.53125","9.25","2.125"
"1569250159165","5","-1.0488281","-0.16015625","0.04296875","21.84375","19.40625","2.5"
"1569250159256","6","-0.93652344","-0.14453125","0.040039062","21.65625","9.8125","-11.3125"
"1569250159464","7","-1.0625","-0.20019531","-0.047851562","-1.0","9.09375","-20.21875"
"1569250159496","8","-1.203125","-0.48535156","-0.18847656","52.0","-1.0625","-26.03125"
"1569250159554","9","-1.21875","-0.4794922","-0.05859375","61.75","-1.0","-15.09375"
"1569250159675","10","-0.70410156","-0.49902344","-0.16210938","43.0","-11.625","-5.15625"
"1569250159767","11","-0.66308594","-0.17089844","0.016601562","65.09375","23.25","-1.0"
"1569250159854","12","-0.7890625","0.083984375","0.12109375","7.0625","-32.0625","51.125"
"1569250159975","13","-0.8876953","-0.6425781","0.059570312","16.90625","14.3125","-38.21875"
"1569250160066","14","-1.0947266","-0.38183594","0.1640625","84.53125","22.09375","-3.0"
"1569250160155","15","-1.5634766","-0.19042969","-0.041015625","1.5625","37.34375","5.21875"
"1569250160276","16","-0.8984375","-0.3095703","-0.31933594","-90.03125","1.3125","-0.625"
"1569250160364","17","-0.84277344","-0.0859375","-0.057617188","-50.96875","-6.84375","25.8125"
