# Sensor position: Wrist
# Sensor side: Right
# Activity type: Running
# Activity code: 11
# Subject id: s1616573
timestamp,seq,accel_x,accel_y,accel_z
1601134957872,0,-0.7265625,-0.32330322,-0.4006958
1601134957876,1,-0.8054199,-0.41705322,-0.49249268
1601134957881,2,-0.71313477,-0.37554932,-0.30059814
1601134957885,3,-0.8796387,-0.24517822,-0.333313
1601134957889,4,-0.8564453,-0.026916504,-0.2276001
1601134957894,5,-0.73413086,0.40423584,-0.16192627
1601134957898,6,-0.58203125,1.0333862,-0.12310791
1601134957903,7,-0.47875977,1.4747925,0.054870605
1601134957907,8,-0.45043945,1.4264526,0.11566162
1601134957911,9,-0.53564453,1.1315308,0.03729248
1601134957916,10,-0.8129883,0.8493042,-0.04058838
1601134957920,11,-1.0661621,0.73602295,-0.10699463
1601134957924,12,-1.2580566,0.4574585,-0.17852783
1601134957928,13,-1.3183594,0.31048584,-0.3357544
1601134957933,14,-1.1186523,0.28851318,-0.4944458
1601134957937,15,-1.6728516,0.47161865,-0.6860962
1601134957942,16,-2.0,0.5844116,-0.7119751
1601134957947,17,-0.99853516,9.1552734E-4,-0.21124268
1601134957951,18,-0.6052246,-0.32891846,-0.10015869
1601134957955,19,-0.1303711,0.24554443,-0.0044555664
1601134957958,20,0.014892578,0.6137085,0.059020996
1601134957962,21,-1.6435547,0.6276245,-0.34039307
1601134957967,22,-2.0,0.120788574,-1.2783813
1601134957971,23,-1.0932617,-0.6538696,-0.76519775
1601134957975,24,0.010009766,-0.7659302,-0.14068604
1601134957979,25,0.46948242,-0.8574829,-0.00982666
1601134957983,26,-1.1064453,-1.0813599,-0.7390747
1601134957987,27,-2.0,-0.5647583,-1.6646118
1601134957991,28,-1.0373535,0.29193115,-0.7107544
1601134957995,29,-0.09350586,0.43841553,-0.13800049
1601134957999,30,0.1430664,0.66864014,-0.14239502
1601134958003,31,-0.34033203,0.6622925,-0.09820557
1601134960456,32,-2.0,0.32611084,-1.08844
1601134960461,33,-2.0,-0.051818848,-1.3001099
1601134960465,34,-0.57470703,-0.5540161,-0.39483643
1601134960470,35,-0.11791992,-0.81988525,0.02532959
1601134960474,36,-0.053955078,-1.0183716,-0.19732666
1601134960478,37,-2.0,-1.1140747,-1.5632935
1601134960483,38,-2.0,0.28460693,-1.2947388
1601134960488,39,-0.22192383,0.30169678,-0.24273682
1601134960491,40,0.13867188,0.6581421,-0.0095825195
1601134960496,41,-0.21166992,0.72698975,-0.15338135
1601134960500,42,-2.0,0.5426636,-0.7485962
1601134960505,43,-2.0,-0.050842285,-1.2053833
1601134960509,44,-1.0200195,-0.78790283,-0.68292236
1601134960514,45,0.12524414,-0.8027954,-0.3711548
1601134960518,46,0.47973633,-0.39434814,-0.12506104
1601134960523,47,-0.21386719,-1.3396606,-0.28424072
1601134960527,48,-1.3925781,-1.90802,-0.30133057
1601134960531,49,-0.6538086,-1.0510864,0.2033081
1601134960536,50,-0.33911133,-0.24151611,0.116882324
1601134960540,51,-0.51586914,0.25897217,-0.0881958
1601134960545,52,-0.59521484,0.046813965,-0.055725098
1601134960548,53,-1.8273926,-1.663147,-0.93951416
1601134960553,54,-1.7226562,-1.6231079,-0.9273071
1601134960557,55,-0.19848633,-0.940979,-0.44854736
1601134960561,56,0.30639648,-0.61260986,-0.2390747
1601134960566,57,0.11328125,-1.1018677,-0.043029785
1601134960570,58,-2.0,-1.4407349,-1.4729614
1601134960575,59,-2.0,-0.55352783,-1.46344
1601134960579,60,-0.46801758,0.63568115,-0.14483643
1601134960583,61,0.1928711,0.9706421,-0.0178833
1601134960588,62,-0.18164062,0.90496826,-0.33624268
1601134960592,63,-2.0,0.3727417,-1.0164185
1601134963039,64,-2.0,-0.06451416,-1.6382446
1601134963044,65,-1.3459473,-0.6460571,-0.94659424
1601134963048,66,-0.5332031,-0.8723755,-0.014221191
1601134963053,67,0.21704102,-0.8652954,-0.038391113
1601134963057,68,-1.1791992,-0.90167236,-0.878479
1601134963062,69,-2.0,-0.039123535,-1.3599243
1601134963066,70,-0.89746094,-0.026184082,-0.4199829
1601134963071,71,0.34057617,0.1408081,-0.014465332
1601134963075,72,0.3984375,0.6273804,-0.1873169
1601134963080,73,-1.2194824,1.1742554,-0.5484009
1601134963084,74,-2.0,0.3283081,-1.1465454
1601134963088,75,-1.7392578,-0.708313,-0.89727783
1601134963093,76,-0.34765625,-1.0308228,-0.2029419
