# Sensor position: Front pocket (trouser)
# Sensor side: Left
# Activity type: Sitting bent backward
# Activity code: 5
# Subject id: s1655560
timestamp,seq,accel_x,accel_y,accel_z
1601038369885,0,-0.41064453,-0.17852783,-0.9336548
1601038369889,1,-0.4104004,-0.17828369,-0.9331665
1601038369892,2,-0.4116211,-0.17877197,-0.9360962
1601038369896,3,-0.40820312,-0.17877197,-0.93414307
1601038369900,4,-0.41235352,-0.17559814,-0.92974854
1601038369904,5,-0.41137695,-0.17877197,-0.9378052
1601038369905,6,-0.41210938,-0.17828369,-0.93170166
1601038369912,7,-0.41308594,-0.17974854,-0.9356079
1601038369915,8,-0.4140625,-0.1765747,-0.9373169
1601038369919,9,-0.40942383,-0.17803955,-0.9319458
1601038369922,10,-0.41870117,-0.1795044,-0.93585205
1601038369926,11,-0.4116211,-0.1819458,-0.9343872
1601038369929,12,-0.41259766,-0.17144775,-0.93170166
1601038369933,13,-0.4140625,-0.19024658,-0.9343872
1601038369934,14,-0.4111328,-0.18829346,-0.9338989
1601038369937,15,-0.41748047,-0.20806885,-0.93463135
1601038369938,16,-0.39648438,-0.15264893,-0.9397583
1601038369939,17,-0.39770508,-0.15899658,-0.9338989
1601038369940,18,-0.3779297,-0.1609497,-0.9204712
1601038369941,19,-0.44970703,-0.15093994,-0.93292236
1601038369943,20,-0.39697266,-0.17218018,-0.9229126
1601038369944,21,-0.4482422,-0.19683838,-0.93634033
1601038369946,22,-0.45947266,-0.19146729,-0.923645
1601038369947,23,-0.4489746,-0.16217041,-0.91729736
1601038369948,24,-0.44799805,-0.18536377,-0.8792114
1601038369950,25,-0.47583008,-0.14215088,-0.89263916
1601038369951,26,-0.5944824,-0.16656494,-0.9092407
1601038369952,27,-0.62475586,-0.057922363,-0.8699341
1601038369953,28,-0.5246582,-0.09649658,-0.90338135
1601038369954,29,-0.5148926,-0.11212158,-0.91363525
1601038369955,30,-0.48535156,-0.12945557,-0.9053345
1601038369956,31,-0.49072266,-0.12530518,-0.89923096
1601038372467,32,-0.51660156,-0.121398926,-0.8999634
1601038372470,33,-0.513916,-0.121398926,-0.8953247
1601038372474,34,-0.49951172,-0.124572754,-0.9060669
1601038372482,35,-0.48706055,-0.12579346,-0.9092407
1601038372484,36,-0.5004883,-0.11920166,-0.90411377
1601038372485,37,-0.5126953,-0.11260986,-0.8897095
1601038372486,38,-0.5036621,-0.11846924,-0.89019775
1601038372488,39,-0.4934082,-0.1182251,-0.90460205
1601038372489,40,-0.5209961,-0.10357666,-0.90093994
1601038372491,41,-0.5358887,-0.09869385,-0.8777466
1601038372492,42,-0.5280762,-0.10772705,-0.9026489
1601038372494,43,-0.47827148,-0.12921143,-0.9048462
1601038372495,44,-0.4736328,-0.12750244,-0.9143677
1601038372496,45,-0.50219727,-0.11627197,-0.90045166
1601038372498,46,-0.5144043,-0.11431885,-0.9053345
1601038372498,47,-0.5048828,-0.11505127,-0.9036255
1601038372500,48,-0.49536133,-0.11456299,-0.90216064
1601038372501,49,-0.5,-0.11798096,-0.9053345
1601038372502,50,-0.4946289,-0.120910645,-0.90460205
1601038372504,51,-0.4880371,-0.12384033,-0.9031372
1601038372504,52,-0.50219727,-0.117248535,-0.9077759
1601038372506,53,-0.49560547,-0.11871338,-0.9024048
1601038372507,54,-0.49316406,-0.12017822,-0.90460205
1601038372508,55,-0.48510742,-0.117004395,-0.90826416
1601038372510,56,-0.4885254,-0.11212158,-0.90582275
1601038372511,57,-0.49169922,-0.11505127,-0.90948486
1601038372511,58,-0.49169922,-0.11846924,-0.90753174
1601038372513,59,-0.49316406,-0.12261963,-0.909729
1601038372514,60,-0.49072266,-0.117004395,-0.9121704
1601038372515,61,-0.4880371,-0.11578369,-0.90753174
1601038372516,62,-0.4934082,-0.11798096,-0.9116821
1601038372517,63,-0.4802246,-0.12261963,-0.911438
1601038375049,64,-0.48217773,-0.13531494,-0.911438
1601038375052,65,-0.46289062,-0.13800049,-0.90875244
1601038375056,66,-0.46679688,-0.12677002,-0.9192505
1601038375059,67,-0.47485352,-0.13018799,-0.9151001
1601038375062,68,-0.47314453,-0.13897705,-0.91534424
1601038375066,69,-0.47583008,-0.12799072,-0.9104614
1601038375069,70,-0.47924805,-0.12237549,-0.9146118
1601038375070,71,-0.4814453,-0.12432861,-0.9143677
1601038375074,72,-0.4794922,-0.12554932,-0.9133911
1601038375075,73,-0.47827148,-0.128479,-0.9104614
1601038375077,74,-0.47753906,-0.12994385,-0.91290283
1601038375078,75,-0.47460938,-0.12945557,-0.9109497
1601038375079,76,-0.4736328,-0.12677002,-0.90997314
1601038375081,77,-0.47705078,-0.12774658,-0.9072876
1601038375082,78,-0.49682617,-0.12530518,-0.9133911
1601038375083,79,-0.49682617,-0.12042236,-0.9002075
1601038375084,80,-0.5102539,-0.12017822,-0.9067993
1601038375085,81,-0.4963379,-0.11627197,-0.9048462
1601038375087,82,-0.4970703,-0.12432861,-0.911438
1601038375087,83,-0.48291016,-0.12774658,-0.90875244
1601038375089,84,-0.4892578,-0.12261963,-0.90582275
1601038375089,85,-0.48828125,-0.11920166,-0.9043579
1601038375090,86,-0.48950195,-0.12359619,-0.9092407
1601038375090,87,-0.48266602,-0.12286377,-0.90753174
1601038375092,88,-0.4873047,-0.12652588,-0.90875244
1601038375092,89,-0.48754883,-0.12432861,-0.90997314
1601038375093,90,-0.4831543,-0.12261963,-0.9092407
1601038375094,91,-0.48266602,-0.121154785,-0.9092407
1601038375095,92,-0.4885254,-0.11920166,-0.90582275
1601038375096,93,-0.4868164,-0.12213135,-0.9109497
1601038375097,94,-0.48510742,-0.12261963,-0.90826416
1601038375097,95,-0.4892578,-0.12188721,-0.90948486
1601038377635,96,-0.49023438,-0.12213135,-0.9065552
1601038377638,97,-0.48657227,-0.12310791,-0.90875244
1601038377642,98,-0.4892578,-0.12335205,-0.90582275
1601038377645,99,-0.49389648,-0.121398926,-0.9072876
1601038377649,100,-0.48950195,-0.12164307,-0.90802
1601038377652,101,-0.48828125,-0.12335205,-0.9065552
1601038377654,102,-0.48901367,-0.12310791,-0.90875244
1601038377658,103,-0.48754883,-0.12042236,-0.9085083
1601038377661,104,-0.48510742,-0.12335205,-0.9085083
1601038377663,105,-0.48999023,-0.12408447,-0.9104614
1601038377664,106,-0.48583984,-0.12359619,-0.9053345
1601038377665,107,-0.48242188,-0.12310791,-0.9109497
1601038377668,108,-0.48413086,-0.12017822,-0.9104614
1601038377668,109,-0.4892578,-0.12335205,-0.9092407
1601038377670,110,-0.48632812,-0.12677002,-0.90802
1601038377670,111,-0.48901367,-0.12335205,-0.90826416
1601038377671,112,-0.4897461,-0.12554932,-0.90826416
1601038377672,113,-0.48828125,-0.12384033,-0.9036255
1601038377673,114,-0.48706055,-0.12017822,-0.9089966
1601038377675,115,-0.48608398,-0.12530518,-0.9060669
1601038377676,116,-0.4868164,-0.128479,-0.9077759
1601038377677,117,-0.49023438,-0.12237549,-0.91070557
1601038377678,118,-0.4885254,-0.12237549,-0.90509033
1601038377679,119,-0.48876953,-0.121154785,-0.90997314
1601038377680,120,-0.47924805,-0.12799072,-0.9104614
1601038377681,121,-0.48120117,-0.12652588,-0.90460205
1601038377682,122,-0.4885254,-0.12701416,-0.911438
1601038377683,123,-0.48046875,-0.12921143,-0.9067993
1601038377685,124,-0.48388672,-0.12432861,-0.90875244
1601038377686,125,-0.484375,-0.12432861,-0.9109497
1601038377688,126,-0.48657227,-0.13018799,-0.909729
1601038377689,127,-0.48413086,-0.13092041,-0.90826416
1601038380214,128,-0.48828125,-0.1272583,-0.9072876
1601038380217,129,-0.48754883,-0.1272583,-0.9089966
1601038380218,130,-0.48413086,-0.12310791,-0.90460205
1601038380220,131,-0.50390625,-0.12652588,-0.90289307
1601038380223,132,-0.4934082,-0.1296997,-0.9102173
