# Sensor position: Wrist
# Sensor side: Right
# Activity type: Lying down right
# Activity code: 6
# Subject id: s1655560
timestamp,seq,accel_x,accel_y,accel_z
1600969294040,0,-0.35473633,-0.19927979,0.87249756
1600969294041,1,-0.4260254,-0.20196533,0.84417725
1600969294042,2,-0.3959961,-0.20343018,0.8666382
1600969294044,3,-0.33984375,-0.21807861,0.88397217
1600969294045,4,-0.33984375,-0.21539307,0.8925171
1600969294046,5,-0.31591797,-0.19708252,0.91278076
1600969294049,6,-0.28735352,-0.20953369,0.9125366
1600969294050,7,-0.31323242,-0.20440674,0.899353
1600969294051,8,-0.31201172,-0.2041626,0.9052124
1600969294052,9,-0.32055664,-0.21466064,0.8876343
1600969294054,10,-0.34155273,-0.20367432,0.8915405
1600969294055,11,-0.33862305,-0.20611572,0.8842163
1600969294057,12,-0.33544922,-0.21246338,0.899353
1600969294058,13,-0.33569336,-0.21002197,0.8954468
1600969294059,14,-0.33813477,-0.19659424,0.8915405
1600969294059,15,-0.3383789,-0.20953369,0.89349365
1600969294060,16,-0.3310547,-0.21002197,0.8944702
1600969294061,17,-0.33813477,-0.21270752,0.89398193
1600969294063,18,-0.3371582,-0.206604,0.8942261
1600969294066,19,-0.3334961,-0.20928955,0.89398193
1600969294067,20,-0.3334961,-0.20855713,0.8925171
1600969294068,21,-0.33740234,-0.20953369,0.89520264
1600969294069,22,-0.33447266,-0.20709229,0.8920288
1600969294071,23,-0.33984375,-0.21026611,0.88861084
1600969294072,24,-0.33569336,-0.20758057,0.8912964
1600969294072,25,-0.3371582,-0.2053833,0.8925171
1600969294073,26,-0.33496094,-0.20758057,0.8937378
1600969294074,27,-0.33642578,-0.20977783,0.89398193
1600969294075,28,-0.33544922,-0.206604,0.8956909
1600969294076,29,-0.33032227,-0.20904541,0.89593506
1600969294076,30,-0.33496094,-0.20684814,0.8932495
1600969294077,31,-0.3359375,-0.20733643,0.89276123
1600969296624,32,-0.33740234,-0.20880127,0.8942261
