# Sensor position: Wrist
# Sensor side: Right
# Activity type: Climbing stairs
# Activity code: 12
# Subject id: S1707651
timestamp,seq,accel_x,accel_y,accel_z
1604671557965,0,-0.07348633,-0.9927368,-0.3237915
1604671558044,1,-0.099121094,-1.0105591,-0.2774048
1604671558123,2,-0.08862305,-1.0125122,-0.2859497
1604671558201,3,-0.08251953,-0.98809814,-0.33380127
1604671558280,4,-0.087890625,-0.9990845,-0.29083252
1604671558359,5,-0.080322266,-1.0083618,-0.3255005
1604671558438,6,-0.072509766,-0.99664307,-0.31427002
1604671558516,7,-0.084228516,-1.0037231,-0.3135376
1604671558595,8,-0.07836914,-0.99884033,-0.30059814
1604671558674,9,-0.07763672,-1.0108032,-0.3045044
1604671558753,10,-0.06689453,-1.0076294,-0.30743408
1604671558831,11,-0.06201172,-0.9963989,-0.31256104
1604671558989,12,-0.053955078,-1.0232544,-0.31500244
1604671559068,13,-0.038085938,-1.0130005,-0.28668213
1604671559146,14,-0.021972656,-0.9976196,-0.26348877
1604671559225,15,-0.02734375,-1.0056763,-0.21343994
1604671559304,16,-0.068115234,-1.036438,-0.18267822
1604671559383,17,-0.063964844,-1.0291138,-0.14239502
1604671559461,18,-0.060546875,-0.9824829,-0.12994385
1604671559540,19,-0.0871582,-1.0300903,-0.17803955
1604671559619,20,-0.06201172,-0.95684814,-0.17803955
1604671559698,21,-0.0690918,-0.9963989,-0.1975708
1604671559776,22,-0.035888672,-1.031311,-0.22320557
1604671559855,23,-0.045654297,-1.0484009,-0.22808838
1604671559934,24,-0.0390625,-1.0498657,-0.23248291
1604671560013,25,-0.08935547,-1.0593872,-0.2822876
1604671560091,26,-0.06347656,-0.98883057,-0.37530518
1604671560170,27,-0.07495117,-0.8557739,-0.40045166
1604671560249,28,0.08105469,-0.8296509,-0.48077393
1604671560328,29,-0.028076172,-0.96881104,-0.6213989
1604671560406,30,-0.06298828,-0.90802,-0.5733032
1604671560485,31,-0.0625,-0.9006958,-0.5430298
1604671560564,32,-0.11791992,-0.8779907,-0.60528564
1604671560643,33,-0.19458008,-0.9072876,-0.7349243
1604671560721,34,-0.19897461,-0.8062134,-0.68292236
1604671560800,35,-0.12402344,-0.8237915,-0.6531372
1604671560879,36,-0.25634766,-0.9326782,-0.6917114
1604671560958,37,-0.17016602,-0.7451782,-0.4282837
1604671561036,38,-0.3540039,-0.81378174,-0.61553955
1604671561115,39,-0.33496094,-0.8201294,-0.5339966
1604671561194,40,-0.22851562,-0.94976807,-0.75787354
1604671561273,41,-0.35327148,-1.0071411,-0.88897705
1604671561351,42,-0.34814453,-0.7942505,-0.75323486
1604671561430,43,-0.28393555,-0.7095337,-0.7407837
1604671561509,44,-0.26513672,-0.73150635,-0.5864868
1604671561588,45,-0.22387695,-0.69317627,-0.48980713
1604671561666,46,-0.33618164,-0.89141846,-0.62457275
1604671561745,47,-0.63427734,-0.95147705,-0.7112427
1604671561824,48,-0.6533203,-0.68951416,-0.5864868
1604671561903,49,-0.4519043,-0.95635986,-0.56695557
1604671561981,50,-0.28125,-0.9663696,-0.4282837
1604671562060,51,-0.26513672,-0.9077759,-0.30743408
1604671562139,52,-0.35253906,-0.9031372,-0.30133057
1604671562218,53,-0.34326172,-0.75616455,-0.39019775
1604671562296,54,-0.31274414,-0.90875244,-0.6069946
1604671562375,55,-0.33276367,-1.1487427,-0.73101807
1604671562454,56,-0.3540039,-0.9456177,-0.5720825
1604671562690,57,0.022216797,-1.0667114,-0.4451294
1604671562848,58,-0.25927734,-1.1394653,-0.5928345
1604671563005,59,-0.037597656,-0.81744385,-0.29058838
1604671563163,60,0.08300781,-0.70147705,-0.08795166
1604671563241,61,0.09008789,-0.8167114,-0.10211182
1604671563320,62,0.107910156,-1.1150513,-0.24249268
1604671563399,63,-0.051757812,-1.2664185,-0.6248169
1604671563556,64,-0.3071289,-0.9146118,-0.5071411
1604671563714,65,0.025634766,-0.70025635,-0.28375244
1604671563793,66,0.16601562,-0.6333618,-0.37506104
1604671563950,67,-0.083496094,-1.0222778,-0.62213135
1604671564029,68,-0.25048828,-0.9998169,-0.6436157
1604671564108,69,-0.43579102,-1.0007935,-0.82232666
1604671564265,70,-0.33789062,-0.7214966,-0.52545166
