timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601411266712,0,-0.23486328,-1.2600708,-0.01739502,Chest,Right,s1711507,12,123
1601411266715,1,-0.22729492,-1.0632935,-0.09185791,Chest,Right,s1711507,12,123
1601411266719,2,-0.20898438,-1.0789185,-0.11553955,Chest,Right,s1711507,12,123
1601411266721,3,-0.26782227,-1.0308228,-0.12017822,Chest,Right,s1711507,12,123
1601411266723,4,-0.40966797,-1.0606079,-0.093811035,Chest,Right,s1711507,12,123
1601411266724,5,-0.48046875,-0.87213135,-0.08013916,Chest,Right,s1711507,12,123
1601411266727,6,-0.28735352,-1.0767212,-0.027893066,Chest,Right,s1711507,12,123
1601411266729,7,-0.19555664,-0.90802,-0.015686035,Chest,Right,s1711507,12,123
1601411266730,8,-0.41918945,-1.0586548,0.057800293,Chest,Right,s1711507,12,123
1601411266734,9,-0.29907227,-0.9619751,-0.00982666,Chest,Right,s1711507,12,123
1601411266735,10,-0.34545898,-0.98931885,0.0026245117,Chest,Right,s1711507,12,123
1601411266737,11,-0.24707031,-1.0095825,-0.015197754,Chest,Right,s1711507,12,123
1601411266738,12,-0.17773438,-1.0713501,-0.026672363,Chest,Right,s1711507,12,123
1601411266740,13,-0.068603516,-1.0188599,-0.04473877,Chest,Right,s1711507,12,123
1601411266741,14,-0.05493164,-1.1282349,-0.018371582,Chest,Right,s1711507,12,123
1601411266742,15,0.011962891,-1.1021118,-0.07720947,Chest,Right,s1711507,12,123
1601411266743,16,-0.049804688,-0.986145,-0.062072754,Chest,Right,s1711507,12,123
1601411266746,17,-0.07861328,-1.0029907,-0.04498291,Chest,Right,s1711507,12,123
1601411266747,18,-0.07080078,-1.0598755,-0.046691895,Chest,Right,s1711507,12,123
1601411266748,19,-0.061035156,-1.0647583,-0.032043457,Chest,Right,s1711507,12,123
1601411266750,20,-0.17382812,-1.1292114,-0.03643799,Chest,Right,s1711507,12,123
1601411266751,21,-0.20458984,-1.0877075,-0.051818848,Chest,Right,s1711507,12,123
1601411266752,22,-0.4008789,-0.8242798,0.1618042,Chest,Right,s1711507,12,123
1601411266753,23,-0.23168945,-1.2254028,0.05267334,Chest,Right,s1711507,12,123
1601411266753,24,-0.12817383,-0.82403564,0.06121826,Chest,Right,s1711507,12,123
1601411266754,25,-0.30932617,-1.005188,0.12054443,Chest,Right,s1711507,12,123
1601411266755,26,-0.27685547,-0.99468994,0.12957764,Chest,Right,s1711507,12,123
1601411266756,27,-0.19580078,-1.0183716,0.117370605,Chest,Right,s1711507,12,123
1601411266757,28,-0.3034668,-1.2249146,0.078552246,Chest,Right,s1711507,12,123
1601411266758,29,-0.46166992,-1.4580688,-0.05328369,Chest,Right,s1711507,12,123
1601411266758,30,-0.106933594,-0.9092407,-0.38336182,Chest,Right,s1711507,12,123
1601411266759,31,-0.3803711,-1.2617798,-0.21099854,Chest,Right,s1711507,12,123
1601411269640,32,-0.15161133,-0.71588135,-0.10064697,Chest,Right,s1711507,12,123
1601411269642,33,-0.037597656,-0.51104736,-0.1038208,Chest,Right,s1711507,12,123
1601411269645,34,-0.24047852,-0.99884033,-0.21954346,Chest,Right,s1711507,12,123
1601411269647,35,-0.15234375,-1.2922974,-0.13336182,Chest,Right,s1711507,12,123
1601411269650,36,-0.22045898,-1.2251587,-0.21173096,Chest,Right,s1711507,12,123
1601411269653,37,-0.5708008,-1.2097778,-0.24249268,Chest,Right,s1711507,12,123
1601411269654,38,-0.4362793,-1.0210571,-0.12261963,Chest,Right,s1711507,12,123
1601411269655,39,-0.31469727,-0.99542236,-0.037902832,Chest,Right,s1711507,12,123
1601411269656,40,-0.3383789,-0.7827759,-0.009338379,Chest,Right,s1711507,12,123
1601411269658,41,-0.16552734,-0.6555786,0.0028686523,Chest,Right,s1711507,12,123
1601411269659,42,-0.2084961,-0.8699341,0.10809326,Chest,Right,s1711507,12,123
1601411269661,43,-0.33984375,-1.036438,0.14031982,Chest,Right,s1711507,12,123
1601411269663,44,-0.28051758,-1.3140259,0.16693115,Chest,Right,s1711507,12,123
1601411269665,45,-0.45776367,-1.4299927,-0.0791626,Chest,Right,s1711507,12,123
1601411269667,46,-0.16479492,-0.89727783,-0.34283447,Chest,Right,s1711507,12,123
1601411269669,47,-0.23779297,-1.1238403,-0.20806885,Chest,Right,s1711507,12,123
1601411269671,48,-0.2553711,-0.7439575,-0.13702393,Chest,Right,s1711507,12,123
1601411269672,49,-0.038330078,-0.52667236,-0.13726807,Chest,Right,s1711507,12,123
1601411269674,50,-0.1965332,-0.9607544,-0.17999268,Chest,Right,s1711507,12,123
1601411269679,51,-0.15161133,-1.2102661,-0.19976807,Chest,Right,s1711507,12,123
1601411269679,52,-0.21655273,-1.1882935,-0.18096924,Chest,Right,s1711507,12,123
1601411269685,53,-0.4729004,-1.3379517,-0.28082275,Chest,Right,s1711507,12,123
1601411269685,54,-0.6152344,-0.99542236,-0.2913208,Chest,Right,s1711507,12,123
1601411269685,55,-0.4099121,-1.1275024,-0.09210205,Chest,Right,s1711507,12,123
1601411269686,56,-0.15283203,-0.69903564,-0.13897705,Chest,Right,s1711507,12,123
1601411269687,57,-0.3449707,-0.57354736,-0.028869629,Chest,Right,s1711507,12,123
1601411269688,58,-0.19677734,-0.8530884,0.0099487305,Chest,Right,s1711507,12,123
1601411269688,59,-0.32739258,-1.3272095,0.12322998,Chest,Right,s1711507,12,123
1601411269689,60,-0.4033203,-1.2844849,-0.09234619,Chest,Right,s1711507,12,123
1601411269690,61,-0.26464844,-1.0957642,-0.30914307,Chest,Right,s1711507,12,123
1601411269691,62,-0.18457031,-1.0303345,-0.30474854,Chest,Right,s1711507,12,123
1601411269694,63,-0.21044922,-0.88287354,-0.041809082,Chest,Right,s1711507,12,123
