timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601411210354,0,-0.15234375,-1.166565,-0.14141846,Chest,Right,s1711507,13,123
1601411210356,1,-0.21508789,-0.7649536,-0.07720947,Chest,Right,s1711507,13,123
1601411210359,2,0.0,-0.59088135,-0.10699463,Chest,Right,s1711507,13,123
1601411210360,3,-0.13793945,-0.8909302,-0.15557861,Chest,Right,s1711507,13,123
1601411210362,4,-0.31274414,-1.2244263,-0.045715332,Chest,Right,s1711507,13,123
1601411210363,5,-0.14819336,-0.9651489,-0.07110596,Chest,Right,s1711507,13,123
1601411210364,6,-0.22363281,-1.0271606,-0.07501221,Chest,Right,s1711507,13,123
1601411210365,7,-0.11279297,-1.0723267,-0.1663208,Chest,Right,s1711507,13,123
1601411210366,8,-0.31225586,-1.1047974,-0.113586426,Chest,Right,s1711507,13,123
1601411210367,9,-0.28686523,-1.0078735,-0.0803833,Chest,Right,s1711507,13,123
1601411210368,10,-0.38232422,-0.9578247,-0.04107666,Chest,Right,s1711507,13,123
1601411210370,11,-0.3161621,-1.0401001,-0.018371582,Chest,Right,s1711507,13,123
1601411210370,12,-0.20239258,-0.89727783,0.0014038086,Chest,Right,s1711507,13,123
1601411210371,13,-0.28857422,-1.0420532,0.058532715,Chest,Right,s1711507,13,123
1601411210375,14,-0.2290039,-1.0081177,0.0770874,Chest,Right,s1711507,13,123
1601411210377,15,-0.18359375,-0.9907837,0.098083496,Chest,Right,s1711507,13,123
1601411210378,16,-0.032226562,-1.0857544,0.09979248,Chest,Right,s1711507,13,123
1601411210379,17,-0.18017578,-1.0999146,0.054138184,Chest,Right,s1711507,13,123
1601411210380,18,-0.24682617,-0.9378052,-0.04058838,Chest,Right,s1711507,13,123
1601411210381,19,-0.020263672,-1.0064087,-0.07086182,Chest,Right,s1711507,13,123
1601411210382,20,-0.08520508,-1.1316528,0.039001465,Chest,Right,s1711507,13,123
1601411210383,21,0.008544922,-0.94781494,0.028259277,Chest,Right,s1711507,13,123
1601411210384,22,-0.09643555,-1.0481567,0.06341553,Chest,Right,s1711507,13,123
1601411210385,23,-0.12646484,-1.0271606,0.047790527,Chest,Right,s1711507,13,123
1601411210385,24,-0.08886719,-1.1558228,0.047546387,Chest,Right,s1711507,13,123
1601411210386,25,-0.22192383,-1.0755005,0.014587402,Chest,Right,s1711507,13,123
1601411210387,26,-0.34838867,-1.0391235,0.0053100586,Chest,Right,s1711507,13,123
1601411210388,27,-0.1850586,-1.0757446,0.11663818,Chest,Right,s1711507,13,123
1601411210391,28,-0.24072266,-0.9295044,0.08709717,Chest,Right,s1711507,13,123
1601411210393,29,-0.20532227,-0.87457275,0.1329956,Chest,Right,s1711507,13,123
1601411210396,30,-0.14135742,-0.9558716,0.13006592,Chest,Right,s1711507,13,123
1601411210397,31,-0.12670898,-0.9534302,0.14154053,Chest,Right,s1711507,13,123
1601411212894,32,-0.18310547,-0.9126587,0.1605835,Chest,Right,s1711507,13,123
1601411212895,33,-0.17504883,-0.86602783,0.1473999,Chest,Right,s1711507,13,123
1601411212895,34,-0.16870117,-0.6807251,0.17474365,Chest,Right,s1711507,13,123
1601411212899,35,-0.10522461,-0.8049927,0.062194824,Chest,Right,s1711507,13,123
1601411212899,36,-0.1159668,-1.8726196,-0.29962158,Chest,Right,s1711507,13,123
1601411212900,37,-0.091308594,-1.5020142,0.25994873,Chest,Right,s1711507,13,123
1601411212901,38,-0.11669922,-0.8604126,-0.009094238,Chest,Right,s1711507,13,123
1601411212902,39,0.020019531,-0.7781372,0.022644043,Chest,Right,s1711507,13,123
1601411212906,40,-0.15063477,-0.9714966,0.016296387,Chest,Right,s1711507,13,123
1601411212906,41,-0.018066406,-0.83062744,0.105407715,Chest,Right,s1711507,13,123
1601411212906,42,0.0625,-0.6421509,0.15374756,Chest,Right,s1711507,13,123
1601411212907,43,-0.34545898,-0.9614868,-0.073791504,Chest,Right,s1711507,13,123
1601411212911,44,-0.5473633,-1.8115845,0.26385498,Chest,Right,s1711507,13,123
1601411212912,45,-0.17871094,-1.489563,0.21258545,Chest,Right,s1711507,13,123
1601411212913,46,-0.06518555,-0.62384033,0.07928467,Chest,Right,s1711507,13,123
1601411212917,47,-0.18652344,-0.7185669,0.17034912,Chest,Right,s1711507,13,123
1601411212918,48,-0.18237305,-0.6782837,0.16326904,Chest,Right,s1711507,13,123
1601411212924,49,-0.18432617,-0.74664307,0.20379639,Chest,Right,s1711507,13,123
1601411212924,50,-0.041992188,-0.85040283,0.01361084,Chest,Right,s1711507,13,123
1601411212926,51,-0.27539062,-1.7268677,-0.13531494,Chest,Right,s1711507,13,123
1601411212931,52,-0.17016602,-1.9863892,0.11199951,Chest,Right,s1711507,13,123
1601411212933,53,-0.048583984,-0.43218994,0.0368042,Chest,Right,s1711507,13,123
1601411212935,54,-0.04638672,-0.8599243,-0.06695557,Chest,Right,s1711507,13,123
1601411212936,55,-0.11694336,-1.0213013,0.019226074,Chest,Right,s1711507,13,123
1601411212938,56,0.010986328,-0.72906494,0.035095215,Chest,Right,s1711507,13,123
1601411212939,57,-0.05053711,-0.5015259,0.12225342,Chest,Right,s1711507,13,123
1601411212940,58,-0.40966797,-1.2366333,-0.0635376,Chest,Right,s1711507,13,123
1601411212941,59,-0.5383301,-1.9998169,0.35125732,Chest,Right,s1711507,13,123
1601411212941,60,-0.114746094,-1.0281372,0.11419678,Chest,Right,s1711507,13,123
1601411212942,61,0.019042969,-0.567688,0.09906006,Chest,Right,s1711507,13,123
1601411212943,62,-0.31445312,-0.83917236,0.19573975,Chest,Right,s1711507,13,123
1601411212943,63,-0.107910156,-0.81207275,0.18182373,Chest,Right,s1711507,13,123
