# Sensor position: Front pocket (trouser)
# Sensor side: Right
# Activity type: Descending stairs
# Activity code: 13
# Subject id: s1711507
timestamp,seq,accel_x,accel_y,accel_z
1602700273800,0,-0.41137695,-1.055481,0.14959717
1602700273878,1,-0.5126953,-1.0122681,-0.0020141602
1602700273957,2,-0.4814453,-0.894104,-0.031555176
1602700274036,3,-0.18579102,-0.9780884,0.06317139
1602700274115,4,-0.15234375,-0.92266846,0.07611084
1602700274193,5,-0.095214844,-0.96832275,0.2453003
1602700274272,6,-0.088378906,-1.1150513,0.34954834
1602700274351,7,-0.35180664,-0.94244385,-0.038391113
1602700274430,8,-0.11743164,-1.1008911,-0.013244629
1602700274508,9,-0.11328125,-1.0696411,-0.08258057
1602700274587,10,-0.06298828,-1.0462036,-0.058898926
1602700274666,11,-0.061035156,-1.0645142,0.0692749
1602700274745,12,-0.07519531,-1.0484009,0.105163574
1602700274823,13,-0.1430664,-1.0256958,0.038269043
1602700274902,14,-0.25683594,-1.0388794,0.014343262
1602700274981,15,-0.3774414,-1.09552,0.1083374
1602700275060,16,-0.35180664,-0.99786377,0.08294678
1602700275138,17,-0.22875977,-0.9661255,0.14349365
1602700275217,18,-0.059570312,-0.8909302,0.27874756
1602700275296,19,-0.25610352,-0.84747314,0.3209839
1602700275375,20,-0.3984375,-0.8821411,0.32122803
1602700275453,21,-0.40185547,-0.96295166,0.35858154
1602700275532,22,0.2475586,-1.1345825,0.12957764
1602700275611,23,-0.06713867,-1.0640259,-0.035461426
1602700275690,24,-0.21533203,-1.0386353,0.07147217
1602700275768,25,-0.18725586,-1.0044556,0.16668701
1602700275847,26,-0.17285156,-1.0064087,0.25750732
1602700275926,27,-0.33666992,-0.8557739,0.19720459
1602700276005,28,-0.024169922,-0.8743286,0.16619873
1602700276083,29,-0.010009766,-0.8496704,0.09613037
1602700276162,30,-0.099121094,-1.069397,0.35980225
1602700276241,31,-0.32910156,-1.6082153,0.37225342
1602700276320,32,-0.47680664,-1.062561,0.046813965
1602700276416,33,-0.29589844,-0.6260376,0.014831543
1602700276513,34,-0.35791016,-0.6187134,0.06878662
1602700276609,35,-0.27612305,-0.8633423,0.41693115
1602700276706,36,-0.2626953,-0.89678955,0.46624756
1602700276802,37,-0.13476562,-0.74053955,0.31707764
1602700276899,38,0.26513672,-1.4280396,0.27850342
1602700276995,39,-0.63378906,-1.43927,-0.0012817383
1602700277092,40,0.059814453,-1.2224731,-0.15240479
1602700277189,41,-0.015136719,-0.9649048,0.12884521
1602700277285,42,-0.38720703,-0.7962036,0.41571045
1602700277382,43,0.072021484,-0.7815552,0.20306396
1602700277478,44,-0.099121094,-1.0066528,0.30950928
1602700277575,45,-0.39941406,-1.6467896,0.36419678
1602700277671,46,-0.38549805,-1.2136841,0.13739014
1602700277768,47,-0.35742188,-0.68218994,0.061462402
1602700277865,48,-0.4440918,-0.5281372,0.030700684
1602700277961,49,-0.080566406,-0.7300415,0.17645264
1602700278058,50,-0.3395996,-1.0181274,0.54193115
1602700278154,51,-0.34716797,-0.78619385,0.46209717
1602700278251,52,0.29223633,-1.2918091,0.2255249
1602700278347,53,-0.39868164,-1.5515747,0.022399902
1602700278444,54,-0.1899414,-1.0410767,-0.2341919
1602700278540,55,0.14233398,-1.1226196,0.010437012
1602700278637,56,-0.29541016,-0.93536377,0.35443115
1602700278734,57,-0.03466797,-0.87042236,0.24847412
1602700278830,58,0.044189453,-0.80792236,0.105895996
1602700278927,59,-0.24804688,-0.9692993,0.34100342
1602700279023,60,-0.07421875,-1.673645,0.36053467
1602700279120,61,-0.47070312,-1.2398071,0.11395264
1602700279216,62,-0.28979492,-0.75006104,0.09661865
1602700279313,63,-0.38305664,-0.5444946,0.01727295
1602700279410,64,-0.009521484,-0.75006104,0.17913818
1602700279488,65,-0.38378906,-0.9558716,0.51678467
1602700279567,66,-0.35424805,-0.7554321,0.50653076
1602700279646,67,0.15112305,-1.2212524,0.14129639
1602700279725,68,-0.24414062,-1.5803833,0.215271
1602700279803,69,-0.29492188,-1.11969,-0.3147583
1602700279882,70,0.24682617,-1.1995239,-0.009094238
1602700279961,71,-0.34350586,-0.85357666,0.2411499
1602700280040,72,0.053466797,-0.92266846,0.2255249
1602700280118,73,-0.046142578,-0.8633423,0.2140503
1602700280197,74,-0.31982422,-0.83184814,0.19281006
1602700280276,75,0.037109375,-1.381897,0.38446045
1602700280355,76,-0.37280273,-1.4077759,0.16278076
1602700280433,77,-0.3310547,-1.0366821,0.027038574
1602700280512,78,-0.24926758,-0.63775635,-0.053527832
1602700280591,79,-0.3215332,-0.7283325,0.09686279
1602700280670,80,-0.59887695,-0.831604,0.4616089
1602700280748,81,-0.26831055,-0.8899536,0.38275146
1602700280827,82,0.0053710938,-0.73101807,0.21942139
1602700280906,83,-0.028320312,-1.5354614,-0.09429932
1602700280985,84,-0.39160156,-1.6567993,0.07928467
1602700281063,85,0.3088379,-1.1838989,-0.22808838
1602700281142,86,-0.3972168,-0.8513794,0.17669678
1602700281221,87,0.026367188,-0.8933716,0.1762085
1602700281300,88,0.07910156,-0.8567505,0.032165527
1602700281378,89,-0.18896484,-0.9138794,0.16595459
1602700281457,90,-0.18017578,-0.9492798,0.4130249
1602700281536,91,0.07006836,-1.4338989,0.32269287
1602700281615,92,-0.28076172,-1.3904419,0.03338623
1602700281693,93,-0.27392578,-1.015686,0.08709717
1602700281772,94,-0.42041016,-0.7114868,-0.045959473
1602700281851,95,-0.17749023,-0.6123657,0.07269287
