timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601410764390,0,-0.14013672,-0.97125244,0.29632568,Chest,Right,s1711507,31,123
1601410764391,1,-0.13867188,-0.97979736,0.28948975,Chest,Right,s1711507,31,123
1601410764393,2,-0.13696289,-0.97662354,0.28729248,Chest,Right,s1711507,31,123
1601410764394,3,-0.1459961,-0.98321533,0.27752686,Chest,Right,s1711507,31,123
1601410764396,4,-0.14331055,-0.9846802,0.27166748,Chest,Right,s1711507,31,123
1601410764397,5,-0.1430664,-0.99176025,0.2662964,Chest,Right,s1711507,31,123
1601410764398,6,-0.14648438,-0.9768677,0.26141357,Chest,Right,s1711507,31,123
1601410764399,7,-0.16455078,-0.975647,0.28411865,Chest,Right,s1711507,31,123
1601410764402,8,-0.17504883,-0.97784424,0.27825928,Chest,Right,s1711507,31,123
1601410764405,9,-0.17211914,-0.9680786,0.2855835,Chest,Right,s1711507,31,123
1601410764406,10,-0.18334961,-0.9812622,0.27972412,Chest,Right,s1711507,31,123
1601410764407,11,-0.18139648,-0.9788208,0.27386475,Chest,Right,s1711507,31,123
1601410764408,12,-0.16186523,-0.9783325,0.2711792,Chest,Right,s1711507,31,123
1601410764410,13,-0.1862793,-0.97540283,0.2921753,Chest,Right,s1711507,31,123
1601410764411,14,-0.19067383,-0.9627075,0.30975342,Chest,Right,s1711507,31,123
1601410764412,15,-0.18798828,-0.96343994,0.3126831,Chest,Right,s1711507,31,123
1601410764414,16,-0.17993164,-0.97125244,0.31097412,Chest,Right,s1711507,31,123
1601410764414,17,-0.18310547,-0.9644165,0.3065796,Chest,Right,s1711507,31,123
1601410764416,18,-0.1784668,-0.97125244,0.30584717,Chest,Right,s1711507,31,123
1601410764419,19,-0.18652344,-0.9607544,0.31414795,Chest,Right,s1711507,31,123
1601410764421,20,-0.18139648,-0.95758057,0.3241577,Chest,Right,s1711507,31,123
1601410764424,21,-0.18115234,-0.95806885,0.322937,Chest,Right,s1711507,31,123
1601410764425,22,-0.17114258,-0.9578247,0.33270264,Chest,Right,s1711507,31,123
1601410764426,23,-0.17382812,-0.95562744,0.31585693,Chest,Right,s1711507,31,123
1601410764427,24,-0.1821289,-0.973938,0.29730225,Chest,Right,s1711507,31,123
1601410764429,25,-0.18017578,-0.9697876,0.29119873,Chest,Right,s1711507,31,123
1601410764430,26,-0.17480469,-0.9685669,0.2897339,Chest,Right,s1711507,31,123
1601410764431,27,-0.1821289,-0.9788208,0.28216553,Chest,Right,s1711507,31,123
1601410764433,28,-0.1850586,-0.97662354,0.27093506,Chest,Right,s1711507,31,123
1601410764434,29,-0.19189453,-0.9824829,0.25286865,Chest,Right,s1711507,31,123
1601410764435,30,-0.19311523,-0.9849243,0.27142334,Chest,Right,s1711507,31,123
1601410764436,31,-0.16748047,-0.97662354,0.26898193,Chest,Right,s1711507,31,123
1601410766932,32,-0.17871094,-0.9902954,0.26312256,Chest,Right,s1711507,31,123
1601410766933,33,-0.18041992,-0.98272705,0.2555542,Chest,Right,s1711507,31,123
1601410766935,34,-0.18310547,-0.98321533,0.26263428,Chest,Right,s1711507,31,123
1601410766937,35,-0.18188477,-0.98150635,0.27069092,Chest,Right,s1711507,31,123
1601410766938,36,-0.18359375,-0.9807739,0.27191162,Chest,Right,s1711507,31,123
1601410766939,37,-0.18066406,-0.975647,0.28485107,Chest,Right,s1711507,31,123
1601410766940,38,-0.18115234,-0.97540283,0.29119873,Chest,Right,s1711507,31,123
1601410766941,39,-0.17871094,-0.97320557,0.30218506,Chest,Right,s1711507,31,123
1601410766942,40,-0.17114258,-0.96539307,0.30438232,Chest,Right,s1711507,31,123
1601410766943,41,-0.17675781,-0.9690552,0.30926514,Chest,Right,s1711507,31,123
1601410766944,42,-0.17260742,-0.9639282,0.31488037,Chest,Right,s1711507,31,123
1601410766946,43,-0.16601562,-0.96173096,0.32025146,Chest,Right,s1711507,31,123
1601410766948,44,-0.17041016,-0.9656372,0.3204956,Chest,Right,s1711507,31,123
1601410766949,45,-0.16503906,-0.9573364,0.32318115,Chest,Right,s1711507,31,123
1601410766950,46,-0.17236328,-0.9636841,0.32928467,Chest,Right,s1711507,31,123
1601410766951,47,-0.16601562,-0.958313,0.32904053,Chest,Right,s1711507,31,123
1601410766952,48,-0.15893555,-0.9546509,0.3300171,Chest,Right,s1711507,31,123
1601410766954,49,-0.16674805,-0.96295166,0.32562256,Chest,Right,s1711507,31,123
1601410766955,50,-0.16967773,-0.9624634,0.32366943,Chest,Right,s1711507,31,123
1601410766956,51,-0.16870117,-0.9690552,0.3168335,Chest,Right,s1711507,31,123
1601410766957,52,-0.16748047,-0.96417236,0.30950928,Chest,Right,s1711507,31,123
1601410766957,53,-0.1743164,-0.96832275,0.30560303,Chest,Right,s1711507,31,123
1601410766958,54,-0.17236328,-0.9656372,0.29510498,Chest,Right,s1711507,31,123
1601410766960,55,-0.1743164,-0.9758911,0.2850952,Chest,Right,s1711507,31,123
1601410766960,56,-0.17895508,-0.9800415,0.27825928,Chest,Right,s1711507,31,123
1601410766961,57,-0.18164062,-0.98028564,0.26605225,Chest,Right,s1711507,31,123
1601410766962,58,-0.1875,-0.98223877,0.26239014,Chest,Right,s1711507,31,123
1601410766964,59,-0.18530273,-0.98101807,0.26727295,Chest,Right,s1711507,31,123
1601410766966,60,-0.1784668,-0.97735596,0.26849365,Chest,Right,s1711507,31,123
1601410766968,61,-0.18237305,-0.9780884,0.27923584,Chest,Right,s1711507,31,123
