timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601410308386,0,0.20947266,-1.0508423,-0.19708252,Chest,Left,s1711507,1,123
1601410308394,1,0.29418945,-1.0630493,-0.0791626,Chest,Left,s1711507,1,123
1601410308405,2,0.16479492,-0.93048096,-0.0960083,Chest,Left,s1711507,1,123
1601410308410,3,0.19921875,-1.010315,-0.17218018,Chest,Left,s1711507,1,123
1601410308410,4,0.13232422,-1.0227661,-0.20196533,Chest,Left,s1711507,1,123
1601410308412,5,0.27539062,-1.0308228,-0.30108643,Chest,Left,s1711507,1,123
1601410308413,6,0.1875,-0.97052,-0.1795044,Chest,Left,s1711507,1,123
1601410308414,7,-0.1550293,-0.9968872,-0.26617432,Chest,Left,s1711507,1,123
1601410308419,8,0.25732422,-1.0388794,-0.2210083,Chest,Left,s1711507,1,123
1601410308436,9,-0.012207031,-0.9710083,-0.18511963,Chest,Left,s1711507,1,123
1601410308436,10,0.048339844,-1.0281372,-0.17242432,Chest,Left,s1711507,1,123
1601410308445,11,0.07421875,-1.0420532,-0.1897583,Chest,Left,s1711507,1,123
1601410308448,12,0.046875,-0.99664307,-0.13653564,Chest,Left,s1711507,1,123
1601410308450,13,0.00390625,-1.0247192,-0.11895752,Chest,Left,s1711507,1,123
1601410308453,14,-0.0012207031,-1.0176392,-0.12188721,Chest,Left,s1711507,1,123
1601410310828,15,0.034179688,-1.1118774,-0.12530518,Chest,Left,s1711507,1,123
1601410310830,16,0.06982422,-1.045227,-0.12237549,Chest,Left,s1711507,1,123
1601410310832,17,0.084472656,-0.9324341,-0.15093994,Chest,Left,s1711507,1,123
1601410310836,18,0.11254883,-1.0596313,-0.16436768,Chest,Left,s1711507,1,123
1601410310838,19,0.14379883,-0.93951416,-0.05230713,Chest,Left,s1711507,1,123
1601410310840,20,0.08959961,-1.1592407,-0.07550049,Chest,Left,s1711507,1,123
1601410310841,21,0.092041016,-0.88409424,-0.059143066,Chest,Left,s1711507,1,123
1601410310842,22,0.08496094,-1.0198364,-0.05206299,Chest,Left,s1711507,1,123
1601410310844,23,0.025878906,-0.9924927,-0.10284424,Chest,Left,s1711507,1,123
1601410310845,24,0.110839844,-1.1589966,-0.012512207,Chest,Left,s1711507,1,123
1601410310846,25,0.27294922,-1.3792114,-0.206604,Chest,Left,s1711507,1,123
1601410310848,26,0.25927734,-0.9768677,-0.25738525,Chest,Left,s1711507,1,123
1601410310849,27,0.08081055,-0.8291626,-0.28814697,Chest,Left,s1711507,1,123
1601410310850,28,0.1784668,-0.95562744,-0.11846924,Chest,Left,s1711507,1,123
1601410310850,29,-0.061523438,-0.8635864,-0.12286377,Chest,Left,s1711507,1,123
1601410310852,30,0.041015625,-0.94781494,-0.06304932,Chest,Left,s1711507,1,123
1601410310855,31,0.09716797,-1.0283813,-0.09893799,Chest,Left,s1711507,1,123
1601410310857,32,-0.03149414,-1.112854,-0.09136963,Chest,Left,s1711507,1,123
1601410310858,33,0.09716797,-1.3550415,-0.18121338,Chest,Left,s1711507,1,123
1601410310859,34,0.23217773,-1.0232544,-0.2119751,Chest,Left,s1711507,1,123
1601410310861,35,0.4794922,-0.80352783,-0.09161377,Chest,Left,s1711507,1,123
