# Sensor position: Chest
# Sensor side: Right
# Activity type: Lying down left
# Activity code: 7
# Subject id: s1715857
timestamp,seq,accel_x,accel_y,accel_z
1610643892646,0,-0.6220703,-0.1651001,0.7536011
1610643892724,1,-0.67529297,-0.16851807,0.74798584
1610643892803,2,-0.7277832,-0.1362915,0.68182373
1610643892882,3,-0.7158203,-0.09649658,0.64642334
1610643892961,4,-0.670166,-0.109680176,0.6293335
1610643893039,5,-0.6953125,-0.16973877,0.73651123
1610643893118,6,-0.5522461,-0.2263794,0.7836304
1610643893197,7,-0.5554199,-0.18878174,0.7736206
1610643893276,8,-0.546875,-0.17510986,0.8016968
1610643893354,9,-0.5317383,-0.19805908,0.7802124
1610643893433,10,-0.55566406,-0.19366455,0.774353
1610643893512,11,-0.5620117,-0.17779541,0.76849365
1610643893591,12,-0.564209,-0.18634033,0.7819214
1610643893669,13,-0.5708008,-0.21636963,0.7411499
1610643893748,14,-0.5593262,-0.16241455,0.77557373
1610643893827,15,-0.59350586,-0.13067627,0.7741089
1610643893906,16,-0.5776367,-0.15045166,0.7765503
1610643893984,17,-0.5917969,-0.15167236,0.75579834
1610643894063,18,-0.59643555,-0.14581299,0.75531006
1610643894142,19,-0.5695801,-0.13873291,0.7719116
1610643894221,20,-0.564209,-0.16436768,0.79437256
1610643894299,21,-0.560791,-0.18707275,0.78289795
1610643894378,22,-0.5773926,-0.17144775,0.74920654
1610643894457,23,-0.60058594,-0.14752197,0.7628784
1610643894536,24,-0.6220703,-0.20391846,0.7509155
1610643894614,25,-0.58447266,-0.22735596,0.729187
1610643894693,26,-0.57421875,-0.19708252,0.77093506
1610643894772,27,-0.5554199,-0.21343994,0.79022217
1610643894851,28,-0.56640625,-0.20928955,0.7687378
1610643894929,29,-0.5546875,-0.18780518,0.7658081
1610643895008,30,-0.53637695,-0.20025635,0.7809448
1610643895087,31,-0.54418945,-0.19830322,0.78167725
1610643895166,32,-0.560791,-0.17779541,0.7807007
1610643895244,33,-0.5522461,-0.18341064,0.7758179
1610643895323,34,-0.5620117,-0.18756104,0.77801514
1610643895402,35,-0.5686035,-0.17803955,0.7748413
1610643895481,36,-0.55615234,-0.18048096,0.74823
1610643895559,37,-0.5500488,-0.19342041,0.7982788
1610643895638,38,-0.56274414,-0.11065674,0.7782593
1610643895717,39,-0.56689453,-0.1272583,0.7789917
1610643895796,40,-0.5666504,-0.15631104,0.7929077
1610643895874,41,-0.5595703,-0.1326294,0.80023193
1610643895953,42,-0.56347656,-0.14141846,0.7650757
1610643896032,43,-0.5883789,-0.15460205,0.7887573
1610643896111,44,-0.5749512,-0.17047119,0.7509155
1610643896189,45,-0.6035156,-0.16143799,0.7418823
1610643896268,46,-0.6015625,-0.16461182,0.75653076
1610643896347,47,-0.61083984,-0.1519165,0.7628784
1610643896426,48,-0.5966797,-0.1729126,0.7592163
1610643896504,49,-0.60302734,-0.18218994,0.73895264
1610643896583,50,-0.6064453,-0.19952393,0.7411499
1610643896662,51,-0.59594727,-0.19903564,0.7548218
1610643896741,52,-0.61865234,-0.18756104,0.7406616
1610643896819,53,-0.61694336,-0.19927979,0.746521
1610643896898,54,-0.5944824,-0.20831299,0.7531128
1610643896977,55,-0.6044922,-0.20147705,0.7531128
1610643897056,56,-0.56811523,-0.2000122,0.74383545
1610643897134,57,-0.5864258,-0.21514893,0.7597046
1610643897213,58,-0.5505371,-0.19342041,0.77801514
1610643897292,59,-0.54589844,-0.21807861,0.7716675
1610643897371,60,-0.5476074,-0.20172119,0.78656006
1610643897449,61,-0.5551758,-0.19366455,0.7797241
1610643897528,62,-0.54589844,-0.20880127,0.77386475
