# Sensor position: Wrist
# Sensor side: Right
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1736273
timestamp,seq,accel_x,accel_y,accel_z
1602767611896,0,-0.010253906,-1.0239868,-0.16412354
1602767611974,1,-0.0031738281,-1.005188,-0.15997314
1602767612053,2,-0.0043945312,-1.0188599,-0.17071533
1602767612132,3,-4.8828125E-4,-1.0090942,-0.16607666
1602767612211,4,-0.0014648438,-1.0127563,-0.18048096
1602767612289,5,-0.001953125,-1.0130005,-0.17364502
1602767612368,6,-0.006591797,-1.0249634,-0.1651001
1602767612447,7,-0.0056152344,-1.0169067,-0.1572876
1602767612526,8,-4.8828125E-4,-1.0056763,-0.16705322
1602767612604,9,-0.0017089844,-1.013977,-0.1795044
1602767612683,10,2.4414062E-4,-1.0039673,-0.18487549
1602767612762,11,-0.0034179688,-1.00177,-0.17779541
1602767612841,12,-0.011962891,-1.0198364,-0.18292236
1602767612919,13,-0.017578125,-1.0247192,-0.18536377
1602767612998,14,-0.01953125,-1.0115356,-0.19073486
1602767613077,15,-0.009521484,-1.0110474,-0.20269775
1602767613156,16,-0.013183594,-1.0132446,-0.2131958
1602767613234,17,-0.0146484375,-1.0056763,-0.2053833
1602767613313,18,-0.009521484,-1.0003052,-0.20098877
1602767613392,19,-0.030517578,-1.0291138,-0.1897583
1602767613471,20,-0.028564453,-1.0166626,-0.18170166
1602767613549,21,-0.020507812,-1.0078735,-0.1885376
1602767613628,22,-0.013671875,-1.0095825,-0.20269775
1602767613707,23,-0.018554688,-1.0110474,-0.20635986
1602767613786,24,-0.028320312,-1.0200806,-0.19000244
1602767613864,25,-0.021240234,-1.0071411,-0.17364502
1602767613943,26,-0.017333984,-1.0181274,-0.18170166
1602767614022,27,-0.014892578,-1.0095825,-0.18682861
1602767614101,28,-0.022216797,-1.0120239,-0.19049072
1602767614179,29,-0.018554688,-1.0144653,-0.1885376
1602767614258,30,-0.017822266,-1.0169067,-0.1819458
1602767614337,31,-0.010253906,-1.008606,-0.1831665
1602767614416,32,-0.010253906,-1.0093384,-0.19683838
1602767614494,33,-0.010009766,-1.0083618,-0.19781494
1602767614573,34,-0.006591797,-1.013977,-0.1951294
1602767614652,35,-0.0053710938,-1.0044556,-0.19708252
1602767614731,36,-0.0056152344,-1.0122681,-0.190979
1602767614809,37,-0.0078125,-1.0149536,-0.1975708
1602767614888,38,-0.0043945312,-1.0137329,-0.20196533
1602767614967,39,-0.0014648438,-1.0081177,-0.18707275
1602767615046,40,-0.005126953,-1.0098267,-0.19464111
1602767615124,41,0.0,-1.0066528,-0.20269775
1602767615203,42,0.001953125,-1.0066528,-0.20465088
1602767615282,43,-0.0063476562,-1.0151978,-0.20513916
1602767615361,44,-9.765625E-4,-1.0115356,-0.2029419
1602767615439,45,7.324219E-4,-1.0100708,-0.20465088
1602767615518,46,2.4414062E-4,-1.0108032,-0.20880127
1602767615597,47,-0.0034179688,-1.0032349,-0.2053833
1602767615676,48,-0.0073242188,-1.0078735,-0.19805908
1602767615754,49,-0.0068359375,-1.0110474,-0.20172119
1602767615833,50,-0.013427734,-1.0088501,-0.19805908
1602767615912,51,-0.010498047,-1.0110474,-0.19586182
1602767615991,52,-0.017578125,-1.0108032,-0.20196533
1602767616069,53,-0.015625,-1.015686,-0.19683838
1602767616148,54,-0.015380859,-1.0108032,-0.19439697
1602767616227,55,-0.013427734,-1.0132446,-0.19781494
1602767616306,56,-0.014892578,-1.0125122,-0.20123291
1602767616384,57,-0.018554688,-1.0122681,-0.19659424
1602767616463,58,-0.0146484375,-1.0130005,-0.19952393
1602767616542,59,-0.013916016,-1.0122681,-0.19537354
1602767616621,60,-0.01171875,-1.0083618,-0.20465088
