timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601129626335,0,-0.70458984,0.5036011,0.37445068,Chest,Right,s1737472,31,123
1601129626340,1,-0.73779297,0.5619507,0.4093628,Chest,Right,s1737472,31,123
1601129626350,2,-0.7050781,0.5446167,0.41278076,Chest,Right,s1737472,31,123
1601129626355,3,-0.7404785,0.4953003,0.43255615,Chest,Right,s1737472,31,123
1601129626360,4,-0.71313477,0.5285034,0.43475342,Chest,Right,s1737472,31,123
1601129626363,5,-0.71313477,0.55096436,0.44818115,Chest,Right,s1737472,31,123
1601129626367,6,-0.7314453,0.50994873,0.49066162,Chest,Right,s1737472,31,123
1601129626369,7,-0.732666,0.5282593,0.50335693,Chest,Right,s1737472,31,123
1601129626374,8,-0.6845703,0.53460693,0.50286865,Chest,Right,s1737472,31,123
1601129626375,9,-0.67822266,0.5338745,0.48260498,Chest,Right,s1737472,31,123
1601129626379,10,-0.6118164,0.55096436,0.4623413,Chest,Right,s1737472,31,123
1601129626389,11,-0.60717773,0.5932007,0.46917725,Chest,Right,s1737472,31,123
1601129626401,12,-0.6801758,0.59124756,0.46502686,Chest,Right,s1737472,31,123
1601129626403,13,-0.69384766,0.6166382,0.43304443,Chest,Right,s1737472,31,123
1601129626404,14,-0.69677734,0.5765991,0.3991089,Chest,Right,s1737472,31,123
1601129626408,15,-0.71850586,0.6100464,0.3908081,Chest,Right,s1737472,31,123
1601129626408,16,-0.7290039,0.62615967,0.3595581,Chest,Right,s1737472,31,123
1601129626410,17,-0.6496582,0.66204834,0.3414917,Chest,Right,s1737472,31,123
1601129626413,18,-0.6755371,0.6522827,0.31365967,Chest,Right,s1737472,31,123
1601129626416,19,-0.65771484,0.6671753,0.28240967,Chest,Right,s1737472,31,123
1601129626419,20,-0.66015625,0.6508179,0.2904663,Chest,Right,s1737472,31,123
1601129626422,21,-0.66308594,0.6420288,0.30438232,Chest,Right,s1737472,31,123
1601129626428,22,-0.67456055,0.5910034,0.32489014,Chest,Right,s1737472,31,123
1601129626428,23,-0.71313477,0.61053467,0.31195068,Chest,Right,s1737472,31,123
1601129626433,24,-0.6538086,0.72039795,0.29486084,Chest,Right,s1737472,31,123
1601129626435,25,-0.6467285,0.69866943,0.2789917,Chest,Right,s1737472,31,123
1601129626437,26,-0.7062988,0.6515503,0.30682373,Chest,Right,s1737472,31,123
1601129626441,27,-0.70288086,0.6227417,0.31976318,Chest,Right,s1737472,31,123
1601129626443,28,-0.6801758,0.63739014,0.3295288,Chest,Right,s1737472,31,123
1601129626445,29,-0.70654297,0.6129761,0.32489014,Chest,Right,s1737472,31,123
1601129626447,30,-0.70825195,0.6390991,0.31951904,Chest,Right,s1737472,31,123
1601129626450,31,-0.7248535,0.61151123,0.31756592,Chest,Right,s1737472,31,123
1601129628727,32,-0.6357422,0.6744995,0.3283081,Chest,Right,s1737472,31,123
1601129628731,33,-0.6569824,0.65008545,0.35247803,Chest,Right,s1737472,31,123
1601129628736,34,-0.6809082,0.6259155,0.33514404,Chest,Right,s1737472,31,123
1601129628738,35,-0.7297363,0.63568115,0.340271,Chest,Right,s1737472,31,123
1601129628743,36,-0.6489258,0.64056396,0.31903076,Chest,Right,s1737472,31,123
1601129628746,37,-0.71118164,0.62908936,0.33172607,Chest,Right,s1737472,31,123
1601129628748,38,-0.66064453,0.65740967,0.30218506,Chest,Right,s1737472,31,123
1601129628751,39,-0.6928711,0.6454468,0.33953857,Chest,Right,s1737472,31,123
1601129628753,40,-0.69628906,0.6227417,0.3270874,Chest,Right,s1737472,31,123
1601129628759,41,-0.6750488,0.6569214,0.32269287,Chest,Right,s1737472,31,123
1601129628760,42,-0.71069336,0.61102295,0.322937,Chest,Right,s1737472,31,123
1601129628762,43,-0.6887207,0.6395874,0.31610107,Chest,Right,s1737472,31,123
1601129628765,44,-0.6855469,0.63934326,0.34051514,Chest,Right,s1737472,31,123
1601129628767,45,-0.6928711,0.6305542,0.33099365,Chest,Right,s1737472,31,123
1601129628769,46,-0.69921875,0.62786865,0.33831787,Chest,Right,s1737472,31,123
1601129628772,47,-0.7116699,0.5951538,0.33880615,Chest,Right,s1737472,31,123
1601129628775,48,-0.6779785,0.63031006,0.34295654,Chest,Right,s1737472,31,123
1601129628777,49,-0.69506836,0.6395874,0.34051514,Chest,Right,s1737472,31,123
1601129628779,50,-0.68530273,0.61468506,0.34124756,Chest,Right,s1737472,31,123
1601129628786,51,-0.6989746,0.6273804,0.34857178,Chest,Right,s1737472,31,123
1601129628787,52,-0.69677734,0.6100464,0.3463745,Chest,Right,s1737472,31,123
1601129628792,53,-0.69189453,0.62371826,0.3554077,Chest,Right,s1737472,31,123
1601129628793,54,-0.7006836,0.6256714,0.33929443,Chest,Right,s1737472,31,123
1601129628793,55,-0.7067871,0.6178589,0.3475952,Chest,Right,s1737472,31,123
1601129628795,56,-0.67529297,0.6342163,0.33416748,Chest,Right,s1737472,31,123
1601129628797,57,-0.69311523,0.63397217,0.33319092,Chest,Right,s1737472,31,123
1601129628802,58,-0.69433594,0.6288452,0.33465576,Chest,Right,s1737472,31,123
1601129628803,59,-0.68652344,0.6227417,0.31756592,Chest,Right,s1737472,31,123
1601129628807,60,-0.70336914,0.63079834,0.32781982,Chest,Right,s1737472,31,123
1601129628807,61,-0.69873047,0.6281128,0.3336792,Chest,Right,s1737472,31,123
1601129628809,62,-0.673584,0.63812256,0.31732178,Chest,Right,s1737472,31,123
1601129628812,63,-0.70751953,0.618103,0.32537842,Chest,Right,s1737472,31,123
1601129631309,64,-0.6970215,0.6317749,0.3319702,Chest,Right,s1737472,31,123
1601129631311,65,-0.7038574,0.6234741,0.33758545,Chest,Right,s1737472,31,123
1601129631319,66,-0.6953125,0.61346436,0.3444214,Chest,Right,s1737472,31,123
1601129631319,67,-0.68774414,0.62786865,0.33758545,Chest,Right,s1737472,31,123
1601129631322,68,-0.7116699,0.6178589,0.34735107,Chest,Right,s1737472,31,123
1601129631325,69,-0.6936035,0.6078491,0.3451538,Chest,Right,s1737472,31,123
1601129631329,70,-0.70825195,0.60687256,0.34344482,Chest,Right,s1737472,31,123
1601129631332,71,-0.6970215,0.63494873,0.3456421,Chest,Right,s1737472,31,123
1601129631336,72,-0.69970703,0.6088257,0.34368896,Chest,Right,s1737472,31,123
1601129631339,73,-0.71484375,0.6132202,0.3468628,Chest,Right,s1737472,31,123
1601129631341,74,-0.6850586,0.6210327,0.34051514,Chest,Right,s1737472,31,123
1601129631345,75,-0.70703125,0.6137085,0.34051514,Chest,Right,s1737472,31,123
1601129631348,76,-0.70751953,0.61346436,0.3414917,Chest,Right,s1737472,31,123
1601129631351,77,-0.69262695,0.61468506,0.3427124,Chest,Right,s1737472,31,123
1601129631354,78,-0.69189453,0.6066284,0.34295654,Chest,Right,s1737472,31,123
1601129631357,79,-0.71533203,0.62054443,0.3534546,Chest,Right,s1737472,31,123
1601129631363,80,-0.6982422,0.6161499,0.34197998,Chest,Right,s1737472,31,123
1601129631363,81,-0.6796875,0.62298584,0.34368896,Chest,Right,s1737472,31,123
1601129631365,82,-0.72509766,0.5997925,0.35125732,Chest,Right,s1737472,31,123
1601129631366,83,-0.70092773,0.602478,0.3444214,Chest,Right,s1737472,31,123
1601129631368,84,-0.70703125,0.60321045,0.34735107,Chest,Right,s1737472,31,123
1601129631371,85,-0.7006836,0.6256714,0.34539795,Chest,Right,s1737472,31,123
1601129631373,86,-0.6845703,0.62615967,0.35687256,Chest,Right,s1737472,31,123
1601129631375,87,-0.7067871,0.6054077,0.34710693,Chest,Right,s1737472,31,123
1601129631378,88,-0.70410156,0.6010132,0.34832764,Chest,Right,s1737472,31,123
1601129631379,89,-0.701416,0.6102905,0.3534546,Chest,Right,s1737472,31,123
1601129631381,90,-0.7089844,0.6039429,0.34906006,Chest,Right,s1737472,31,123
1601129631383,91,-0.7104492,0.6112671,0.3517456,Chest,Right,s1737472,31,123
1601129631385,92,-0.7067871,0.6039429,0.3480835,Chest,Right,s1737472,31,123
1601129631387,93,-0.6887207,0.6239624,0.34539795,Chest,Right,s1737472,31,123
1601129631390,94,-0.7126465,0.59246826,0.354187,Chest,Right,s1737472,31,123
1601129631391,95,-0.7145996,0.61395264,0.35516357,Chest,Right,s1737472,31,123
1601129633871,96,-0.6850586,0.61639404,0.34246826,Chest,Right,s1737472,31,123
1601129633874,97,-0.72216797,0.5961304,0.3366089,Chest,Right,s1737472,31,123
1601129633915,98,-0.70458984,0.61102295,0.34320068,Chest,Right,s1737472,31,123
1601129633916,99,-0.70166016,0.6173706,0.3378296,Chest,Right,s1737472,31,123
1601129633916,100,-0.7199707,0.5951538,0.33514404,Chest,Right,s1737472,31,123
1601129633917,101,-0.70166016,0.62298584,0.32781982,Chest,Right,s1737472,31,123
1601129633925,102,-0.69750977,0.6129761,0.3222046,Chest,Right,s1737472,31,123
1601129633927,103,-0.70751953,0.6154175,0.33172607,Chest,Right,s1737472,31,123
1601129633931,104,-0.6982422,0.6220093,0.33148193,Chest,Right,s1737472,31,123
1601129633934,105,-0.7126465,0.59906006,0.338562,Chest,Right,s1737472,31,123
1601129633937,106,-0.720459,0.60809326,0.3463745,Chest,Right,s1737472,31,123
1601129633939,107,-0.6965332,0.6102905,0.34124756,Chest,Right,s1737472,31,123
1601129633942,108,-0.71240234,0.60931396,0.34466553,Chest,Right,s1737472,31,123
1601129633945,109,-0.69091797,0.60980225,0.34075928,Chest,Right,s1737472,31,123
1601129633947,110,-0.7409668,0.5661011,0.36151123,Chest,Right,s1737472,31,123
1601129633950,111,-0.7097168,0.6010132,0.34954834,Chest,Right,s1737472,31,123
1601129633951,112,-0.7077637,0.6161499,0.3522339,Chest,Right,s1737472,31,123
1601129633954,113,-0.69628906,0.61053467,0.34246826,Chest,Right,s1737472,31,123
1601129633956,114,-0.7145996,0.59368896,0.35198975,Chest,Right,s1737472,31,123
1601129633958,115,-0.703125,0.59710693,0.36566162,Chest,Right,s1737472,31,123
1601129633961,116,-0.70166016,0.60198975,0.35858154,Chest,Right,s1737472,31,123
1601129633964,117,-0.7077637,0.6039429,0.3529663,Chest,Right,s1737472,31,123
1601129633968,118,-0.7141113,0.6071167,0.3505249,Chest,Right,s1737472,31,123
1601129633971,119,-0.7067871,0.59295654,0.34368896,Chest,Right,s1737472,31,123
1601129633973,120,-0.7019043,0.61712646,0.35394287,Chest,Right,s1737472,31,123
1601129633975,121,-0.7246094,0.59002686,0.36468506,Chest,Right,s1737472,31,123
1601129633977,122,-0.69799805,0.6054077,0.34710693,Chest,Right,s1737472,31,123
1601129633986,123,-0.68237305,0.63861084,0.34222412,Chest,Right,s1737472,31,123
1601129633988,124,-0.7092285,0.5932007,0.35028076,Chest,Right,s1737472,31,123
1601129633988,125,-0.7133789,0.586853,0.35858154,Chest,Right,s1737472,31,123
1601129633988,126,-0.7001953,0.61151123,0.34954834,Chest,Right,s1737472,31,123
1601129633992,127,-0.70947266,0.605896,0.3463745,Chest,Right,s1737472,31,123
1601129636456,128,-0.72875977,0.5853882,0.35272217,Chest,Right,s1737472,31,123
1601129636466,129,-0.6936035,0.5993042,0.3493042,Chest,Right,s1737472,31,123
1601129636469,130,-0.72875977,0.5795288,0.3522339,Chest,Right,s1737472,31,123
1601129636472,131,-0.7038574,0.6161499,0.3600464,Chest,Right,s1737472,31,123
1601129636475,132,-0.7241211,0.58343506,0.35858154,Chest,Right,s1737472,31,123
1601129636478,133,-0.6960449,0.6046753,0.355896,Chest,Right,s1737472,31,123
1601129636480,134,-0.73706055,0.57806396,0.3571167,Chest,Right,s1737472,31,123
1601129636483,135,-0.6989746,0.6046753,0.354187,Chest,Right,s1737472,31,123
1601129636486,136,-0.7141113,0.5961304,0.35491943,Chest,Right,s1737472,31,123
1601129636498,137,-0.7084961,0.59417725,0.35003662,Chest,Right,s1737472,31,123
1601129636498,138,-0.7336426,0.5866089,0.355896,Chest,Right,s1737472,31,123
1601129636506,139,-0.6850586,0.61395264,0.34539795,Chest,Right,s1737472,31,123
1601129636510,140,-0.7285156,0.60369873,0.34954834,Chest,Right,s1737472,31,123
1601129636514,141,-0.6953125,0.59954834,0.33758545,Chest,Right,s1737472,31,123
1601129636517,142,-0.7331543,0.59661865,0.34466553,Chest,Right,s1737472,31,123
1601129636519,143,-0.69873047,0.60028076,0.3444214,Chest,Right,s1737472,31,123
1601129636522,144,-0.70092773,0.6132202,0.33831787,Chest,Right,s1737472,31,123
1601129636525,145,-0.7126465,0.60687256,0.34539795,Chest,Right,s1737472,31,123
1601129636535,146,-0.7084961,0.5853882,0.35125732,Chest,Right,s1737472,31,123
1601129636536,147,-0.7114258,0.61102295,0.3463745,Chest,Right,s1737472,31,123
1601129636536,148,-0.71435547,0.60028076,0.3493042,Chest,Right,s1737472,31,123
1601129636539,149,-0.70043945,0.6100464,0.35369873,Chest,Right,s1737472,31,123
1601129636541,150,-0.7180176,0.5873413,0.35980225,Chest,Right,s1737472,31,123
1601129636544,151,-0.7001953,0.6000366,0.35760498,Chest,Right,s1737472,31,123
1601129636548,152,-0.7097168,0.59661865,0.36663818,Chest,Right,s1737472,31,123
1601129636551,153,-0.7241211,0.58587646,0.36346436,Chest,Right,s1737472,31,123
1601129636554,154,-0.67626953,0.6066284,0.35662842,Chest,Right,s1737472,31,123
1601129636555,155,-0.7241211,0.58807373,0.37371826,Chest,Right,s1737472,31,123
1601129636558,156,-0.7150879,0.58514404,0.36688232,Chest,Right,s1737472,31,123
1601129636560,157,-0.6970215,0.60321045,0.35614014,Chest,Right,s1737472,31,123
1601129636563,158,-0.72314453,0.5778198,0.36663818,Chest,Right,s1737472,31,123
1601129636565,159,-0.70703125,0.59368896,0.3781128,Chest,Right,s1737472,31,123
1601129639018,160,-0.68847656,0.602478,0.3661499,Chest,Right,s1737472,31,123
1601129639018,161,-0.7373047,0.57733154,0.36346436,Chest,Right,s1737472,31,123
1601129639023,162,-0.70043945,0.6051636,0.36419678,Chest,Right,s1737472,31,123
1601129639027,163,-0.7089844,0.5883179,0.37005615,Chest,Right,s1737472,31,123
1601129639030,164,-0.7229004,0.5775757,0.36419678,Chest,Right,s1737472,31,123
1601129639033,165,-0.7097168,0.6012573,0.3554077,Chest,Right,s1737472,31,123
1601129639037,166,-0.72558594,0.5883179,0.3571167,Chest,Right,s1737472,31,123
1601129639043,167,-0.70410156,0.5932007,0.35662842,Chest,Right,s1737472,31,123
1601129639053,168,-0.7104492,0.5897827,0.3649292,Chest,Right,s1737472,31,123
1601129639058,169,-0.7133789,0.5805054,0.35614014,Chest,Right,s1737472,31,123
1601129639060,170,-0.7314453,0.58758545,0.36175537,Chest,Right,s1737472,31,123
1601129639062,171,-0.7055664,0.5927124,0.36419678,Chest,Right,s1737472,31,123
1601129639065,172,-0.73779297,0.5602417,0.37298584,Chest,Right,s1737472,31,123
1601129639068,173,-0.70825195,0.59588623,0.36297607,Chest,Right,s1737472,31,123
1601129639071,174,-0.7138672,0.5795288,0.36712646,Chest,Right,s1737472,31,123
1601129639078,175,-0.7145996,0.5932007,0.36932373,Chest,Right,s1737472,31,123
1601129639079,176,-0.6965332,0.59661865,0.36297607,Chest,Right,s1737472,31,123
1601129639085,177,-0.7062988,0.6063843,0.36712646,Chest,Right,s1737472,31,123
1601129639087,178,-0.7121582,0.588562,0.35247803,Chest,Right,s1737472,31,123
1601129639090,179,-0.69506836,0.6234741,0.35076904,Chest,Right,s1737472,31,123
1601129639092,180,-0.7102051,0.59417725,0.3522339,Chest,Right,s1737472,31,123
1601129639094,181,-0.7167969,0.59661865,0.34490967,Chest,Right,s1737472,31,123
1601129639096,182,-0.6882324,0.6244507,0.3451538,Chest,Right,s1737472,31,123
1601129639099,183,-0.720459,0.58221436,0.3439331,Chest,Right,s1737472,31,123
1601129639101,184,-0.6989746,0.6112671,0.34075928,Chest,Right,s1737472,31,123
1601129639106,185,-0.71972656,0.5914917,0.3480835,Chest,Right,s1737472,31,123
1601129639110,186,-0.7138672,0.60076904,0.35321045,Chest,Right,s1737472,31,123
1601129639113,187,-0.6887207,0.6012573,0.33953857,Chest,Right,s1737472,31,123
1601129639114,188,-0.73095703,0.59368896,0.35614014,Chest,Right,s1737472,31,123
1601129639117,189,-0.6970215,0.6112671,0.34857178,Chest,Right,s1737472,31,123
1601129639118,190,-0.7114258,0.6046753,0.3595581,Chest,Right,s1737472,31,123
1601129639120,191,-0.71362305,0.5946655,0.35906982,Chest,Right,s1737472,31,123
1601129641400,192,-0.7019043,0.6029663,0.34881592,Chest,Right,s1737472,31,123
1601129641403,193,-0.6999512,0.61932373,0.35076904,Chest,Right,s1737472,31,123
1601129641404,194,-0.7050781,0.6005249,0.3444214,Chest,Right,s1737472,31,123
1601129641407,195,-0.70336914,0.61517334,0.35931396,Chest,Right,s1737472,31,123
1601129641409,196,-0.6972656,0.5980835,0.3427124,Chest,Right,s1737472,31,123
1601129641412,197,-0.7126465,0.60736084,0.34539795,Chest,Right,s1737472,31,123
1601129641415,198,-0.69873047,0.6088257,0.34832764,Chest,Right,s1737472,31,123
1601129641416,199,-0.70947266,0.6034546,0.3451538,Chest,Right,s1737472,31,123
1601129641418,200,-0.7092285,0.6102905,0.35638428,Chest,Right,s1737472,31,123
1601129641419,201,-0.68847656,0.60198975,0.34466553,Chest,Right,s1737472,31,123
1601129641421,202,-0.71850586,0.5968628,0.35369873,Chest,Right,s1737472,31,123
1601129641423,203,-0.6989746,0.63201904,0.35101318,Chest,Right,s1737472,31,123
1601129641425,204,-0.6972656,0.61102295,0.34783936,Chest,Right,s1737472,31,123
1601129641426,205,-0.71435547,0.5944214,0.34222412,Chest,Right,s1737472,31,123
1601129641428,206,-0.6850586,0.62249756,0.35150146,Chest,Right,s1737472,31,123
1601129641434,207,-0.7126465,0.60321045,0.35931396,Chest,Right,s1737472,31,123
1601129641440,208,-0.7043457,0.60443115,0.35394287,Chest,Right,s1737472,31,123
1601129641440,209,-0.6921387,0.59783936,0.34466553,Chest,Right,s1737472,31,123
1601129641442,210,-0.7260742,0.5988159,0.36102295,Chest,Right,s1737472,31,123
1601129641445,211,-0.69970703,0.6102905,0.34906006,Chest,Right,s1737472,31,123
1601129641446,212,-0.7072754,0.60687256,0.34857178,Chest,Right,s1737472,31,123
1601129641447,213,-0.7043457,0.60931396,0.3522339,Chest,Right,s1737472,31,123
1601129641451,214,-0.7089844,0.6268921,0.3583374,Chest,Right,s1737472,31,123
1601129641453,215,-0.6958008,0.58807373,0.34320068,Chest,Right,s1737472,31,123
1601129641453,216,-0.7128906,0.6005249,0.35272217,Chest,Right,s1737472,31,123
1601129641455,217,-0.69311523,0.6119995,0.34906006,Chest,Right,s1737472,31,123
1601129641458,218,-0.7290039,0.5927124,0.3529663,Chest,Right,s1737472,31,123
1601129641459,219,-0.70654297,0.6119995,0.34417725,Chest,Right,s1737472,31,123
1601129641461,220,-0.6989746,0.602478,0.33514404,Chest,Right,s1737472,31,123
1601129641464,221,-0.7236328,0.5993042,0.340271,Chest,Right,s1737472,31,123
1601129641465,222,-0.7043457,0.61590576,0.34417725,Chest,Right,s1737472,31,123
1601129641467,223,-0.71191406,0.59246826,0.3324585,Chest,Right,s1737472,31,123
1601129643978,224,-0.7180176,0.61053467,0.3444214,Chest,Right,s1737472,31,123
1601129643982,225,-0.6826172,0.602478,0.33880615,Chest,Right,s1737472,31,123
1601129643987,226,-0.7258301,0.58807373,0.35150146,Chest,Right,s1737472,31,123
1601129643990,227,-0.70825195,0.602478,0.33953857,Chest,Right,s1737472,31,123
1601129643994,228,-0.72143555,0.60809326,0.34735107,Chest,Right,s1737472,31,123
1601129643997,229,-0.7055664,0.58758545,0.3439331,Chest,Right,s1737472,31,123
1601129644006,230,-0.7019043,0.6168823,0.35272217,Chest,Right,s1737472,31,123
1601129644007,231,-0.71313477,0.5993042,0.36029053,Chest,Right,s1737472,31,123
1601129644010,232,-0.71362305,0.5910034,0.3649292,Chest,Right,s1737472,31,123
1601129644013,233,-0.6945801,0.60614014,0.35980225,Chest,Right,s1737472,31,123
1601129644027,234,-0.7216797,0.60272217,0.35809326,Chest,Right,s1737472,31,123
1601129644030,235,-0.70214844,0.5956421,0.35687256,Chest,Right,s1737472,31,123
1601129644030,236,-0.69506836,0.5895386,0.35760498,Chest,Right,s1737472,31,123
1601129644031,237,-0.7138672,0.59051514,0.36956787,Chest,Right,s1737472,31,123
1601129644031,238,-0.7155762,0.5980835,0.36590576,Chest,Right,s1737472,31,123
1601129644035,239,-0.6936035,0.6119995,0.35394287,Chest,Right,s1737472,31,123
1601129644045,240,-0.717041,0.59002686,0.36395264,Chest,Right,s1737472,31,123
1601129644046,241,-0.70751953,0.5985718,0.3607788,Chest,Right,s1737472,31,123
1601129644046,242,-0.69628906,0.5997925,0.3612671,Chest,Right,s1737472,31,123
1601129644047,243,-0.70532227,0.60491943,0.36590576,Chest,Right,s1737472,31,123
1601129644050,244,-0.703125,0.5883179,0.36419678,Chest,Right,s1737472,31,123
1601129644051,245,-0.71313477,0.6051636,0.36297607,Chest,Right,s1737472,31,123
1601129644054,246,-0.68969727,0.604187,0.36053467,Chest,Right,s1737472,31,123
1601129644059,247,-0.7229004,0.5800171,0.36175537,Chest,Right,s1737472,31,123
1601129644060,248,-0.7050781,0.5968628,0.36444092,Chest,Right,s1737472,31,123
1601129644061,249,-0.704834,0.604187,0.36590576,Chest,Right,s1737472,31,123
1601129644065,250,-0.71533203,0.5939331,0.3571167,Chest,Right,s1737472,31,123
1601129644066,251,-0.7060547,0.58392334,0.36590576,Chest,Right,s1737472,31,123
1601129644068,252,-0.6870117,0.61639404,0.36566162,Chest,Right,s1737472,31,123
1601129644070,253,-0.71972656,0.59173584,0.369812,Chest,Right,s1737472,31,123
1601129644073,254,-0.6833496,0.6100464,0.3690796,Chest,Right,s1737472,31,123
1601129644074,255,-0.72216797,0.57366943,0.3678589,Chest,Right,s1737472,31,123
1601129646549,256,-0.6921387,0.6083374,0.36883545,Chest,Right,s1737472,31,123
1601129646554,257,-0.7128906,0.58880615,0.37591553,Chest,Right,s1737472,31,123
1601129646559,258,-0.70751953,0.5910034,0.3637085,Chest,Right,s1737472,31,123
1601129646567,259,-0.7116699,0.59954834,0.36883545,Chest,Right,s1737472,31,123
1601129646570,260,-0.7050781,0.58514404,0.3607788,Chest,Right,s1737472,31,123
1601129646585,261,-0.7050781,0.60076904,0.35760498,Chest,Right,s1737472,31,123
1601129646589,262,-0.71899414,0.58929443,0.35858154,Chest,Right,s1737472,31,123
1601129646593,263,-0.7133789,0.59051514,0.35980225,Chest,Right,s1737472,31,123
1601129646599,264,-0.6916504,0.6000366,0.34881592,Chest,Right,s1737472,31,123
1601129646600,265,-0.7246094,0.59173584,0.3583374,Chest,Right,s1737472,31,123
1601129646602,266,-0.7089844,0.58099365,0.36639404,Chest,Right,s1737472,31,123
1601129646604,267,-0.7114258,0.58465576,0.3690796,Chest,Right,s1737472,31,123
1601129646606,268,-0.71484375,0.5878296,0.37176514,Chest,Right,s1737472,31,123
1601129646611,269,-0.7158203,0.5829468,0.36688232,Chest,Right,s1737472,31,123
1601129646613,270,-0.71655273,0.58758545,0.37078857,Chest,Right,s1737472,31,123
1601129646614,271,-0.7011719,0.5883179,0.36663818,Chest,Right,s1737472,31,123
