# Sensor position: Front pocket (trouser)
# Sensor side: Right
# Activity type: Lying down on stomach
# Activity code: 8
# Subject id: s1737472
timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601134144884,0,-0.4519043,0.46331787,-0.7815552,Front pocket (trouser),Right,s1737472,8,123
1601134144890,1,-0.46118164,0.50653076,-0.8491821,Front pocket (trouser),Right,s1737472,8,123
1601134144896,2,-0.4152832,0.4725952,-0.8296509,Front pocket (trouser),Right,s1737472,8,123
1601134144922,3,-0.33642578,0.46136475,-0.8286743,Front pocket (trouser),Right,s1737472,8,123
1601134144923,4,-0.33691406,0.4611206,-0.8965454,Front pocket (trouser),Right,s1737472,8,123
1601134144926,5,-0.3388672,0.46429443,-0.8897095,Front pocket (trouser),Right,s1737472,8,123
1601134144929,6,-0.34570312,0.46600342,-0.87384033,Front pocket (trouser),Right,s1737472,8,123
1601134144933,7,-0.38330078,0.5043335,-0.86676025,Front pocket (trouser),Right,s1737472,8,123
1601134144940,8,-0.3840332,0.6622925,-0.99835205,Front pocket (trouser),Right,s1737472,8,123
1601134144942,9,-0.2409668,0.4882202,-0.7571411,Front pocket (trouser),Right,s1737472,8,123
1601134144943,10,-0.6003418,0.5050659,-0.5523071,Front pocket (trouser),Right,s1737472,8,123
1601134144944,11,-0.29541016,0.46795654,-0.6577759,Front pocket (trouser),Right,s1737472,8,123
1601134144946,12,-0.4025879,0.57025146,-0.8250122,Front pocket (trouser),Right,s1737472,8,123
1601134144950,13,-0.4465332,0.5700073,-0.9138794,Front pocket (trouser),Right,s1737472,8,123
1601134144952,14,-0.4033203,0.5006714,-0.87677,Front pocket (trouser),Right,s1737472,8,123
1601134144954,15,-0.3388672,0.42108154,-0.81744385,Front pocket (trouser),Right,s1737472,8,123
1601134144957,16,-0.34301758,0.43670654,-0.8040161,Front pocket (trouser),Right,s1737472,8,123
1601134144969,17,-0.35107422,0.4713745,-0.861145,Front pocket (trouser),Right,s1737472,8,123
1601134144970,18,-0.36328125,0.48309326,-0.87457275,Front pocket (trouser),Right,s1737472,8,123
1601134144970,19,-0.35888672,0.46209717,-0.84552,Front pocket (trouser),Right,s1737472,8,123
1601134144970,20,-0.35766602,0.45477295,-0.8257446,Front pocket (trouser),Right,s1737472,8,123
1601134144972,21,-0.36157227,0.46673584,-0.84039307,Front pocket (trouser),Right,s1737472,8,123
1601134144975,22,-0.3696289,0.4755249,-0.83917236,Front pocket (trouser),Right,s1737472,8,123
1601134144978,23,-0.36254883,0.4755249,-0.83721924,Front pocket (trouser),Right,s1737472,8,123
1601134144981,24,-0.36254883,0.47235107,-0.83843994,Front pocket (trouser),Right,s1737472,8,123
1601134144984,25,-0.3623047,0.47528076,-0.84381104,Front pocket (trouser),Right,s1737472,8,123
1601134144985,26,-0.36108398,0.47161865,-0.84576416,Front pocket (trouser),Right,s1737472,8,123
1601134144989,27,-0.34985352,0.46600342,-0.84210205,Front pocket (trouser),Right,s1737472,8,123
1601134144990,28,-0.35351562,0.46600342,-0.84942627,Front pocket (trouser),Right,s1737472,8,123
1601134144997,29,-0.35717773,0.4647827,-0.85162354,Front pocket (trouser),Right,s1737472,8,123
1601134144998,30,-0.35375977,0.4611206,-0.85040283,Front pocket (trouser),Right,s1737472,8,123
1601134144999,31,-0.3491211,0.46380615,-0.85357666,Front pocket (trouser),Right,s1737472,8,123
1601134147273,32,-0.35009766,0.46038818,-0.8484497,Front pocket (trouser),Right,s1737472,8,123
1601134147276,33,-0.35180664,0.46136475,-0.8530884,Front pocket (trouser),Right,s1737472,8,123
1601134147280,34,-0.35083008,0.46185303,-0.8496704,Front pocket (trouser),Right,s1737472,8,123
1601134147284,35,-0.34960938,0.4598999,-0.84991455,Front pocket (trouser),Right,s1737472,8,123
1601134147288,36,-0.35375977,0.4647827,-0.8599243,Front pocket (trouser),Right,s1737472,8,123
1601134147292,37,-0.3503418,0.46063232,-0.8508911,Front pocket (trouser),Right,s1737472,8,123
1601134147295,38,-0.34643555,0.4598999,-0.848938,Front pocket (trouser),Right,s1737472,8,123
1601134147298,39,-0.34838867,0.4611206,-0.8533325,Front pocket (trouser),Right,s1737472,8,123
