timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601133921619,0,0.83251953,-0.15802002,0.40985107,Front pocket (trouser),Left,s1737472,6,123
1601133921620,1,0.8339844,-0.15826416,0.40203857,Front pocket (trouser),Left,s1737472,6,123
1601133921624,2,0.83032227,-0.15533447,0.4076538,Front pocket (trouser),Left,s1737472,6,123
1601133921633,3,0.83203125,-0.15802002,0.40863037,Front pocket (trouser),Left,s1737472,6,123
1601133921633,4,0.83154297,-0.15362549,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133921633,5,0.8317871,-0.15704346,0.40838623,Front pocket (trouser),Left,s1737472,6,123
1601133921635,6,0.8286133,-0.15826416,0.4052124,Front pocket (trouser),Left,s1737472,6,123
1601133921636,7,0.83325195,-0.15704346,0.40594482,Front pocket (trouser),Left,s1737472,6,123
1601133921637,8,0.82958984,-0.15704346,0.41107178,Front pocket (trouser),Left,s1737472,6,123
1601133921638,9,0.8322754,-0.15533447,0.4081421,Front pocket (trouser),Left,s1737472,6,123
1601133921639,10,0.8293457,-0.15802002,0.40911865,Front pocket (trouser),Left,s1737472,6,123
1601133921639,11,0.8310547,-0.15777588,0.4081421,Front pocket (trouser),Left,s1737472,6,123
1601133921643,12,0.8330078,-0.15924072,0.40472412,Front pocket (trouser),Left,s1737472,6,123
1601133921645,13,0.829834,-0.15533447,0.40716553,Front pocket (trouser),Left,s1737472,6,123
1601133921645,14,0.82836914,-0.15655518,0.4076538,Front pocket (trouser),Left,s1737472,6,123
1601133921646,15,0.82910156,-0.15435791,0.40985107,Front pocket (trouser),Left,s1737472,6,123
1601133921648,16,0.83032227,-0.15777588,0.40789795,Front pocket (trouser),Left,s1737472,6,123
1601133921648,17,0.83203125,-0.1572876,0.4118042,Front pocket (trouser),Left,s1737472,6,123
1601133921649,18,0.8327637,-0.15533447,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133921649,19,0.8310547,-0.15582275,0.4130249,Front pocket (trouser),Left,s1737472,6,123
1601133921650,20,0.83032227,-0.15582275,0.4118042,Front pocket (trouser),Left,s1737472,6,123
1601133921650,21,0.8288574,-0.15924072,0.41204834,Front pocket (trouser),Left,s1737472,6,123
1601133921651,22,0.8300781,-0.15679932,0.40985107,Front pocket (trouser),Left,s1737472,6,123
1601133921652,23,0.82836914,-0.15948486,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133921652,24,0.829834,-0.15924072,0.41107178,Front pocket (trouser),Left,s1737472,6,123
1601133921652,25,0.82836914,-0.15655518,0.41400146,Front pocket (trouser),Left,s1737472,6,123
1601133921653,26,0.8300781,-0.1560669,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133921653,27,0.8305664,-0.15899658,0.4105835,Front pocket (trouser),Left,s1737472,6,123
1601133921654,28,0.82958984,-0.15631104,0.4105835,Front pocket (trouser),Left,s1737472,6,123
1601133921654,29,0.82910156,-0.15875244,0.40911865,Front pocket (trouser),Left,s1737472,6,123
1601133921655,30,0.8293457,-0.1572876,0.40911865,Front pocket (trouser),Left,s1737472,6,123
1601133921655,31,0.8330078,-0.15777588,0.4069214,Front pocket (trouser),Left,s1737472,6,123
1601133924017,32,0.82714844,-0.15582275,0.41131592,Front pocket (trouser),Left,s1737472,6,123
1601133924020,33,0.828125,-0.15460205,0.41131592,Front pocket (trouser),Left,s1737472,6,123
1601133924024,34,0.8322754,-0.15704346,0.4076538,Front pocket (trouser),Left,s1737472,6,123
1601133924028,35,0.83032227,-0.16021729,0.4088745,Front pocket (trouser),Left,s1737472,6,123
1601133924032,36,0.82836914,-0.15386963,0.41033936,Front pocket (trouser),Left,s1737472,6,123
1601133924036,37,0.83251953,-0.15264893,0.4130249,Front pocket (trouser),Left,s1737472,6,123
1601133924039,38,0.83081055,-0.15289307,0.40838623,Front pocket (trouser),Left,s1737472,6,123
1601133924042,39,0.82958984,-0.1572876,0.4093628,Front pocket (trouser),Left,s1737472,6,123
1601133924048,40,0.8317871,-0.15338135,0.40863037,Front pocket (trouser),Left,s1737472,6,123
1601133924050,41,0.8312988,-0.15289307,0.4130249,Front pocket (trouser),Left,s1737472,6,123
1601133924059,42,0.8293457,-0.15338135,0.40911865,Front pocket (trouser),Left,s1737472,6,123
1601133924060,43,0.8305664,-0.15679932,0.40838623,Front pocket (trouser),Left,s1737472,6,123
1601133924066,44,0.83203125,-0.15533447,0.41131592,Front pocket (trouser),Left,s1737472,6,123
1601133924066,45,0.83154297,-0.15753174,0.4100952,Front pocket (trouser),Left,s1737472,6,123
1601133924068,46,0.82910156,-0.1585083,0.41107178,Front pocket (trouser),Left,s1737472,6,123
1601133924071,47,0.829834,-0.15582275,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133924073,48,0.829834,-0.15679932,0.40838623,Front pocket (trouser),Left,s1737472,6,123
1601133924076,49,0.8322754,-0.15753174,0.4093628,Front pocket (trouser),Left,s1737472,6,123
1601133924080,50,0.83154297,-0.15631104,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133924081,51,0.8293457,-0.1572876,0.41107178,Front pocket (trouser),Left,s1737472,6,123
1601133924084,52,0.83032227,-0.15655518,0.4093628,Front pocket (trouser),Left,s1737472,6,123
1601133924085,53,0.82958984,-0.15753174,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133924088,54,0.83203125,-0.15533447,0.40985107,Front pocket (trouser),Left,s1737472,6,123
1601133924090,55,0.826416,-0.15411377,0.41082764,Front pocket (trouser),Left,s1737472,6,123
1601133924092,56,0.8312988,-0.15411377,0.41033936,Front pocket (trouser),Left,s1737472,6,123
1601133924094,57,0.82958984,-0.15826416,0.40985107,Front pocket (trouser),Left,s1737472,6,123
1601133924097,58,0.8300781,-0.15875244,0.40863037,Front pocket (trouser),Left,s1737472,6,123
1601133924099,59,0.8288574,-0.15362549,0.4130249,Front pocket (trouser),Left,s1737472,6,123
1601133924101,60,0.8312988,-0.15362549,0.40789795,Front pocket (trouser),Left,s1737472,6,123
1601133924103,61,0.83154297,-0.1560669,0.41204834,Front pocket (trouser),Left,s1737472,6,123
1601133924105,62,0.8286133,-0.15802002,0.41082764,Front pocket (trouser),Left,s1737472,6,123
1601133924107,63,0.8305664,-0.15753174,0.4081421,Front pocket (trouser),Left,s1737472,6,123
1601133926595,64,0.8312988,-0.15411377,0.41033936,Front pocket (trouser),Left,s1737472,6,123
1601133926610,65,0.83081055,-0.15704346,0.41204834,Front pocket (trouser),Left,s1737472,6,123
1601133926611,66,0.8293457,-0.15338135,0.40960693,Front pocket (trouser),Left,s1737472,6,123
1601133926612,67,0.8256836,-0.1531372,0.41375732,Front pocket (trouser),Left,s1737472,6,123
1601133926612,68,0.8293457,-0.14971924,0.4118042,Front pocket (trouser),Left,s1737472,6,123
1601133926613,69,0.83081055,-0.1585083,0.4081421,Front pocket (trouser),Left,s1737472,6,123
1601133926616,70,0.8273926,-0.15777588,0.41351318,Front pocket (trouser),Left,s1737472,6,123
1601133926635,71,0.82543945,-0.1560669,0.41351318,Front pocket (trouser),Left,s1737472,6,123
1601133926647,72,0.82958984,-0.15704346,0.41278076,Front pocket (trouser),Left,s1737472,6,123
1601133926648,73,0.83081055,-0.15679932,0.40911865,Front pocket (trouser),Left,s1737472,6,123
1601133926648,74,0.82958984,-0.15875244,0.4100952,Front pocket (trouser),Left,s1737472,6,123
1601133926649,75,0.829834,-0.1585083,0.41229248,Front pocket (trouser),Left,s1737472,6,123
1601133926651,76,0.82910156,-0.15557861,0.41131592,Front pocket (trouser),Left,s1737472,6,123
1601133926656,77,0.83154297,-0.15509033,0.41082764,Front pocket (trouser),Left,s1737472,6,123
1601133926660,78,0.83032227,-0.15802002,0.41107178,Front pocket (trouser),Left,s1737472,6,123
1601133926663,79,0.83203125,-0.15631104,0.40667725,Front pocket (trouser),Left,s1737472,6,123
1601133926665,80,0.8305664,-0.15924072,0.41082764,Front pocket (trouser),Left,s1737472,6,123
1601133926667,81,0.829834,-0.15509033,0.40838623,Front pocket (trouser),Left,s1737472,6,123
1601133926669,82,0.8288574,-0.15533447,0.41204834,Front pocket (trouser),Left,s1737472,6,123
1601133926672,83,0.829834,-0.15435791,0.4105835,Front pocket (trouser),Left,s1737472,6,123
1601133926674,84,0.8310547,-0.15582275,0.4105835,Front pocket (trouser),Left,s1737472,6,123
1601133926676,85,0.83032227,-0.15655518,0.40740967,Front pocket (trouser),Left,s1737472,6,123
1601133926679,86,0.8305664,-0.15802002,0.4088745,Front pocket (trouser),Left,s1737472,6,123
