# Sensor position: Wrist
# Sensor side: Left
# Activity type: Lying down right
# Activity code: 6
# Subject id: s1737472
timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601132117949,0,-0.39575195,0.44036865,-0.7554321,Wrist,Left,s1737472,6,123
1601132117954,1,-0.39575195,0.44036865,-0.7554321,Wrist,Left,s1737472,6,123
1601132117960,2,-0.33935547,0.36395264,-0.8081665,Wrist,Left,s1737472,6,123
1601132117960,3,-0.3544922,0.37713623,-1.0244751,Wrist,Left,s1737472,6,123
1601132117961,4,-0.33935547,0.36395264,-0.8081665,Wrist,Left,s1737472,6,123
1601132117965,5,-0.44702148,0.38128662,-1.0564575,Wrist,Left,s1737472,6,123
1601132117966,6,-0.44213867,0.36224365,-0.8250122,Wrist,Left,s1737472,6,123
1601132117968,7,-0.43701172,0.35150146,-0.7695923,Wrist,Left,s1737472,6,123
1601132117971,8,-0.3544922,0.37713623,-1.0244751,Wrist,Left,s1737472,6,123
1601132117972,9,-0.48950195,0.3739624,-0.894104,Wrist,Left,s1737472,6,123
1601132117974,10,-0.53393555,0.35394287,-0.8880005,Wrist,Left,s1737472,6,123
1601132117976,11,-0.44702148,0.38128662,-1.0564575,Wrist,Left,s1737472,6,123
1601132117979,12,-0.40649414,0.38763428,-0.73223877,Wrist,Left,s1737472,6,123
1601132117980,13,-0.44213867,0.36224365,-0.8250122,Wrist,Left,s1737472,6,123
1601132117983,14,-0.21728516,0.37347412,-0.8508911,Wrist,Left,s1737472,6,123
1601132117985,15,-0.43701172,0.35150146,-0.7695923,Wrist,Left,s1737472,6,123
1601132117987,16,-0.48950195,0.3739624,-0.894104,Wrist,Left,s1737472,6,123
1601132117990,17,-0.24169922,0.04119873,-1.0591431,Wrist,Left,s1737472,6,123
1601132117992,18,-0.53393555,0.35394287,-0.8880005,Wrist,Left,s1737472,6,123
1601132117996,19,-0.3317871,-0.0022583008,-1.013977,Wrist,Left,s1737472,6,123
1601132117998,20,-0.40649414,0.38763428,-0.73223877,Wrist,Left,s1737472,6,123
1601132117999,21,-0.39892578,0.16644287,-0.8706665,Wrist,Left,s1737472,6,123
1601132118000,22,-0.21728516,0.37347412,-0.8508911,Wrist,Left,s1737472,6,123
1601132118001,23,-0.39697266,0.22821045,-0.9546509,Wrist,Left,s1737472,6,123
1601132118003,24,-0.24169922,0.04119873,-1.0591431,Wrist,Left,s1737472,6,123
1601132118004,25,-0.29492188,0.2929077,-1.0723267,Wrist,Left,s1737472,6,123
1601132118004,26,-0.3317871,-0.0022583008,-1.013977,Wrist,Left,s1737472,6,123
1601132118006,27,-0.25,0.25604248,-0.98394775,Wrist,Left,s1737472,6,123
1601132118007,28,-0.39892578,0.16644287,-0.8706665,Wrist,Left,s1737472,6,123
1601132118009,29,-0.28027344,0.20452881,-0.923645,Wrist,Left,s1737472,6,123
1601132118011,30,-0.35009766,0.27069092,-1.0032349,Wrist,Left,s1737472,6,123
1601132118014,31,-0.39697266,0.22821045,-0.9546509,Wrist,Left,s1737472,6,123
1601132118019,32,-0.3557129,0.23260498,-1.0613403,Wrist,Left,s1737472,6,123
1601132118021,33,-0.29492188,0.2929077,-1.0723267,Wrist,Left,s1737472,6,123
1601132118021,34,-0.39746094,0.2662964,-1.0935669,Wrist,Left,s1737472,6,123
1601132118022,35,-0.25,0.25604248,-0.98394775,Wrist,Left,s1737472,6,123
1601132118024,36,-0.4194336,0.49725342,-1.0349731,Wrist,Left,s1737472,6,123
1601132118024,37,-0.28027344,0.20452881,-0.923645,Wrist,Left,s1737472,6,123
1601132118026,38,-0.31762695,0.57196045,-0.85357666,Wrist,Left,s1737472,6,123
1601132118026,39,-0.35009766,0.27069092,-1.0032349,Wrist,Left,s1737472,6,123
1601132118028,40,-0.15917969,0.5648804,-0.6838989,Wrist,Left,s1737472,6,123
1601132118028,41,-0.3557129,0.23260498,-1.0613403,Wrist,Left,s1737472,6,123
1601132118032,42,-0.029785156,0.51898193,-0.6741333,Wrist,Left,s1737472,6,123
1601132118036,43,-0.39746094,0.2662964,-1.0935669,Wrist,Left,s1737472,6,123
1601132118036,44,0.05810547,0.3060913,-0.7317505,Wrist,Left,s1737472,6,123
1601132118038,45,-0.4194336,0.49725342,-1.0349731,Wrist,Left,s1737472,6,123
1601132118038,46,-0.08178711,0.015808105,-0.866272,Wrist,Left,s1737472,6,123
1601132118039,47,-0.31762695,0.57196045,-0.85357666,Wrist,Left,s1737472,6,123
1601132118040,48,-0.28295898,-0.09088135,-0.909729,Wrist,Left,s1737472,6,123
1601132118041,49,-0.15917969,0.5648804,-0.6838989,Wrist,Left,s1737472,6,123
1601132118044,50,-0.3005371,-0.25421143,-0.9614868,Wrist,Left,s1737472,6,123
1601132118048,51,-0.029785156,0.51898193,-0.6741333,Wrist,Left,s1737472,6,123
1601132118048,52,0.05810547,0.3060913,-0.7317505,Wrist,Left,s1737472,6,123
1601132118049,53,-0.25463867,-0.040100098,-1.1592407,Wrist,Left,s1737472,6,123
1601132118056,54,-0.08178711,0.015808105,-0.866272,Wrist,Left,s1737472,6,123
1601132118056,55,-0.2680664,0.08465576,-1.1326294,Wrist,Left,s1737472,6,123
1601132118056,56,-0.28295898,-0.09088135,-0.909729,Wrist,Left,s1737472,6,123
1601132118056,57,-0.33740234,0.07489014,-1.1257935,Wrist,Left,s1737472,6,123
1601132118056,58,-0.3005371,-0.25421143,-0.9614868,Wrist,Left,s1737472,6,123
1601132118056,59,-0.37280273,-0.25030518,-1.1836548,Wrist,Left,s1737472,6,123
1601132118060,60,-0.25463867,-0.040100098,-1.1592407,Wrist,Left,s1737472,6,123
1601132118062,61,-0.2680664,0.08465576,-1.1326294,Wrist,Left,s1737472,6,123
1601132118063,62,-0.33740234,0.07489014,-1.1257935,Wrist,Left,s1737472,6,123
1601132118067,63,-0.37280273,-0.25030518,-1.1836548,Wrist,Left,s1737472,6,123
1601132120524,64,-0.33154297,-0.1741333,-1.0320435,Wrist,Left,s1737472,6,123
1601132120529,65,-0.33154297,-0.1741333,-1.0320435,Wrist,Left,s1737472,6,123
1601132120530,66,-0.33032227,-0.12945557,-1.218811,Wrist,Left,s1737472,6,123
1601132120533,67,-0.33032227,-0.12945557,-1.218811,Wrist,Left,s1737472,6,123
1601132120537,68,-0.2578125,-0.08746338,-1.1052856,Wrist,Left,s1737472,6,123
1601132120542,69,-0.2578125,-0.08746338,-1.1052856,Wrist,Left,s1737472,6,123
1601132120543,70,-0.21948242,-0.18756104,-0.8748169,Wrist,Left,s1737472,6,123
1601132120548,71,-0.14990234,-0.20123291,-0.784729,Wrist,Left,s1737472,6,123
1601132120553,72,-0.21948242,-0.18756104,-0.8748169,Wrist,Left,s1737472,6,123
1601132120556,73,-0.12451172,-0.10333252,-0.87164307,Wrist,Left,s1737472,6,123
1601132120557,74,-0.14990234,-0.20123291,-0.784729,Wrist,Left,s1737472,6,123
1601132120558,75,-0.12451172,-0.10333252,-0.87164307,Wrist,Left,s1737472,6,123
1601132120567,76,-0.18286133,-0.038635254,-0.9067993,Wrist,Left,s1737472,6,123
1601132120568,77,-0.28930664,0.14447021,-1.1170044,Wrist,Left,s1737472,6,123
1601132120568,78,-0.30249023,-0.054016113,-1.1231079,Wrist,Left,s1737472,6,123
1601132120574,79,-0.28930664,-0.29034424,-0.9939575,Wrist,Left,s1737472,6,123
1601132120574,80,-0.18286133,-0.038635254,-0.9067993,Wrist,Left,s1737472,6,123
1601132120597,81,-0.28930664,0.14447021,-1.1170044,Wrist,Left,s1737472,6,123
1601132120598,82,-0.26611328,-0.2901001,-0.99053955,Wrist,Left,s1737472,6,123
1601132120598,83,-0.30249023,-0.054016113,-1.1231079,Wrist,Left,s1737472,6,123
1601132120598,84,-0.28930664,-0.29034424,-0.9939575,Wrist,Left,s1737472,6,123
1601132120598,85,-0.28149414,-0.30133057,-0.9915161,Wrist,Left,s1737472,6,123
1601132120601,86,-0.26611328,-0.2901001,-0.99053955,Wrist,Left,s1737472,6,123
1601132120601,87,-0.28149414,-0.30133057,-0.9915161,Wrist,Left,s1737472,6,123
1601132120602,88,-0.2783203,-0.27911377,-0.97906494,Wrist,Left,s1737472,6,123
1601132120602,89,-0.27319336,-0.27716064,-0.9741821,Wrist,Left,s1737472,6,123
1601132120602,90,-0.27416992,-0.26690674,-0.97320557,Wrist,Left,s1737472,6,123
1601132120602,91,-0.2783203,-0.27911377,-0.97906494,Wrist,Left,s1737472,6,123
1601132120602,92,-0.28466797,-0.27130127,-0.96759033,Wrist,Left,s1737472,6,123
1601132120602,93,-0.31298828,-0.26202393,-0.97784424,Wrist,Left,s1737472,6,123
1601132120605,94,-0.27319336,-0.27716064,-0.9741821,Wrist,Left,s1737472,6,123
1601132120605,95,-0.2939453,-0.25201416,-0.986145,Wrist,Left,s1737472,6,123
1601132120608,96,-0.27416992,-0.26690674,-0.97320557,Wrist,Left,s1737472,6,123
1601132120609,97,-0.25732422,-0.2786255,-0.9607544,Wrist,Left,s1737472,6,123
1601132120612,98,-0.28466797,-0.27130127,-0.96759033,Wrist,Left,s1737472,6,123
1601132120613,99,-0.25463867,-0.3110962,-0.96466064,Wrist,Left,s1737472,6,123
1601132120615,100,-0.31298828,-0.26202393,-0.97784424,Wrist,Left,s1737472,6,123
1601132120616,101,-0.27685547,-0.315979,-0.9570923,Wrist,Left,s1737472,6,123
1601132120618,102,-0.3059082,-0.34014893,-0.94122314,Wrist,Left,s1737472,6,123
1601132120619,103,-0.2939453,-0.25201416,-0.986145,Wrist,Left,s1737472,6,123
1601132120622,104,-0.29492188,-0.38555908,-0.9673462,Wrist,Left,s1737472,6,123
1601132120623,105,-0.25732422,-0.2786255,-0.9607544,Wrist,Left,s1737472,6,123
1601132120623,106,-0.29956055,-0.35601807,-0.960022,Wrist,Left,s1737472,6,123
1601132120624,107,-0.25463867,-0.3110962,-0.96466064,Wrist,Left,s1737472,6,123
1601132120625,108,-0.27685547,-0.315979,-0.9570923,Wrist,Left,s1737472,6,123
1601132120627,109,-0.3059082,-0.34014893,-0.94122314,Wrist,Left,s1737472,6,123
1601132120628,110,-0.31567383,-0.2979126,-0.9414673,Wrist,Left,s1737472,6,123
1601132120631,111,-0.30786133,-0.3369751,-0.96051025,Wrist,Left,s1737472,6,123
1601132120631,112,-0.29492188,-0.38555908,-0.9673462,Wrist,Left,s1737472,6,123
1601132120631,113,-0.30249023,-0.348938,-0.94610596,Wrist,Left,s1737472,6,123
1601132120633,114,-0.2890625,-0.36016846,-0.9439087,Wrist,Left,s1737472,6,123
1601132120634,115,-0.29956055,-0.35601807,-0.960022,Wrist,Left,s1737472,6,123
1601132120634,116,-0.29248047,-0.36431885,-0.9458618,Wrist,Left,s1737472,6,123
1601132120635,117,-0.31567383,-0.2979126,-0.9414673,Wrist,Left,s1737472,6,123
1601132120639,118,-0.30786133,-0.3369751,-0.96051025,Wrist,Left,s1737472,6,123
1601132120640,119,-0.29736328,-0.35577393,-0.944397,Wrist,Left,s1737472,6,123
1601132120641,120,-0.2980957,-0.34332275,-0.944397,Wrist,Left,s1737472,6,123
1601132120642,121,-0.30004883,-0.35211182,-0.94732666,Wrist,Left,s1737472,6,123
1601132120643,122,-0.30249023,-0.348938,-0.94610596,Wrist,Left,s1737472,6,123
1601132120645,123,-0.2890625,-0.36016846,-0.9439087,Wrist,Left,s1737472,6,123
1601132120647,124,-0.29248047,-0.36431885,-0.9458618,Wrist,Left,s1737472,6,123
