# Sensor position: Chest
# Sensor side: Left
# Activity type: Running
# Activity code: 11
# Subject id: s1737472
timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601579636613,0,-0.36401367,-0.9475708,0.22576904,Chest,Left,s1737472,11,123
1601579636615,1,-0.36865234,-0.9512329,0.21746826,Chest,Left,s1737472,11,123
1601579636618,2,-0.37451172,-0.9475708,0.21966553,Chest,Left,s1737472,11,123
1601579636620,3,-0.38183594,-0.9456177,0.22210693,Chest,Left,s1737472,11,123
1601579636627,4,-0.38452148,-0.9505005,0.23065186,Chest,Left,s1737472,11,123
1601579636630,5,-0.38549805,-0.9421997,0.23040771,Chest,Left,s1737472,11,123
1601579636650,6,-0.3803711,-0.9373169,0.2243042,Chest,Left,s1737472,11,123
1601579636651,7,-0.37280273,-0.940979,0.23553467,Chest,Left,s1737472,11,123
1601579636657,8,-0.37158203,-0.95440674,0.2189331,Chest,Left,s1737472,11,123
1601579636658,9,-0.35205078,-0.9517212,0.21209717,Chest,Left,s1737472,11,123
1601579636659,10,-0.32592773,-0.9517212,0.19915771,Chest,Left,s1737472,11,123
1601579636660,11,-0.30322266,-0.97320557,0.19598389,Chest,Left,s1737472,11,123
1601579636665,12,-0.29003906,-0.973938,0.1828003,Chest,Left,s1737472,11,123
1601579636665,13,-0.28051758,-0.9985962,0.17889404,Chest,Left,s1737472,11,123
1601579636666,14,-0.2746582,-0.9866333,0.17767334,Chest,Left,s1737472,11,123
1601579636667,15,-0.26123047,-0.9963989,0.184021,Chest,Left,s1737472,11,123
1601579636669,16,-0.25,-0.95318604,0.17572021,Chest,Left,s1737472,11,123
1601579636670,17,-0.265625,-0.9578247,0.184021,Chest,Left,s1737472,11,123
1601579636672,18,-0.27392578,-0.98809814,0.1942749,Chest,Left,s1737472,11,123
1601579636674,19,-0.28295898,-1.0374146,0.18450928,Chest,Left,s1737472,11,123
1601579636676,20,-0.32250977,-1.092102,0.2086792,Chest,Left,s1737472,11,123
1601579636678,21,-0.41088867,-1.1155396,0.16326904,Chest,Left,s1737472,11,123
1601579636679,22,-0.421875,-0.82281494,0.09979248,Chest,Left,s1737472,11,123
1601579636681,23,-0.45361328,-0.8352661,0.066589355,Chest,Left,s1737472,11,123
1601579636682,24,-0.5175781,-0.93048096,0.14691162,Chest,Left,s1737472,11,123
1601579636686,25,-0.52441406,-0.8442993,0.1708374,Chest,Left,s1737472,11,123
1601579636686,26,-0.49951172,-0.86553955,0.17352295,Chest,Left,s1737472,11,123
1601579636688,27,-0.49926758,-0.878479,0.1786499,Chest,Left,s1737472,11,123
1601579636690,28,-0.48876953,-0.86846924,0.20599365,Chest,Left,s1737472,11,123
1601579636691,29,-0.47924805,-0.90753174,0.25408936,Chest,Left,s1737472,11,123
1601579636693,30,-0.4501953,-0.8789673,0.30438232,Chest,Left,s1737472,11,123
1601579636694,31,-0.4260254,-0.7815552,0.32244873,Chest,Left,s1737472,11,123
1601579639181,32,-0.45947266,-0.85723877,0.35516357,Chest,Left,s1737472,11,123
1601579639183,33,-0.47216797,-0.960022,0.2909546,Chest,Left,s1737472,11,123
1601579639185,34,-0.03149414,-0.8110962,-0.18780518,Chest,Left,s1737472,11,123
1601579639186,35,-0.46044922,-1.8982544,0.038269043,Chest,Left,s1737472,11,123
1601579639188,36,-0.5266113,-1.5855103,0.043640137,Chest,Left,s1737472,11,123
1601579639191,37,-0.22753906,-0.16656494,-0.014221191,Chest,Left,s1737472,11,123
1601579639193,38,-0.2512207,-0.002746582,-0.13970947,Chest,Left,s1737472,11,123
1601579639196,39,-0.92089844,-1.3294067,-0.17193604,Chest,Left,s1737472,11,123
1601579639197,40,-1.0449219,-1.9859009,0.18133545,Chest,Left,s1737472,11,123
1601579639200,41,-0.38134766,-0.7522583,-0.13092041,Chest,Left,s1737472,11,123
1601579639203,42,0.3227539,0.4003296,-0.28253174,Chest,Left,s1737472,11,123
1601579639207,43,-0.34594727,-1.7044067,-0.3406372,Chest,Left,s1737472,11,123
1601579639208,44,-0.5522461,-1.9998169,-0.17681885,Chest,Left,s1737472,11,123
1601579639210,45,-0.45214844,-0.6148071,0.028503418,Chest,Left,s1737472,11,123
1601579639212,46,-0.13012695,0.44085693,-0.07159424,Chest,Left,s1737472,11,123
1601579639215,47,-0.5930176,-0.5679321,-0.13897705,Chest,Left,s1737472,11,123
1601579639216,48,-1.5488281,-1.9998169,-0.1519165,Chest,Left,s1737472,11,123
1601579639218,49,-0.42773438,-1.1538696,-0.12579346,Chest,Left,s1737472,11,123
1601579639220,50,0.043945312,0.027770996,-0.26812744,Chest,Left,s1737472,11,123
1601579639222,51,0.3071289,-0.11773682,-0.1843872,Chest,Left,s1737472,11,123
1601579639223,52,-0.49926758,-1.9685669,-0.20758057,Chest,Left,s1737472,11,123
1601579639225,53,-0.6887207,-1.9998169,-0.013244629,Chest,Left,s1737472,11,123
1601579639227,54,-0.34326172,-0.333313,0.113464355,Chest,Left,s1737472,11,123
1601579639229,55,-0.17944336,0.3348999,-0.105529785,Chest,Left,s1737472,11,123
1601579639231,56,-0.7585449,-0.8369751,-0.2576294,Chest,Left,s1737472,11,123
1601579639233,57,-1.2683105,-1.9998169,0.1408081,Chest,Left,s1737472,11,123
1601579639235,58,-0.3659668,-0.9067993,-0.06842041,Chest,Left,s1737472,11,123
1601579639237,59,0.16235352,0.18621826,-0.26080322,Chest,Left,s1737472,11,123
1601579639240,60,0.29174805,-0.19390869,-0.23150635,Chest,Left,s1737472,11,123
1601579639241,61,-0.4645996,-1.9998169,-0.09063721,Chest,Left,s1737472,11,123
1601579639242,62,-0.6826172,-1.645813,-0.10772705,Chest,Left,s1737472,11,123
1601579639244,63,-0.18041992,-0.027893066,0.059020996,Chest,Left,s1737472,11,123
1601579641758,64,-0.13256836,0.23651123,-0.15240479,Chest,Left,s1737472,11,123
1601579641765,65,-0.89941406,-0.9771118,-0.1765747,Chest,Left,s1737472,11,123
1601579641768,66,-1.2414551,-1.9998169,0.14276123,Chest,Left,s1737472,11,123
1601579641772,67,-0.41064453,-0.862854,-0.06011963,Chest,Left,s1737472,11,123
1601579641776,68,0.34277344,0.47747803,-0.32769775,Chest,Left,s1737472,11,123
1601579641777,69,0.06640625,-0.47979736,-0.09039307,Chest,Left,s1737472,11,123
1601579641785,70,-0.5498047,-1.9998169,-0.20513916,Chest,Left,s1737472,11,123
1601579641793,71,-0.6447754,-1.2234497,-0.1026001,Chest,Left,s1737472,11,123
1601579641794,72,-0.15722656,0.20452881,-0.034484863,Chest,Left,s1737472,11,123
1601579641800,73,-0.33398438,-0.012023926,-0.105529785,Chest,Left,s1737472,11,123
1601579641803,74,-1.4855957,-1.9998169,-0.15020752,Chest,Left,s1737472,11,123
1601579641806,75,-0.65600586,-1.5632935,0.074645996,Chest,Left,s1737472,11,123
1601579641808,76,-0.088134766,0.042175293,-0.2420044,Chest,Left,s1737472,11,123
1601579641810,77,0.49267578,0.081726074,-0.3423462,Chest,Left,s1737472,11,123
1601579641813,78,-0.52075195,-1.9544067,-0.32208252,Chest,Left,s1737472,11,123
1601579641814,79,-0.6804199,-1.9998169,-0.18389893,Chest,Left,s1737472,11,123
1601579641819,80,-0.41357422,-0.37506104,0.0848999,Chest,Left,s1737472,11,123
1601579641820,81,-0.23852539,0.41253662,-0.07354736,Chest,Left,s1737472,11,123
1601579641820,82,-0.6882324,-0.67803955,0.0446167,Chest,Left,s1737472,11,123
1601579641827,83,-1.2595215,-1.9998169,-0.21246338,Chest,Left,s1737472,11,123
1601579641827,84,-0.45092773,-1.1882935,-0.07208252,Chest,Left,s1737472,11,123
1601579641827,85,0.12646484,0.37298584,-0.32647705,Chest,Left,s1737472,11,123
1601579641828,86,0.3161621,-0.27374268,-0.14117432,Chest,Left,s1737472,11,123
1601579641829,87,-0.46166992,-1.9998169,-0.1531372,Chest,Left,s1737472,11,123
1601579641831,88,-0.767334,-1.5789185,-0.0647583,Chest,Left,s1737472,11,123
1601579641833,89,-0.2607422,-0.10064697,0.061950684,Chest,Left,s1737472,11,123
1601579641835,90,-0.22949219,0.2333374,-0.07598877,Chest,Left,s1737472,11,123
1601579641837,91,-1.1630859,-1.5747681,-0.26031494,Chest,Left,s1737472,11,123
1601579641839,92,-1.1525879,-1.9998169,0.02532959,Chest,Left,s1737472,11,123
1601579641840,93,-0.17675781,-0.58551025,-0.12872314,Chest,Left,s1737472,11,123
1601579641845,94,0.54052734,0.5492554,-0.29693604,Chest,Left,s1737472,11,123
1601579641845,95,-0.3022461,-1.3164673,-0.19366455,Chest,Left,s1737472,11,123
1601579644328,96,-0.60424805,-1.9998169,-0.30523682,Chest,Left,s1737472,11,123
1601579644331,97,-0.55029297,-0.99420166,-0.03277588,Chest,Left,s1737472,11,123
1601579644333,98,-0.21118164,0.2819214,-0.027648926,Chest,Left,s1737472,11,123
1601579644336,99,-0.30004883,-0.09918213,-0.13482666,Chest,Left,s1737472,11,123
1601579644339,100,-1.5102539,-1.9998169,-0.22076416,Chest,Left,s1737472,11,123
1601579644340,101,-0.4465332,-1.6355591,-0.04840088,Chest,Left,s1737472,11,123
1601579644345,102,-0.080566406,0.08807373,-0.14361572,Chest,Left,s1737472,11,123
1601579644347,103,0.5109863,-0.11529541,-0.36016846,Chest,Left,s1737472,11,123
1601579644349,104,-0.45263672,-1.7258911,-0.22955322,Chest,Left,s1737472,11,123
1601579644351,105,-0.80981445,-1.9998169,0.19915771,Chest,Left,s1737472,11,123
1601579644352,106,-0.38989258,-0.39727783,0.109069824,Chest,Left,s1737472,11,123
1601579644354,107,-0.20703125,0.25628662,-0.04083252,Chest,Left,s1737472,11,123
1601579644357,108,-0.5605469,-0.33868408,0.08880615,Chest,Left,s1737472,11,123
1601579644359,109,-1.354248,-1.9998169,0.07733154,Chest,Left,s1737472,11,123
1601579644362,110,-0.5654297,-1.3765259,0.06951904,Chest,Left,s1737472,11,123
1601579644364,111,0.14355469,0.17474365,-0.2876587,Chest,Left,s1737472,11,123
1601579644365,112,0.28637695,-0.13726807,-0.25909424,Chest,Left,s1737472,11,123
1601579644367,113,-0.41381836,-1.9609985,-0.009338379,Chest,Left,s1737472,11,123
1601579644369,114,-0.8972168,-1.9998169,0.19818115,Chest,Left,s1737472,11,123
1601579644371,115,-0.38110352,-0.34747314,0.12249756,Chest,Left,s1737472,11,123
1601579644374,116,-0.18896484,0.1383667,-0.07696533,Chest,Left,s1737472,11,123
1601579644376,117,-0.78881836,-0.6633911,0.045837402,Chest,Left,s1737472,11,123
1601579644378,118,-1.3129883,-1.9998169,0.1786499,Chest,Left,s1737472,11,123
1601579644380,119,-0.45336914,-1.1419067,0.04949951,Chest,Left,s1737472,11,123
1601579644382,120,0.15527344,0.17059326,-0.3418579,Chest,Left,s1737472,11,123
1601579644384,121,0.21826172,-0.24298096,-0.21685791,Chest,Left,s1737472,11,123
1601579644386,122,-0.5395508,-1.9998169,-0.07965088,Chest,Left,s1737472,11,123
1601579644387,123,-0.8444824,-1.7571411,0.021911621,Chest,Left,s1737472,11,123
1601579644389,124,-0.1862793,-0.06573486,0.07659912,Chest,Left,s1737472,11,123
1601579644391,125,-0.1940918,0.20184326,-0.08648682,Chest,Left,s1737472,11,123
1601579644392,126,-0.97558594,-1.2114868,-0.19976807,Chest,Left,s1737472,11,123
1601579644394,127,-1.25,-1.9998169,0.059753418,Chest,Left,s1737472,11,123
1601579646714,128,-0.3720703,-0.7539673,-0.112854004,Chest,Left,s1737472,11,123
1601579646716,129,0.37353516,0.23822021,-0.36309814,Chest,Left,s1737472,11,123
1601579646719,130,0.088378906,-0.35430908,-0.061828613,Chest,Left,s1737472,11,123
1601579646721,131,-0.7167969,-1.9998169,0.038757324,Chest,Left,s1737472,11,123
1601579646724,132,-0.81884766,-1.5654907,0.11541748,Chest,Left,s1737472,11,123
1601579646725,133,-0.19702148,0.03753662,0.14105225,Chest,Left,s1737472,11,123
1601579646728,134,-0.20898438,0.058044434,-0.112854004,Chest,Left,s1737472,11,123
1601579646729,135,-1.2946777,-1.7012329,-0.045959473,Chest,Left,s1737472,11,123
1601579646731,136,-0.9851074,-1.8911743,0.120788574,Chest,Left,s1737472,11,123
1601579646733,137,-0.22143555,-0.3904419,-0.15509033,Chest,Left,s1737472,11,123
1601579646734,138,0.38989258,0.11102295,-0.40020752,Chest,Left,s1737472,11,123
1601579646736,139,-0.25170898,-1.0386353,0.05706787,Chest,Left,s1737472,11,123
1601579646739,140,-0.6665039,-1.9998169,-0.101379395,Chest,Left,s1737472,11,123
1601579646742,141,-0.71362305,-1.0698853,0.08270264,Chest,Left,s1737472,11,123
1601579646745,142,-0.111083984,0.2597046,-0.0020141602,Chest,Left,s1737472,11,123
1601579646747,143,-0.25439453,-0.058166504,-0.04156494,Chest,Left,s1737472,11,123
1601579646751,144,-1.3549805,-1.8274536,0.0072631836,Chest,Left,s1737472,11,123
1601579646753,145,-0.9616699,-1.8291626,0.22113037,Chest,Left,s1737472,11,123
1601579646755,146,-0.19946289,-0.41412354,-0.23468018,Chest,Left,s1737472,11,123
1601579646756,147,0.39233398,0.1251831,-0.28009033,Chest,Left,s1737472,11,123
