timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601581072671,0,0.83251953,0.36419678,0.15594482,Chest,Right,s1737472,11,123
1601581072672,1,0.8327637,0.36395264,0.15423584,Chest,Right,s1737472,11,123
1601581072674,2,0.8239746,0.3703003,0.14886475,Chest,Right,s1737472,11,123
1601581072676,3,0.8364258,0.36590576,0.15057373,Chest,Right,s1737472,11,123
1601581072678,4,0.83569336,0.37054443,0.13739014,Chest,Right,s1737472,11,123
1601581072679,5,0.8330078,0.37908936,0.1359253,Chest,Right,s1737472,11,123
1601581072686,6,0.8347168,0.3739624,0.13665771,Chest,Right,s1737472,11,123
1601581072689,7,0.8322754,0.3727417,0.1449585,Chest,Right,s1737472,11,123
1601581072692,8,0.83984375,0.3678589,0.1449585,Chest,Right,s1737472,11,123
1601581072695,9,0.8305664,0.37225342,0.14813232,Chest,Right,s1737472,11,123
1601581072699,10,0.83081055,0.37078857,0.15838623,Chest,Right,s1737472,11,123
1601581072701,11,0.82910156,0.36224365,0.15814209,Chest,Right,s1737472,11,123
1601581072703,12,0.8322754,0.35931396,0.16741943,Chest,Right,s1737472,11,123
1601581072705,13,0.8273926,0.36029053,0.16619873,Chest,Right,s1737472,11,123
1601581072706,14,0.83935547,0.35687256,0.15472412,Chest,Right,s1737472,11,123
1601581072708,15,0.83496094,0.3529663,0.13397217,Chest,Right,s1737472,11,123
1601581072709,16,0.8251953,0.34661865,0.13153076,Chest,Right,s1737472,11,123
1601581072711,17,0.8322754,0.35491943,0.13763428,Chest,Right,s1737472,11,123
1601581072714,18,0.82836914,0.3685913,0.1383667,Chest,Right,s1737472,11,123
1601581072715,19,0.8029785,0.369812,0.12884521,Chest,Right,s1737472,11,123
1601581072716,20,0.7988281,0.3895874,0.1359253,Chest,Right,s1737472,11,123
1601581072717,21,0.8286133,0.41156006,0.14666748,Chest,Right,s1737472,11,123
1601581072719,22,0.7807617,0.41229248,0.16033936,Chest,Right,s1737472,11,123
1601581072721,23,0.7902832,0.43133545,0.19793701,Chest,Right,s1737472,11,123
1601581072722,24,0.68530273,0.39788818,0.17694092,Chest,Right,s1737472,11,123
1601581072724,25,0.6472168,0.35931396,0.13983154,Chest,Right,s1737472,11,123
1601581072726,26,0.9790039,0.37738037,0.121032715,Chest,Right,s1737472,11,123
1601581072727,27,1.2387695,0.39959717,0.09051514,Chest,Right,s1737472,11,123
1601581072730,28,0.95214844,0.25335693,0.00579834,Chest,Right,s1737472,11,123
1601581072731,29,0.5073242,-0.20147705,-0.24884033,Chest,Right,s1737472,11,123
1601581072732,30,1.6899414,0.31365967,0.101989746,Chest,Right,s1737472,11,123
1601581072734,31,1.3679199,0.23309326,0.15863037,Chest,Right,s1737472,11,123
1601581075243,32,0.091796875,0.011169434,-0.016174316,Chest,Right,s1737472,11,123
1601581075245,33,-0.09887695,0.152771,-0.19830322,Chest,Right,s1737472,11,123
1601581075248,34,1.8640137,0.87054443,-0.18170166,Chest,Right,s1737472,11,123
1601581075252,35,1.6359863,0.9220581,-0.19049072,Chest,Right,s1737472,11,123
1601581075273,36,0.4116211,-0.09625244,-0.24273682,Chest,Right,s1737472,11,123
1601581075273,37,-0.19335938,-0.38702393,-0.37628174,Chest,Right,s1737472,11,123
1601581075273,38,1.9997559,0.009216309,-0.44854736,Chest,Right,s1737472,11,123
1601581075276,39,1.5578613,0.29144287,-0.16143799,Chest,Right,s1737472,11,123
1601581075276,40,0.5600586,0.17962646,0.035339355,Chest,Right,s1737472,11,123
1601581075281,41,-0.47705078,0.12738037,-0.09234619,Chest,Right,s1737472,11,123
1601581075288,42,0.6591797,0.32537842,-0.19342041,Chest,Right,s1737472,11,123
1601581075291,43,1.9997559,1.2228394,-0.29449463,Chest,Right,s1737472,11,123
1601581075298,44,1.138916,0.4022827,-0.2029419,Chest,Right,s1737472,11,123
1601581075299,45,-0.04711914,-0.30230713,-0.2695923,Chest,Right,s1737472,11,123
1601581075299,46,0.043701172,-0.2991333,-0.17022705,Chest,Right,s1737472,11,123
1601581075300,47,1.9997559,0.36151123,-0.21466064,Chest,Right,s1737472,11,123
1601581075304,48,1.3591309,0.43841553,-0.0056762695,Chest,Right,s1737472,11,123
1601581075306,49,0.29833984,0.06512451,0.112976074,Chest,Right,s1737472,11,123
1601581075315,50,-0.4868164,0.112976074,-0.16168213,Chest,Right,s1737472,11,123
1601581075319,51,1.4018555,0.70526123,-0.24957275,Chest,Right,s1737472,11,123
1601581075320,52,1.9997559,1.0599976,-0.29034424,Chest,Right,s1737472,11,123
1601581075326,53,0.79833984,0.24920654,-0.2000122,Chest,Right,s1737472,11,123
1601581075329,54,-0.4091797,-0.50177,-0.28912354,Chest,Right,s1737472,11,123
1601581075329,55,0.8046875,-0.039367676,-0.2144165,Chest,Right,s1737472,11,123
1601581075330,56,1.9997559,0.32928467,-0.18829346,Chest,Right,s1737472,11,123
1601581075330,57,0.92407227,0.32073975,0.0053100586,Chest,Right,s1737472,11,123
1601581075331,58,-0.41796875,0.041931152,-0.049621582,Chest,Right,s1737472,11,123
1601581075331,59,0.12646484,0.25872803,-0.12994385,Chest,Right,s1737472,11,123
1601581075332,60,1.9997559,1.0861206,-0.4883423,Chest,Right,s1737472,11,123
1601581075332,61,1.5974121,0.60491943,-0.3106079,Chest,Right,s1737472,11,123
1601581075332,62,0.049560547,-0.21173096,-0.33746338,Chest,Right,s1737472,11,123
1601581075333,63,0.019042969,-0.33087158,-0.18121338,Chest,Right,s1737472,11,123
1601581077817,64,1.7700195,0.078063965,-0.38360596,Chest,Right,s1737472,11,123
1601581077817,65,1.6398926,0.47625732,-0.03668213,Chest,Right,s1737472,11,123
1601581077824,66,0.35498047,0.16888428,0.11932373,Chest,Right,s1737472,11,123
1601581077826,67,-0.39672852,0.1239624,-0.12823486,Chest,Right,s1737472,11,123
1601581077834,68,0.41577148,0.50115967,-0.34527588,Chest,Right,s1737472,11,123
1601581077834,69,1.9997559,1.0297241,-0.3591919,Chest,Right,s1737472,11,123
1601581077842,70,1.2976074,0.5585327,-0.21832275,Chest,Right,s1737472,11,123
1601581077842,71,-0.07519531,-0.23468018,-0.20318604,Chest,Right,s1737472,11,123
1601581077843,72,0.014160156,-0.24005127,-0.2901001,Chest,Right,s1737472,11,123
1601581077844,73,1.8625488,0.1515503,-0.5054321,Chest,Right,s1737472,11,123
1601581077845,74,1.9997559,0.512146,-0.0725708,Chest,Right,s1737472,11,123
1601581077848,75,0.48608398,0.2296753,0.097839355,Chest,Right,s1737472,11,123
1601581077850,76,-0.40820312,0.13519287,-0.1038208,Chest,Right,s1737472,11,123
1601581077853,77,0.71118164,0.6298218,-0.40289307,Chest,Right,s1737472,11,123
1601581077858,78,1.9997559,0.9508667,-0.29449463,Chest,Right,s1737472,11,123
1601581077863,79,0.923584,0.2218628,-0.23809814,Chest,Right,s1737472,11,123
1601581077863,80,-0.3173828,-0.29351807,-0.2546997,Chest,Right,s1737472,11,123
1601581077867,81,0.28759766,-0.06549072,-0.24737549,Chest,Right,s1737472,11,123
1601581077867,82,1.9997559,0.24285889,-0.18951416,Chest,Right,s1737472,11,123
1601581077869,83,1.4172363,0.4701538,-0.042053223,Chest,Right,s1737472,11,123
1601581077872,84,0.23461914,0.034362793,0.019470215,Chest,Right,s1737472,11,123
1601581077874,85,-0.38671875,0.12884521,-0.12017822,Chest,Right,s1737472,11,123
1601581077875,86,1.3181152,0.8012085,-0.33233643,Chest,Right,s1737472,11,123
1601581077877,87,1.9997559,1.1439819,-0.3267212,Chest,Right,s1737472,11,123
1601581077880,88,0.736084,0.25238037,-0.27301025,Chest,Right,s1737472,11,123
1601581077881,89,-0.28173828,-0.40997314,-0.27960205,Chest,Right,s1737472,11,123
1601581077883,90,0.31713867,-0.047912598,-0.21148682,Chest,Right,s1737472,11,123
1601581077884,91,1.9997559,0.13934326,-0.48931885,Chest,Right,s1737472,11,123
1601581077885,92,1.2666016,0.47821045,-0.10357666,Chest,Right,s1737472,11,123
1601581077886,93,0.1328125,0.035827637,0.05609131,Chest,Right,s1737472,11,123
