timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601161232801,0,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232801,1,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232802,2,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232802,3,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232803,4,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232806,5,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232807,6,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232807,7,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232808,8,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232808,9,-0.9404297,0.33026123,-0.1729126,Front pocket (trouser),Left,s1737472,11,123
1601161232808,10,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232808,11,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232808,12,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232808,13,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232809,14,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232809,15,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232809,16,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232811,17,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232812,18,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,19,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,20,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,21,-0.93652344,0.33538818,-0.17120361,Front pocket (trouser),Left,s1737472,11,123
1601161232813,22,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,23,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,24,-0.93530273,0.34246826,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232813,25,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232814,26,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232815,27,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232815,28,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232815,29,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232815,30,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232816,31,-0.93530273,0.33514404,-0.17022705,Front pocket (trouser),Left,s1737472,11,123
1601161232816,32,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232816,33,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232817,34,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232818,35,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232818,36,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232818,37,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232818,38,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232818,39,-0.9406738,0.33538818,-0.16949463,Front pocket (trouser),Left,s1737472,11,123
1601161232819,40,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232819,41,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232820,42,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232820,43,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232821,44,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232823,45,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232825,46,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232825,47,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232825,48,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232825,49,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232825,50,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232825,51,-0.94018555,0.3361206,-0.16973877,Front pocket (trouser),Left,s1737472,11,123
1601161232826,52,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232827,53,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232827,54,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232827,55,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232828,56,-0.93725586,0.33953857,-0.16851807,Front pocket (trouser),Left,s1737472,11,123
1601161232828,57,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232828,58,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232828,59,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232828,60,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232828,61,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232828,62,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232828,63,-0.94091797,0.3319702,-0.16925049,Front pocket (trouser),Left,s1737472,11,123
1601161232830,64,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232830,65,-0.9370117,0.3361206,-0.16778564,Front pocket (trouser),Left,s1737472,11,123
1601161232830,66,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232830,67,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232830,68,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232830,69,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232830,70,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232830,71,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232831,72,-0.9375,0.33709717,-0.16680908,Front pocket (trouser),Left,s1737472,11,123
1601161232831,73,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232831,74,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232832,75,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232832,76,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232832,77,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232832,78,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232832,79,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232834,80,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232834,81,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232834,82,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232835,83,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232835,84,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232835,85,-0.93774414,0.33831787,-0.16461182,Front pocket (trouser),Left,s1737472,11,123
1601161232835,86,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232835,87,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232836,88,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232836,89,-0.939209,0.33538818,-0.16412354,Front pocket (trouser),Left,s1737472,11,123
1601161232837,90,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232837,91,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232837,92,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232837,93,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232838,94,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232839,95,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232839,96,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232839,97,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232839,98,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232839,99,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232839,100,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232839,101,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232840,102,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232841,103,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232841,104,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232841,105,-0.93774414,0.33685303,-0.16583252,Front pocket (trouser),Left,s1737472,11,123
1601161232841,106,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232841,107,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232841,108,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232842,109,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232844,110,-0.9362793,0.34075928,-0.16241455,Front pocket (trouser),Left,s1737472,11,123
1601161232844,111,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232844,112,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232844,113,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232844,114,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232844,115,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232845,116,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232845,117,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232845,118,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232845,119,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232846,120,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232846,121,-0.9436035,0.33587646,-0.15802002,Front pocket (trouser),Left,s1737472,11,123
1601161232847,122,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232847,123,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232847,124,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232847,125,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232847,126,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232847,127,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232847,128,-0.93530273,0.3390503,-0.1609497,Front pocket (trouser),Left,s1737472,11,123
1601161232847,129,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232847,130,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232847,131,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232848,132,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232849,133,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232849,134,-0.9411621,0.33148193,-0.15948486,Front pocket (trouser),Left,s1737472,11,123
1601161232849,135,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232849,136,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232849,137,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232849,138,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232850,139,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232850,140,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232851,141,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232851,142,-0.9382324,0.33587646,-0.16314697,Front pocket (trouser),Left,s1737472,11,123
1601161232851,143,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232852,144,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232852,145,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232852,146,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232852,147,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232854,148,-0.93725586,0.33953857,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232855,149,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232855,150,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232856,151,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232856,152,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232857,153,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232857,154,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232857,155,-0.94091797,0.3373413,-0.16656494,Front pocket (trouser),Left,s1737472,11,123
1601161232857,156,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232857,157,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232857,158,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232857,159,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232857,160,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232857,161,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232860,162,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232860,163,-0.9399414,0.33587646,-0.16534424,Front pocket (trouser),Left,s1737472,11,123
1601161232860,164,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232860,165,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232860,166,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232860,167,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232860,168,-0.9399414,0.33587646,-0.16534424,Front pocket (trouser),Left,s1737472,11,123
1601161232860,169,-0.9399414,0.33587646,-0.16534424,Front pocket (trouser),Left,s1737472,11,123
1601161232860,170,-0.935791,0.3373413,-0.1651001,Front pocket (trouser),Left,s1737472,11,123
1601161232860,171,-0.9423828,0.34075928,-0.17193604,Front pocket (trouser),Left,s1737472,11,123
1601161232860,172,-0.9423828,0.34075928,-0.17193604,Front pocket (trouser),Left,s1737472,11,123
1601161232860,173,-0.93847656,0.33953857,-0.16168213,Front pocket (trouser),Left,s1737472,11,123
1601161232861,174,-0.9399414,0.33587646,-0.16534424,Front pocket (trouser),Left,s1737472,11,123
1601161232861,175,-0.93774414,0.3283081,-0.16119385,Front pocket (trouser),Left,s1737472,11,123
1601161232861,176,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232861,177,-0.935791,0.33343506,-0.17852783,Front pocket (trouser),Left,s1737472,11,123
1601161232861,178,-0.935791,0.33343506,-0.17852783,Front pocket (trouser),Left,s1737472,11,123
1601161232861,179,-0.93408203,0.33514404,-0.16192627,Front pocket (trouser),Left,s1737472,11,123
1601161232862,180,-0.93066406,0.33343506,-0.18170166,Front pocket (trouser),Left,s1737472,11,123
1601161232863,181,-0.94189453,0.33172607,-0.16265869,Front pocket (trouser),Left,s1737472,11,123
1601161232863,182,-0.9423828,0.34075928,-0.17193604,Front pocket (trouser),Left,s1737472,11,123
1601161232863,183,-0.93066406,0.33343506,-0.18170166,Front pocket (trouser),Left,s1737472,11,123
