timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601038979791,0,0.118896484,0.62298584,-0.117004395,Front pocket (trouser),Right,s1737472,11,123
1601038979794,1,-0.2368164,0.99334717,0.27703857,Front pocket (trouser),Right,s1737472,11,123
1601038979798,2,-1.0639648,1.1378784,0.5717163,Front pocket (trouser),Right,s1737472,11,123
1601038979802,3,-0.22241211,0.73602295,-0.38824463,Front pocket (trouser),Right,s1737472,11,123
1601038979807,4,-0.2253418,1.3695679,0.03314209,Front pocket (trouser),Right,s1737472,11,123
1601038979810,5,0.22363281,0.8163452,-0.29522705,Front pocket (trouser),Right,s1737472,11,123
1601038979824,6,-0.49169922,0.9384155,-0.28985596,Front pocket (trouser),Right,s1737472,11,123
1601038979834,7,-0.1418457,0.8876343,-0.11505127,Front pocket (trouser),Right,s1737472,11,123
1601038979835,8,-0.3059082,0.87615967,-0.28546143,Front pocket (trouser),Right,s1737472,11,123
1601038979837,9,-0.24438477,0.91693115,-0.14996338,Front pocket (trouser),Right,s1737472,11,123
1601038979839,10,-0.34106445,0.96087646,-0.22149658,Front pocket (trouser),Right,s1737472,11,123
1601038979840,11,-0.32055664,1.1913452,-0.109680176,Front pocket (trouser),Right,s1737472,11,123
1601038979842,12,-0.48901367,1.4332886,0.2592163,Front pocket (trouser),Right,s1737472,11,123
1601038979844,13,-0.024414062,1.2560425,-0.24151611,Front pocket (trouser),Right,s1737472,11,123
1601038979847,14,-0.34472656,0.88616943,-0.21734619,Front pocket (trouser),Right,s1737472,11,123
1601038979849,15,-0.100097656,0.63153076,-0.21954346,Front pocket (trouser),Right,s1737472,11,123
1601038979853,16,0.02709961,0.602478,-0.047424316,Front pocket (trouser),Right,s1737472,11,123
1601038979855,17,-0.671875,0.88812256,0.76776123,Front pocket (trouser),Right,s1737472,11,123
1601038979860,18,-0.66137695,0.89520264,0.38006592,Front pocket (trouser),Right,s1737472,11,123
1601038979861,19,0.046875,1.0756226,-0.1741333,Front pocket (trouser),Right,s1737472,11,123
1601038979862,20,-0.055908203,1.1583862,-0.2732544,Front pocket (trouser),Right,s1737472,11,123
1601038979863,21,-0.4206543,0.951355,-0.22076416,Front pocket (trouser),Right,s1737472,11,123
1601038979864,22,-0.16699219,0.8851929,0.12225342,Front pocket (trouser),Right,s1737472,11,123
1601038979865,23,-0.2775879,0.77093506,-0.09942627,Front pocket (trouser),Right,s1737472,11,123
1601038979866,24,-0.19677734,1.0858765,-0.2810669,Front pocket (trouser),Right,s1737472,11,123
1601038979868,25,-0.7583008,1.406189,0.20550537,Front pocket (trouser),Right,s1737472,11,123
1601038979870,26,-1.0244141,1.0910034,0.101989746,Front pocket (trouser),Right,s1737472,11,123
1601038979875,27,-0.3605957,1.5299683,-0.44854736,Front pocket (trouser),Right,s1737472,11,123
1601038979880,28,-0.05078125,1.546814,-0.22052002,Front pocket (trouser),Right,s1737472,11,123
1601038979883,29,0.072021484,0.4743042,-0.2871704,Front pocket (trouser),Right,s1737472,11,123
1601038979884,30,0.10864258,-0.20367432,0.5055542,Front pocket (trouser),Right,s1737472,11,123
1601038979886,31,-0.5107422,0.8834839,-0.29083252,Front pocket (trouser),Right,s1737472,11,123
1601038982363,32,1.342041,1.5409546,-0.6277466,Front pocket (trouser),Right,s1737472,11,123
1601038982367,33,-1.548584,1.999939,0.6178589,Front pocket (trouser),Right,s1737472,11,123
1601038982371,34,-0.91186523,0.56536865,0.2921753,Front pocket (trouser),Right,s1737472,11,123
1601038982375,35,-0.8835449,-0.1741333,0.34613037,Front pocket (trouser),Right,s1737472,11,123
1601038982379,36,-1.1376953,1.999939,-0.4187622,Front pocket (trouser),Right,s1737472,11,123
1601038982381,37,-0.6520996,1.999939,-0.31329346,Front pocket (trouser),Right,s1737472,11,123
1601038982387,38,0.34277344,0.2538452,-0.40753174,Front pocket (trouser),Right,s1737472,11,123
1601038982388,39,0.40771484,-0.012756348,0.37493896,Front pocket (trouser),Right,s1737472,11,123
1601038982392,40,-0.6582031,0.57073975,-0.16265869,Front pocket (trouser),Right,s1737472,11,123
1601038982398,41,0.33911133,1.5065308,-0.47418213,Front pocket (trouser),Right,s1737472,11,123
1601038982402,42,-1.9604492,1.999939,-0.10089111,Front pocket (trouser),Right,s1737472,11,123
1601038982404,43,-0.6296387,0.66033936,0.20941162,Front pocket (trouser),Right,s1737472,11,123
1601038982407,44,-0.7038574,-0.7271118,0.40863037,Front pocket (trouser),Right,s1737472,11,123
1601038982424,45,-1.5292969,0.51312256,-0.3731079,Front pocket (trouser),Right,s1737472,11,123
1601038982424,46,-0.23608398,1.999939,-0.56207275,Front pocket (trouser),Right,s1737472,11,123
1601038982425,47,0.34228516,0.30145264,-0.3237915,Front pocket (trouser),Right,s1737472,11,123
1601038982427,48,0.36816406,-0.38360596,0.50994873,Front pocket (trouser),Right,s1737472,11,123
1601038982432,49,-0.64160156,0.9594116,-0.40875244,Front pocket (trouser),Right,s1737472,11,123
1601038982436,50,0.9772949,1.43573,-0.69537354,Front pocket (trouser),Right,s1737472,11,123
1601038982441,51,0.6989746,1.999939,-0.6177368,Front pocket (trouser),Right,s1737472,11,123
1601038982444,52,-1.310791,0.586853,0.24163818,Front pocket (trouser),Right,s1737472,11,123
1601038982446,53,-0.8688965,-0.6795044,0.23602295,Front pocket (trouser),Right,s1737472,11,123
1601038982448,54,-0.73950195,0.36932373,-0.36138916,Front pocket (trouser),Right,s1737472,11,123
1601038982452,55,-0.55810547,1.999939,-0.4307251,Front pocket (trouser),Right,s1737472,11,123
1601038982453,56,-0.052001953,0.65740967,-0.24835205,Front pocket (trouser),Right,s1737472,11,123
1601038982453,57,0.6804199,-0.45635986,0.38690186,Front pocket (trouser),Right,s1737472,11,123
1601038982457,58,-1.0761719,0.8720093,-0.007873535,Front pocket (trouser),Right,s1737472,11,123
