# Sensor position: Front pocket (trouser)
# Sensor side: Left
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1737472
timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601038324366,0,0.55126953,0.09686279,0.7682495,Front pocket (trouser),Left,s1737472,4,123
1601038324371,1,0.55078125,0.09588623,0.7650757,Front pocket (trouser),Left,s1737472,4,123
1601038324376,2,0.54833984,0.098083496,0.76776123,Front pocket (trouser),Left,s1737472,4,123
1601038324386,3,0.55126953,0.0927124,0.7680054,Front pocket (trouser),Left,s1737472,4,123
1601038324391,4,0.5500488,0.093444824,0.77020264,Front pocket (trouser),Left,s1737472,4,123
1601038324394,5,0.54541016,0.09564209,0.76898193,Front pocket (trouser),Left,s1737472,4,123
1601038324399,6,0.5456543,0.093933105,0.7704468,Front pocket (trouser),Left,s1737472,4,123
1601038324404,7,0.5500488,0.09710693,0.76483154,Front pocket (trouser),Left,s1737472,4,123
1601038324405,8,0.5456543,0.09515381,0.76849365,Front pocket (trouser),Left,s1737472,4,123
1601038324406,9,0.5444336,0.097595215,0.7662964,Front pocket (trouser),Left,s1737472,4,123
1601038324408,10,0.5559082,0.10272217,0.7670288,Front pocket (trouser),Left,s1737472,4,123
1601038324411,11,0.5480957,0.08050537,0.7560425,Front pocket (trouser),Left,s1737472,4,123
1601038324413,12,0.54589844,0.08514404,0.76116943,Front pocket (trouser),Left,s1737472,4,123
1601038324416,13,0.5402832,0.098083496,0.762146,Front pocket (trouser),Left,s1737472,4,123
1601038324418,14,0.55615234,0.09832764,0.74920654,Front pocket (trouser),Left,s1737472,4,123
1601038324429,15,0.5800781,0.0836792,0.73431396,Front pocket (trouser),Left,s1737472,4,123
1601038324431,16,0.607666,0.06951904,0.72698975,Front pocket (trouser),Left,s1737472,4,123
1601038324434,17,0.60498047,0.08050537,0.7333374,Front pocket (trouser),Left,s1737472,4,123
1601038324439,18,0.5878906,0.08148193,0.7423706,Front pocket (trouser),Left,s1737472,4,123
1601038324450,19,0.578125,0.06707764,0.7484741,Front pocket (trouser),Left,s1737472,4,123
