# Sensor position: Wrist
# Sensor side: Right
# Activity type: Walking at normal speed
# Activity code: 1
# Subject id: s1737472
timestamp,seq,accel_x,accel_y,accel_z,sensor_position,sensor_side,subject_id,activity_type,recording_id
1601037988791,0,0.62109375,0.6647339,0.05706787,Wrist,Right,s1737472,1,123
1601037988798,1,0.5979004,0.7536011,0.009460449,Wrist,Right,s1737472,1,123
1601037988801,2,0.6003418,0.7062378,0.026794434,Wrist,Right,s1737472,1,123
1601037988803,3,0.69506836,0.6798706,0.06951904,Wrist,Right,s1737472,1,123
1601037988808,4,0.80688477,0.8065796,-0.12432861,Wrist,Right,s1737472,1,123
1601037988811,5,0.62280273,0.7250366,-0.21173096,Wrist,Right,s1737472,1,123
1601037988813,6,0.47924805,0.6415405,-0.26519775,Wrist,Right,s1737472,1,123
1601037988817,7,0.4650879,0.5997925,-0.33233643,Wrist,Right,s1737472,1,123
1601037988820,8,0.5605469,0.77752686,-0.36358643,Wrist,Right,s1737472,1,123
1601037988827,9,0.5583496,0.824646,-0.27227783,Wrist,Right,s1737472,1,123
1601037988828,10,0.5144043,0.76239014,-0.1897583,Wrist,Right,s1737472,1,123
1601037988830,11,0.56103516,0.8251343,-0.43267822,Wrist,Right,s1737472,1,123
1601037988831,12,0.6452637,0.6622925,-0.3887329,Wrist,Right,s1737472,1,123
1601037988843,13,0.6796875,0.78533936,-0.42242432,Wrist,Right,s1737472,1,123
1601037988843,14,0.47216797,0.68426514,-0.25909424,Wrist,Right,s1737472,1,123
1601037988844,15,0.5251465,0.6141968,-0.27496338,Wrist,Right,s1737472,1,123
1601037988844,16,0.4819336,0.67889404,-0.28497314,Wrist,Right,s1737472,1,123
1601037988849,17,0.42626953,0.6845093,-0.1609497,Wrist,Right,s1737472,1,123
1601037988851,18,0.4091797,0.7658081,-0.09454346,Wrist,Right,s1737472,1,123
1601037988857,19,0.3955078,0.7860718,-0.06427002,Wrist,Right,s1737472,1,123
1601037988859,20,0.55615234,0.8485718,-0.19805908,Wrist,Right,s1737472,1,123
1601037988860,21,0.68652344,0.9545288,-0.21148682,Wrist,Right,s1737472,1,123
1601037988863,22,0.5307617,0.66693115,-0.23443604,Wrist,Right,s1737472,1,123
1601037988866,23,0.5463867,0.6613159,-0.20391846,Wrist,Right,s1737472,1,123
1601037988870,24,0.5805664,0.6124878,-0.1741333,Wrist,Right,s1737472,1,123
1601037988872,25,0.5690918,0.6078491,-0.14434814,Wrist,Right,s1737472,1,123
1601037988875,26,0.67626953,0.6654663,-0.15289307,Wrist,Right,s1737472,1,123
1601037988877,27,0.79541016,0.6659546,-0.12799072,Wrist,Right,s1737472,1,123
1601037988880,28,0.85717773,0.58026123,-0.04083252,Wrist,Right,s1737472,1,123
1601037988883,29,0.7685547,0.58270264,0.109558105,Wrist,Right,s1737472,1,123
1601037988886,30,0.80371094,0.4376831,0.2189331,Wrist,Right,s1737472,1,123
1601037988887,31,0.68652344,0.32635498,0.23480225,Wrist,Right,s1737472,1,123
1601037991357,32,0.63134766,0.35101318,0.27337646,Wrist,Right,s1737472,1,123
1601037991361,33,0.6542969,0.4208374,0.30975342,Wrist,Right,s1737472,1,123
1601037991365,34,0.87353516,0.37469482,0.24432373,Wrist,Right,s1737472,1,123
1601037991367,35,1.2868652,0.3378296,0.09686279,Wrist,Right,s1737472,1,123
1601037991370,36,0.7624512,0.41693115,0.11981201,Wrist,Right,s1737472,1,123
1601037991373,37,0.7470703,0.29510498,0.039978027,Wrist,Right,s1737472,1,123
1601037991374,38,0.88623047,0.2855835,-0.018371582,Wrist,Right,s1737472,1,123
1601037991376,39,0.8823242,0.25213623,0.04095459,Wrist,Right,s1737472,1,123
1601037991378,40,0.89453125,0.24627686,0.15814209,Wrist,Right,s1737472,1,123
1601037991382,41,0.97875977,0.17889404,0.21429443,Wrist,Right,s1737472,1,123
1601037991384,42,1.1064453,0.22576904,0.14691162,Wrist,Right,s1737472,1,123
1601037991386,43,0.7644043,0.42596436,0.25335693,Wrist,Right,s1737472,1,123
