# Sensor position: Front pocket (trouser)
# Sensor side: Right
# Activity type: Walking at normal speed
# Activity code: 1
# Subject id: s1746788
timestamp,seq,accel_x,accel_y,accel_z
1601390615245,0,-0.9038086,-0.55426025,0.40716553
1601390615249,1,-0.9038086,-0.55426025,0.40716553
1601390615251,2,-0.59228516,-0.6511841,0.59661865
1601390615252,3,-0.59228516,-0.6511841,0.59661865
1601390615257,4,-0.29785156,-0.4439087,0.7423706
1601390615258,5,-0.29785156,-0.4439087,0.7423706
1601390615259,6,-0.0637207,-0.22613525,0.824646
1601390615261,7,-0.12451172,-0.29522705,0.8817749
1601390615263,8,-0.0637207,-0.22613525,0.824646
1601390615265,9,-0.1628418,-0.35479736,0.9125366
1601390615268,10,-0.12451172,-0.29522705,0.8817749
1601390615269,11,-0.10449219,-0.27252197,0.99627686
1601390615271,12,-0.013916016,-0.19195557,1.0702515
1601390615272,13,-0.1628418,-0.35479736,0.9125366
1601390615273,14,-0.030273438,-0.0017700195,0.9227905
1601390615275,15,-0.10449219,-0.27252197,0.99627686
1601390615276,16,0.01977539,0.040222168,0.9254761
1601390615278,17,-0.013916016,-0.19195557,1.0702515
1601390615279,18,0.06542969,-0.27764893,0.855896
1601390615280,19,-0.030273438,-0.0017700195,0.9227905
1601390615284,20,0.010986328,-0.17437744,0.96429443
1601390615293,21,0.01977539,0.040222168,0.9254761
1601390615294,22,0.041992188,-0.38311768,0.90448
1601390615294,23,0.06542969,-0.27764893,0.855896
1601390615295,24,0.0546875,-0.37213135,0.9467163
1601390615295,25,0.1171875,-0.29595947,0.9203491
1601390615296,26,0.06738281,-0.24835205,0.963562
1601390615296,27,0.010986328,-0.17437744,0.96429443
1601390615298,28,0.041992188,-0.38311768,0.90448
1601390615300,29,0.10229492,-0.30377197,0.90789795
1601390615302,30,0.0546875,-0.37213135,0.9467163
1601390615308,31,0.09423828,-0.35333252,0.8607788
1601390615308,32,0.1171875,-0.29595947,0.9203491
1601390615309,33,0.14477539,-0.47076416,0.83148193
1601390615310,34,0.06738281,-0.24835205,0.963562
1601390615311,35,0.06689453,-0.3904419,0.91986084
1601390615312,36,0.10229492,-0.30377197,0.90789795
