# Sensor position: Wrist
# Sensor side: Left
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1768094
timestamp,seq,accel_x,accel_y,accel_z
1601413335031,0,-0.7885742,-0.5310669,-0.47491455
1601413335034,1,-0.7844238,-0.5496216,-0.46783447
1601413335038,2,-0.80981445,-0.52178955,-0.50201416
1601413335043,3,-0.79296875,-0.5288696,-0.5083618
1601413335047,4,-0.79418945,-0.52716064,-0.5064087
1601413335051,5,-0.7944336,-0.51031494,-0.5022583
1601413335053,6,-0.7907715,-0.5186157,-0.5108032
1601413335056,7,-0.7927246,-0.51275635,-0.5112915
1601413335058,8,-0.79125977,-0.51519775,-0.50909424
1601413335059,9,-0.7932129,-0.5166626,-0.5083618
1601413335060,10,-0.79052734,-0.52227783,-0.5076294
1601413335062,11,-0.78930664,-0.51568604,-0.50787354
1601413335064,12,-0.7895508,-0.5095825,-0.50323486
1601413335066,13,-0.7922363,-0.5154419,-0.5117798
1601413335067,14,-0.79003906,-0.5161743,-0.50909424
1601413335068,15,-0.7919922,-0.51275635,-0.5071411
1601413335069,16,-0.79052734,-0.51812744,-0.5117798
1601413335071,17,-0.7885742,-0.51641846,-0.5117798
1601413335072,18,-0.7910156,-0.5178833,-0.51104736
1601413335073,19,-0.7907715,-0.5149536,-0.5186157
1601413335075,20,-0.7927246,-0.5142212,-0.5125122
1601413335076,21,-0.7878418,-0.5227661,-0.50616455
1601413335078,22,-0.79296875,-0.51568604,-0.50665283
1601413335079,23,-0.79174805,-0.5195923,-0.50372314
1601413335082,24,-0.7897949,-0.51885986,-0.50445557
1601413335085,25,-0.79125977,-0.51397705,-0.50250244
1601413335086,26,-0.7915039,-0.52056885,-0.51397705
1601413335087,27,-0.79296875,-0.52008057,-0.5064087
1601413335089,28,-0.79052734,-0.5183716,-0.5064087
1601413335095,29,-0.78930664,-0.51690674,-0.5076294
1601413335096,30,-0.7907715,-0.5178833,-0.5088501
1601413335097,31,-0.7919922,-0.51641846,-0.5071411
1601413337565,32,-0.7878418,-0.52545166,-0.50909424
1601413337567,33,-0.7895508,-0.52301025,-0.50787354
1601413337569,34,-0.7883301,-0.522522,-0.5039673
1601413337571,35,-0.7890625,-0.5244751,-0.5046997
1601413337573,36,-0.7885742,-0.5261841,-0.5027466
1601413337575,37,-0.78759766,-0.522522,-0.5039673
1601413337579,38,-0.78759766,-0.5244751,-0.5039673
1601413337582,39,-0.7890625,-0.52545166,-0.5039673
1601413337586,40,-0.7858887,-0.5261841,-0.50494385
1601413337588,41,-0.7873535,-0.5276489,-0.5054321
1601413337590,42,-0.7878418,-0.5281372,-0.50665283
1601413337592,43,-0.7866211,-0.52789307,-0.5022583
1601413337595,44,-0.78393555,-0.5281372,-0.50250244
1601413337599,45,-0.7883301,-0.52838135,-0.50665283
1601413337600,46,-0.7885742,-0.5288696,-0.5081177
1601413337601,47,-0.78759766,-0.5339966,-0.49517822
1601413337604,48,-0.7956543,-0.5310669,-0.49761963
