timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633632978888,-0.14428711,-0.9939575,0.109069824,2.546875,-2.609375,1.78125,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632978917,-0.13891602,-0.98931885,0.089782715,-0.921875,-2.265625,0.625,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632978994,-0.13134766,-0.9854126,0.085876465,-4.421875,0.15625,0.390625,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979012,-0.12890625,-0.9883423,0.101501465,-4.140625,1.75,-0.1875,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979041,-0.14208984,-0.9963989,0.11004639,-3.0625,2.140625,-1.59375,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979113,-0.09814453,-0.97247314,0.10784912,1.28125,1.5625,0.5625,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979127,-0.05126953,-0.9639282,0.08709717,6.859375,-0.921875,5.140625,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979159,-0.036132812,-0.9495239,0.0993042,9.90625,-2.015625,8.0,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979237,-0.12109375,-0.9558716,0.053649902,4.953125,-3.796875,11.5,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979249,-0.12060547,-0.91241455,0.023132324,3.328125,-1.203125,15.78125,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979277,-0.061279297,-0.9495239,0.035827637,10.53125,-1.125,23.921875,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
1633632979355,0.029296875,-0.95147705,0.043884277,11.15625,-0.859375,28.96875,Respeck,Falling on the back,47,s1702583,,Respeck_s1702583_Falling on the back_07-10-2021_20-56-22
