timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633434046850,-0.7919922,0.19726562,0.4326172,-9.5,-3.8125,2.96875,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434046880,-0.78027344,0.19824219,0.45410156,-9.5625,-2.28125,-0.28125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434046940,-0.80371094,0.19628906,0.4453125,-8.53125,0.09375,1.5625,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434046971,-0.7949219,0.19433594,0.4658203,-6.09375,2.53125,1.125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047030,-0.7919922,0.19824219,0.45703125,-5.53125,4.96875,1.0,-67.5,8.75,-165.8125,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047060,-0.7939453,0.19824219,0.46484375,-3.59375,3.46875,-0.03125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047090,-0.80371094,0.20703125,0.45996094,-4.8125,2.0625,0.15625,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047120,-0.7919922,0.20117188,0.45117188,-6.40625,3.5625,-0.5625,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047180,-0.79296875,0.21289062,0.44140625,-7.6875,3.5625,-0.21875,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047210,-0.79003906,0.19628906,0.43164062,-7.625,4.5625,-1.6875,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047242,-0.78515625,0.19726562,0.4375,-8.34375,5.78125,-1.84375,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047300,-0.7988281,0.20410156,0.43066406,-8.90625,7.0625,-2.53125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047332,-0.796875,0.20019531,0.45410156,-9.03125,8.15625,-3.5,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047362,-0.7949219,0.21289062,0.45117188,-10.25,9.875,-3.5625,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047420,-0.7919922,0.20898438,0.45703125,-11.03125,9.375,-3.625,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047450,-0.79785156,0.18164062,0.42871094,-9.8125,10.46875,-4.3125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047480,-0.7734375,0.19921875,0.42773438,-8.84375,12.84375,-5.03125,-68.875,6.0625,-165.9375,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
1633434047542,-0.7705078,0.19921875,0.43066406,-10.3125,17.0625,-5.03125,0.0,0.0,0.0,Thingy,Falling on the right,46,s1704145,,Thingy_s1704145_Falling on the right_05-10-2021_12-40-49
