timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632915826876,0.15722656,-0.12890625,1.0029297,-2.875,0.21875,-3.75,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915826935,0.18945312,-0.13085938,0.98828125,-1.9375,-1.78125,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915826965,0.16992188,-0.14160156,1.0185547,-1.28125,-2.03125,2.90625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915826996,0.17285156,-0.14257812,1.0117188,-0.28125,-3.0,3.65625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827056,0.16699219,-0.14453125,1.0332031,0.125,-1.59375,3.78125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827116,0.171875,-0.15917969,0.9941406,-1.15625,-1.59375,4.125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827118,0.17480469,-0.16308594,1.0078125,0.0,-1.71875,4.1875,52.8125,14.875,-108.0625,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827176,0.15917969,-0.17285156,0.9970703,0.25,-1.0625,2.71875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827206,0.15917969,-0.16601562,1.0068359,-0.25,-0.625,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827236,0.16894531,-0.15234375,1.0058594,0.0,0.34375,-2.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827296,0.16796875,-0.15527344,1.0146484,-0.34375,1.4375,-4.21875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827326,0.18261719,-0.15429688,0.99609375,-0.84375,1.3125,-4.90625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827360,0.17382812,-0.14941406,0.9902344,-0.40625,1.625,-3.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827417,0.16699219,-0.14648438,0.9970703,0.5625,0.65625,-1.96875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827447,0.16308594,-0.13671875,1.015625,2.34375,-0.5625,-1.46875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827480,0.16992188,-0.14648438,1.0205078,0.0,0.90625,-1.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827537,0.17480469,-0.14746094,0.9892578,0.0,0.03125,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827566,0.1640625,-0.14550781,1.0097656,0.4375,0.34375,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827596,0.1640625,-0.14160156,1.0,-0.71875,0.34375,-0.8125,53.125,14.5625,-110.125,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827657,0.171875,-0.14648438,1.0107422,-0.84375,0.28125,-0.8125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827687,0.16699219,-0.14648438,1.0029297,-0.46875,0.40625,-0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827717,0.16210938,-0.14941406,1.0117188,-0.96875,0.15625,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827778,0.16992188,-0.14648438,1.0097656,-0.40625,-0.03125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827806,0.16308594,-0.16113281,0.99609375,-0.28125,-0.375,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827837,0.16796875,-0.15917969,1.0175781,-0.28125,-0.1875,0.59375,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827897,0.1640625,-0.15234375,1.0078125,-0.1875,-0.03125,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827927,0.171875,-0.16113281,1.0107422,-0.25,0.21875,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915827962,0.16894531,-0.15917969,1.0,-0.25,0.21875,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828017,0.16113281,-0.14550781,1.0087891,-0.25,0.28125,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828049,0.1640625,-0.15136719,1.0146484,-0.25,0.15625,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828077,0.1640625,-0.15332031,1.015625,-0.125,0.21875,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828137,0.16308594,-0.15234375,1.0048828,0.0,0.28125,0.0625,52.0625,15.3125,-108.8125,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828167,0.16699219,-0.14355469,1.0166016,0.0,0.15625,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828199,0.1640625,-0.15527344,1.0078125,0.0625,0.53125,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828257,0.16308594,-0.14453125,0.9902344,-0.25,0.28125,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828286,0.16894531,-0.15234375,1.0039062,-0.125,0.21875,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828317,0.16015625,-0.14257812,1.0234375,-0.28125,0.03125,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828377,0.16503906,-0.15234375,0.9980469,-0.28125,-0.09375,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828407,0.16113281,-0.14746094,1.0117188,-0.0625,-0.03125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828437,0.16699219,-0.14648438,1.0048828,-0.1875,-0.125,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828497,0.16601562,-0.140625,1.0039062,-0.0625,-0.03125,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828528,0.171875,-0.15136719,1.0253906,-0.25,0.03125,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
1632915828587,0.16503906,-0.15136719,1.0136719,-0.125,-0.125,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s1706154,,Thingy_s1706154_Sitting_29-09-2021_12-44-18
