,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633611287747,0.8757324,-0.37408447,0.024597168,-0.40625,0.203125,0.171875,Respeck,Lying down right,6,s1714206,
1,1633611287823,0.8754883,-0.37091064,0.011413574,-0.90625,2.90625,1.203125,Respeck,Lying down right,6,s1714206,
2,1633611287831,0.9160156,-0.37335205,0.002380371,-3.453125,2.796875,2.203125,Respeck,Lying down right,6,s1714206,
3,1633611287900,0.92871094,-0.37164307,0.027038574,0.8125,3.5625,0.03125,Respeck,Lying down right,6,s1714206,
4,1633611287913,0.9267578,-0.36773682,0.035827637,2.40625,5.453125,-1.921875,Respeck,Lying down right,6,s1714206,
5,1633611287942,0.9289551,-0.35894775,0.03314209,5.390625,6.296875,-5.09375,Respeck,Lying down right,6,s1714206,
6,1633611288019,0.91137695,-0.38433838,-0.014953613,6.484375,6.34375,-5.5,Respeck,Lying down right,6,s1714206,
7,1633611288024,0.86328125,-0.39361572,-0.028869629,6.53125,7.171875,-5.40625,Respeck,Lying down right,6,s1714206,
8,1633611288094,0.82373047,-0.36627197,-0.038146973,8.359375,10.53125,-4.59375,Respeck,Lying down right,6,s1714206,
9,1633611288107,0.89038086,-0.44317627,-0.12823486,4.09375,8.0625,-5.140625,Respeck,Lying down right,6,s1714206,
10,1633611288137,0.91845703,-0.3826294,-0.13336182,2.65625,7.296875,-0.453125,Respeck,Lying down right,6,s1714206,
11,1633611288216,0.94750977,-0.45025635,-0.17095947,-2.28125,1.5,-1.828125,Respeck,Lying down right,6,s1714206,
12,1633611288223,0.88305664,-0.4295044,-0.13848877,-1.53125,0.203125,2.8125,Respeck,Lying down right,6,s1714206,
13,1633611288289,0.84716797,-0.40093994,-0.09234619,2.9375,-0.859375,4.859375,Respeck,Lying down right,6,s1714206,
14,1633611288303,0.8400879,-0.43878174,-0.12335205,1.65625,-0.40625,4.109375,Respeck,Lying down right,6,s1714206,
15,1633611288332,0.8808594,-0.3711548,-0.10821533,-2.453125,-3.59375,4.5625,Respeck,Lying down right,6,s1714206,
16,1633611288408,0.8876953,-0.36920166,-0.023742676,-1.90625,-4.515625,2.921875,Respeck,Lying down right,6,s1714206,
17,1633611288414,0.92407227,-0.38604736,-0.086242676,1.09375,-6.03125,3.625,Respeck,Lying down right,6,s1714206,
18,1633611288484,0.93359375,-0.39483643,-0.028137207,0.3125,-3.046875,3.921875,Respeck,Lying down right,6,s1714206,
19,1633611288498,0.88061523,-0.34381104,-0.08721924,2.03125,-3.125,2.984375,Respeck,Lying down right,6,s1714206,
20,1633611288528,0.8935547,-0.36749268,-0.046936035,-1.578125,0.71875,0.5,Respeck,Lying down right,6,s1714206,
21,1633611288603,0.90185547,-0.3772583,-0.04156494,-1.09375,1.125,-0.4375,Respeck,Lying down right,6,s1714206,
22,1633611288611,0.89038086,-0.3867798,-0.035461426,-1.1875,1.265625,0.3125,Respeck,Lying down right,6,s1714206,
23,1633611288679,0.8808594,-0.39190674,-0.057434082,-1.578125,0.734375,0.578125,Respeck,Lying down right,6,s1714206,
24,1633611288694,0.8911133,-0.37042236,-0.07110596,-0.6875,0.234375,1.484375,Respeck,Lying down right,6,s1714206,
25,1633611288723,0.87719727,-0.3892212,-0.050354004,2.515625,0.203125,0.421875,Respeck,Lying down right,6,s1714206,
26,1633611288799,0.88378906,-0.3850708,-0.078430176,4.6875,3.8125,1.15625,Respeck,Lying down right,6,s1714206,
27,1633611288807,0.920166,-0.35943604,-0.07574463,1.609375,2.71875,1.859375,Respeck,Lying down right,6,s1714206,
28,1633611288874,0.90356445,-0.364563,-0.09283447,1.53125,-3.5625,-1.25,Respeck,Lying down right,6,s1714206,
29,1633611288888,0.89990234,-0.37457275,-0.0635376,2.8125,2.703125,-1.078125,Respeck,Lying down right,6,s1714206,
30,1633611288918,0.91015625,-0.36260986,-0.08746338,-0.765625,1.125,-0.234375,Respeck,Lying down right,6,s1714206,
31,1633611288993,0.89990234,-0.35699463,-0.06890869,-1.03125,0.921875,-0.015625,Respeck,Lying down right,6,s1714206,
