,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633611131581,-0.2368164,-0.7359009,0.76556396,1.515625,-0.75,-0.5,Respeck,Sitting bent backward,5,s1714206,
1,1633611131656,-0.20874023,-0.74176025,0.77948,1.359375,-2.078125,-0.1875,Respeck,Sitting bent backward,5,s1714206,
2,1633611131732,-0.21923828,-0.75445557,0.73236084,-3.140625,-0.5625,1.140625,Respeck,Sitting bent backward,5,s1714206,
3,1633611131736,-0.18530273,-0.7276001,0.7470093,-3.46875,3.921875,1.796875,Respeck,Sitting bent backward,5,s1714206,
4,1633611131746,-0.22583008,-0.7427368,0.7367554,-5.875,3.96875,3.9375,Respeck,Sitting bent backward,5,s1714206,
5,1633611131776,-0.27319336,-0.755188,0.75775146,-5.140625,3.53125,1.65625,Respeck,Sitting bent backward,5,s1714206,
6,1633611131852,-0.26879883,-0.7444458,0.7741089,-5.546875,3.0625,-1.4375,Respeck,Sitting bent backward,5,s1714206,
7,1633611131867,-0.21459961,-0.7007446,0.7821655,-4.453125,2.46875,-2.765625,Respeck,Sitting bent backward,5,s1714206,
8,1633611131897,-0.18139648,-0.71710205,0.7728882,-2.875,-0.03125,-3.71875,Respeck,Sitting bent backward,5,s1714206,
9,1633611131972,-0.16601562,-0.6921997,0.7821655,1.359375,-3.609375,0.65625,Respeck,Sitting bent backward,5,s1714206,
10,1633611131977,-0.2121582,-0.72320557,0.7753296,-1.9375,-3.71875,0.0625,Respeck,Sitting bent backward,5,s1714206,
11,1633611132048,-0.24365234,-0.6934204,0.7797241,1.5625,-1.9375,0.78125,Respeck,Sitting bent backward,5,s1714206,
12,1633611132061,-0.23608398,-0.6995239,0.7958374,-1.453125,0.421875,0.578125,Respeck,Sitting bent backward,5,s1714206,
13,1633611132093,-0.22290039,-0.74053955,0.8041382,-3.296875,0.65625,1.265625,Respeck,Sitting bent backward,5,s1714206,
14,1633611132168,-0.23364258,-0.7107544,0.7665405,-2.609375,1.765625,0.84375,Respeck,Sitting bent backward,5,s1714206,
15,1633611132173,-0.22509766,-0.6939087,0.7650757,1.390625,1.3125,0.125,Respeck,Sitting bent backward,5,s1714206,
16,1633611132244,-0.19848633,-0.7217407,0.7719116,1.328125,0.015625,-0.96875,Respeck,Sitting bent backward,5,s1714206,
17,1633611132256,-0.21118164,-0.7481079,0.7484741,1.71875,-1.265625,-0.796875,Respeck,Sitting bent backward,5,s1714206,
18,1633611132287,-0.21386719,-0.7029419,0.78045654,2.75,0.453125,-0.25,Respeck,Sitting bent backward,5,s1714206,
19,1633611132362,-0.2211914,-0.7127075,0.75579834,-0.84375,0.25,0.0625,Respeck,Sitting bent backward,5,s1714206,
20,1633611132365,-0.22216797,-0.72442627,0.7572632,-0.546875,0.484375,-0.4375,Respeck,Sitting bent backward,5,s1714206,
21,1633611132437,-0.22021484,-0.7036743,0.79119873,-1.421875,-0.625,0.203125,Respeck,Sitting bent backward,5,s1714206,
22,1633611132457,-0.23901367,-0.7168579,0.77630615,-0.59375,-0.4375,0.65625,Respeck,Sitting bent backward,5,s1714206,
23,1633611132482,-0.23095703,-0.694397,0.758728,1.390625,-2.265625,1.109375,Respeck,Sitting bent backward,5,s1714206,
24,1633611132558,-0.22729492,-0.72052,0.7765503,2.03125,-2.90625,1.453125,Respeck,Sitting bent backward,5,s1714206,
25,1633611132565,-0.23632812,-0.71539307,0.77386475,1.1875,-2.46875,1.90625,Respeck,Sitting bent backward,5,s1714206,
26,1633611132632,-0.23779297,-0.72052,0.7670288,0.40625,-0.671875,1.859375,Respeck,Sitting bent backward,5,s1714206,
27,1633611132645,-0.23999023,-0.7185669,0.7567749,0.546875,-0.640625,1.171875,Respeck,Sitting bent backward,5,s1714206,
28,1633611132678,-0.23754883,-0.7241821,0.7687378,0.15625,-0.40625,1.484375,Respeck,Sitting bent backward,5,s1714206,
29,1633611132753,-0.22802734,-0.7178345,0.7711792,0.828125,-1.546875,1.609375,Respeck,Sitting bent backward,5,s1714206,
30,1633611132759,-0.22265625,-0.7268677,0.7665405,1.375,-1.8125,1.90625,Respeck,Sitting bent backward,5,s1714206,
31,1633611132831,-0.23144531,-0.72491455,0.763855,1.453125,-2.078125,2.171875,Respeck,Sitting bent backward,5,s1714206,
32,1633611132841,-0.24169922,-0.7407837,0.743103,1.328125,-2.21875,2.046875,Respeck,Sitting bent backward,5,s1714206,
33,1633611132872,-0.23632812,-0.7180786,0.76556396,2.375,-0.859375,1.21875,Respeck,Sitting bent backward,5,s1714206,
34,1633611132949,-0.23291016,-0.72369385,0.75775146,0.78125,-0.203125,1.234375,Respeck,Sitting bent backward,5,s1714206,
35,1633611132954,-0.23950195,-0.7371216,0.7526245,-0.84375,0.484375,0.640625,Respeck,Sitting bent backward,5,s1714206,
36,1633611133022,-0.22827148,-0.71295166,0.7731323,0.96875,-0.375,0.25,Respeck,Sitting bent backward,5,s1714206,
37,1633611133037,-0.23632812,-0.7390747,0.76727295,0.328125,0.015625,0.265625,Respeck,Sitting bent backward,5,s1714206,
38,1633611133069,-0.2290039,-0.71832275,0.7670288,0.625,0.671875,0.265625,Respeck,Sitting bent backward,5,s1714206,
39,1633611133143,-0.23120117,-0.7271118,0.7653198,0.984375,0.921875,0.5,Respeck,Sitting bent backward,5,s1714206,
40,1633611133147,-0.23852539,-0.72613525,0.758728,-0.078125,0.890625,0.40625,Respeck,Sitting bent backward,5,s1714206,
41,1633611133218,-0.22485352,-0.7271118,0.76190186,-0.28125,1.8125,0.15625,Respeck,Sitting bent backward,5,s1714206,
42,1633611133232,-0.22827148,-0.7276001,0.762146,0.5625,0.8125,-0.09375,Respeck,Sitting bent backward,5,s1714206,
43,1633611133261,-0.22485352,-0.7300415,0.75897217,0.6875,0.453125,0.0625,Respeck,Sitting bent backward,5,s1714206,
44,1633611133339,-0.2277832,-0.7288208,0.75994873,0.828125,0.109375,-0.015625,Respeck,Sitting bent backward,5,s1714206,
45,1633611133352,-0.2253418,-0.72784424,0.75164795,0.6875,0.1875,0.203125,Respeck,Sitting bent backward,5,s1714206,
46,1633611133383,-0.2331543,-0.7295532,0.75286865,0.640625,0.046875,0.25,Respeck,Sitting bent backward,5,s1714206,
47,1633611133457,-0.23339844,-0.73931885,0.7272339,0.6875,-1.140625,0.546875,Respeck,Sitting bent backward,5,s1714206,
48,1633611133461,-0.23168945,-0.7324829,0.76312256,0.765625,0.28125,0.1875,Respeck,Sitting bent backward,5,s1714206,
49,1633611133532,-0.23730469,-0.7241821,0.7579956,0.859375,-0.171875,0.3125,Respeck,Sitting bent backward,5,s1714206,
50,1633611133546,-0.2487793,-0.73638916,0.74871826,-1.109375,0.5,-0.203125,Respeck,Sitting bent backward,5,s1714206,
