,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633611091126,-0.0234375,-0.8892212,-0.4331665,2.328125,1.0,0.203125,Respeck,Sitting bent forward,4,s1714206,
1,1633611091159,-0.0048828125,-0.86260986,-0.4265747,1.5,-0.609375,0.53125,Respeck,Sitting bent forward,4,s1714206,
2,1633611091232,-0.026367188,-0.881897,-0.43536377,0.9375,-1.75,0.734375,Respeck,Sitting bent forward,4,s1714206,
3,1633611091235,-0.008300781,-0.8706665,-0.41607666,1.453125,-3.203125,0.671875,Respeck,Sitting bent forward,4,s1714206,
4,1633611091308,-0.011474609,-0.8633423,-0.4487915,3.5,-7.875,0.359375,Respeck,Sitting bent forward,4,s1714206,
5,1633611091321,0.01586914,-0.86553955,-0.40460205,1.25,-7.890625,-0.28125,Respeck,Sitting bent forward,4,s1714206,
6,1633611091354,0.00024414062,-0.862854,-0.4746704,2.453125,-7.453125,-0.0625,Respeck,Sitting bent forward,4,s1714206,
7,1633611091426,-0.011962891,-0.89312744,-0.440979,0.875,-6.671875,-1.421875,Respeck,Sitting bent forward,4,s1714206,
8,1633611091429,-0.010498047,-0.9011841,-0.44049072,0.375,-2.609375,-1.171875,Respeck,Sitting bent forward,4,s1714206,
9,1633611091501,0.020507812,-0.8867798,-0.43341064,0.078125,1.71875,1.453125,Respeck,Sitting bent forward,4,s1714206,
10,1633611091517,0.013916016,-0.86260986,-0.4331665,1.28125,2.0,1.71875,Respeck,Sitting bent forward,4,s1714206,
11,1633611091548,0.017822266,-0.8779907,-0.4019165,0.59375,0.125,1.0625,Respeck,Sitting bent forward,4,s1714206,
12,1633611091622,-0.0043945312,-0.89068604,-0.44732666,-2.484375,1.34375,0.640625,Respeck,Sitting bent forward,4,s1714206,
13,1633611091639,0.0053710938,-0.86968994,-0.44317627,-1.453125,1.3125,0.625,Respeck,Sitting bent forward,4,s1714206,
14,1633611091668,0.0126953125,-0.8882446,-0.41778564,0.328125,0.234375,0.375,Respeck,Sitting bent forward,4,s1714206,
15,1633611091742,-0.013183594,-0.8833618,-0.43536377,-0.578125,-0.640625,1.203125,Respeck,Sitting bent forward,4,s1714206,
16,1633611091746,-0.0017089844,-0.86505127,-0.4216919,0.0625,-1.390625,0.828125,Respeck,Sitting bent forward,4,s1714206,
17,1633611091821,0.012939453,-0.8804321,-0.43707275,0.59375,-0.03125,0.96875,Respeck,Sitting bent forward,4,s1714206,
18,1633611091831,0.013183594,-0.87628174,-0.40997314,1.765625,-1.390625,0.9375,Respeck,Sitting bent forward,4,s1714206,
19,1633611091861,0.01928711,-0.87042236,-0.43829346,2.03125,-2.796875,0.890625,Respeck,Sitting bent forward,4,s1714206,
20,1633611091937,0.030273438,-0.87286377,-0.40411377,1.578125,-2.265625,-0.109375,Respeck,Sitting bent forward,4,s1714206,
21,1633611091940,0.0048828125,-0.8838501,-0.46832275,-0.578125,0.53125,0.984375,Respeck,Sitting bent forward,4,s1714206,
22,1633611092013,0.030029297,-0.880188,-0.42730713,-1.171875,-0.09375,-0.40625,Respeck,Sitting bent forward,4,s1714206,
23,1633611092027,0.010986328,-0.88726807,-0.41241455,-0.25,1.0,1.046875,Respeck,Sitting bent forward,4,s1714206,
24,1633611092056,0.025878906,-0.8711548,-0.43585205,-1.265625,0.953125,1.625,Respeck,Sitting bent forward,4,s1714206,
25,1633611092132,0.02734375,-0.8718872,-0.43829346,0.34375,-0.03125,0.875,Respeck,Sitting bent forward,4,s1714206,
26,1633611092134,0.022949219,-0.894104,-0.40679932,0.3125,0.046875,-0.5625,Respeck,Sitting bent forward,4,s1714206,
27,1633611092207,0.008544922,-0.8623657,-0.40948486,-1.328125,1.03125,0.671875,Respeck,Sitting bent forward,4,s1714206,
28,1633611092221,0.0056152344,-0.8687134,-0.43121338,-0.265625,-0.140625,0.703125,Respeck,Sitting bent forward,4,s1714206,
29,1633611092253,0.022949219,-0.8687134,-0.42559814,1.015625,-0.609375,0.34375,Respeck,Sitting bent forward,4,s1714206,
30,1633611092328,0.036865234,-0.8814087,-0.4290161,1.203125,-1.828125,0.390625,Respeck,Sitting bent forward,4,s1714206,
31,1633611092331,0.01171875,-0.8843384,-0.4151001,0.59375,-3.609375,-0.15625,Respeck,Sitting bent forward,4,s1714206,
32,1633611092403,0.020019531,-0.8814087,-0.4175415,-0.140625,-2.828125,-0.125,Respeck,Sitting bent forward,4,s1714206,
33,1633611092415,0.014892578,-0.8689575,-0.39727783,1.625,-0.546875,-0.46875,Respeck,Sitting bent forward,4,s1714206,
34,1633611092446,0.02758789,-0.87579346,-0.44854736,0.109375,-1.15625,-0.109375,Respeck,Sitting bent forward,4,s1714206,
35,1633611092523,0.017578125,-0.87579346,-0.38458252,2.703125,2.484375,-0.25,Respeck,Sitting bent forward,4,s1714206,
36,1633611092526,0.00390625,-0.8809204,-0.48321533,-0.5,3.015625,1.671875,Respeck,Sitting bent forward,4,s1714206,
37,1633611092599,0.030517578,-0.87384033,-0.43023682,0.6875,1.359375,0.578125,Respeck,Sitting bent forward,4,s1714206,
38,1633611092611,0.010253906,-0.8579712,-0.42608643,1.796875,0.265625,1.09375,Respeck,Sitting bent forward,4,s1714206,
39,1633611092642,0.015380859,-0.8804321,-0.4360962,1.015625,0.890625,0.90625,Respeck,Sitting bent forward,4,s1714206,
40,1633611092719,0.020751953,-0.864563,-0.43341064,0.921875,0.640625,0.6875,Respeck,Sitting bent forward,4,s1714206,
41,1633611092724,0.017089844,-0.88165283,-0.4385376,-0.046875,1.53125,-0.421875,Respeck,Sitting bent forward,4,s1714206,
42,1633611092792,0.01928711,-0.8718872,-0.4475708,-0.71875,1.71875,0.375,Respeck,Sitting bent forward,4,s1714206,
43,1633611092808,0.008544922,-0.878479,-0.44024658,0.484375,0.5,0.21875,Respeck,Sitting bent forward,4,s1714206,
44,1633611092839,0.014892578,-0.87335205,-0.42364502,1.90625,-0.140625,0.8125,Respeck,Sitting bent forward,4,s1714206,
45,1633611092911,0.034423828,-0.8731079,-0.44073486,1.40625,0.140625,1.140625,Respeck,Sitting bent forward,4,s1714206,
46,1633611092913,0.01171875,-0.87335205,-0.4331665,0.90625,-0.28125,0.59375,Respeck,Sitting bent forward,4,s1714206,
47,1633611092988,0.017822266,-0.86798096,-0.43951416,2.046875,0.0,1.15625,Respeck,Sitting bent forward,4,s1714206,
