,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633610354959,-0.92089844,0.3671875,-0.109375,8.1875,-7.0625,2.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
1,1633610355004,-0.9189453,0.36328125,-0.16601562,11.65625,-7.78125,-1.21875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
2,1633610355072,-0.8203125,0.40527344,-0.1796875,11.78125,-9.96875,-2.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
3,1633610355078,-0.578125,0.4375,0.12402344,-2.1875,-12.65625,-7.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
4,1633610355117,-0.8857422,0.2626953,0.10644531,-24.34375,-2.71875,-15.625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
5,1633610355161,-1.1367188,0.19238281,-0.032226562,-2.875,2.90625,-14.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
6,1633610355207,-0.8964844,0.3359375,-0.026367188,-2.875,9.96875,-6.78125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
7,1633610355230,-0.7734375,0.28125,0.0859375,-4.5625,-12.78125,-6.15625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
8,1633610355275,-0.7558594,0.2265625,-0.07519531,-4.4375,-20.53125,-8.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
9,1633610355318,-0.8222656,0.29785156,0.024414062,-0.46875,-6.75,-11.71875,-24.125,73.8125,-145.125,Thingy,Falling on knees,48,s1714206,1
10,1633610355363,-1.0644531,0.17871094,0.16503906,-6.15625,-21.59375,-13.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
11,1633610355409,-0.9394531,0.10449219,-0.10644531,14.78125,-6.3125,-13.25,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
12,1633610355430,-0.8652344,0.42285156,-0.0234375,24.25,-4.5625,-8.25,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
13,1633610355479,-0.6738281,0.3564453,0.0146484375,-4.625,-16.4375,-15.8125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
14,1633610355545,-0.6669922,0.13476562,0.22753906,5.1875,-23.71875,-22.21875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
15,1633610355565,-0.70996094,0.13964844,-0.15332031,22.34375,16.4375,-21.84375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
16,1633610355587,-0.36328125,0.2578125,0.033203125,56.875,13.75,-9.34375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
17,1633610355633,-0.6298828,0.24316406,-0.20019531,26.4375,25.90625,-1.71875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
18,1633610355680,-0.3701172,0.10644531,-0.25976562,19.65625,21.09375,-9.40625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
19,1633610355724,-0.4951172,0.24414062,-0.26757812,9.96875,25.1875,-4.46875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
20,1633610355770,-1.2431641,0.63671875,-0.8017578,-17.375,46.78125,3.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
21,1633610355792,-2.0,1.1650391,-1.3642578,-40.59375,84.9375,60.71875,-26.125,75.0625,-157.875,Thingy,Falling on knees,48,s1714206,1
22,1633610355837,-2.0,1.2822266,-0.21289062,-95.625,89.625,59.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
23,1633610355882,-1.5390625,-0.12402344,0.005859375,-11.28125,81.5,-64.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
24,1633610355927,-1.6503906,-0.06542969,0.06347656,49.25,36.65625,64.5,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
25,1633610355951,-1.0507812,0.58496094,0.056640625,49.03125,-3.8125,26.375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
26,1633610355992,-0.8417969,0.22460938,-0.053710938,16.5,-12.53125,-6.28125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
27,1633610356039,-0.94628906,0.08105469,-0.23925781,14.40625,-21.53125,6.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
28,1633610356084,-0.8095703,0.3046875,-0.2939453,22.46875,-39.875,-2.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
29,1633610356129,-0.8720703,0.32226562,-0.36523438,16.375,-36.21875,-13.0,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
30,1633610356151,-0.8076172,0.36328125,-0.47070312,10.75,-17.0,-9.15625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
31,1633610356197,-0.8671875,0.359375,-0.48632812,7.9375,-29.5625,-1.46875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
32,1633610356241,-0.8183594,0.28808594,-0.4716797,13.90625,-30.0625,-7.9375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
33,1633610356309,-0.8144531,0.3232422,-0.39941406,18.8125,-27.875,-4.8125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
34,1633610356331,-0.79003906,0.32226562,-0.4296875,15.5625,-20.78125,1.03125,-27.625,75.1875,-162.8125,Thingy,Falling on knees,48,s1714206,1
35,1633610356352,-0.84765625,0.3876953,-0.4169922,7.21875,-18.34375,1.03125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
36,1633610356402,-0.859375,0.38085938,-0.35839844,-3.71875,-17.0625,-0.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
37,1633610356444,-0.88183594,0.40429688,-0.40527344,-17.03125,-12.84375,-3.78125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
38,1633610358042,-0.703125,0.20117188,-0.22363281,17.34375,8.6875,-18.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
39,1633610358085,-0.47460938,0.10058594,-0.19042969,22.71875,-1.5625,-18.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
40,1633610358108,-0.38671875,0.328125,0.049804688,6.78125,-24.6875,-19.90625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
41,1633610358153,-0.79589844,0.33203125,0.3486328,-26.0625,-68.28125,-39.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
42,1633610358197,-1.0683594,0.041015625,-0.09472656,-37.84375,3.03125,-30.9375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
43,1633610358245,-1.1435547,0.4140625,-0.3720703,-4.15625,9.5,16.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
44,1633610358287,-0.890625,0.47460938,0.03515625,0.8125,-6.4375,-17.15625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
45,1633610358315,-0.88671875,0.18554688,0.12207031,-14.59375,-15.0,-18.5625,-28.9375,72.1875,-152.125,Thingy,Falling on knees,48,s1714206,1
46,1633610358356,-1.0273438,0.047851562,-0.038085938,-23.8125,-36.90625,10.125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
47,1633610358403,-0.30859375,0.055664062,-0.080078125,-27.28125,-29.28125,-18.8125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
48,1633610358446,-0.07324219,0.265625,0.09765625,-9.6875,21.5625,-17.53125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
49,1633610358467,-0.46191406,0.15136719,-0.46777344,-64.25,11.8125,0.4375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
50,1633610358513,-0.98828125,0.5019531,-0.52246094,-34.78125,40.96875,-2.1875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
51,1633610358584,-2.0,0.5214844,-0.8310547,-7.0625,48.3125,44.4375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
52,1633610358603,-2.0,1.4980469,-0.7470703,-21.1875,97.375,55.96875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
53,1633610358649,-2.0,0.2109375,0.017578125,-33.5625,-20.59375,-18.5,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
54,1633610358670,-1.6796875,0.73339844,0.15820312,5.25,-30.3125,-18.5625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
55,1633610358716,-1.203125,-0.125,0.17480469,7.875,-9.625,11.78125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
56,1633610358762,-1.0273438,0.31054688,-0.059570312,31.6875,-32.1875,13.96875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
57,1633610358806,-0.7128906,0.24316406,-0.057617188,22.03125,-57.65625,-5.5,-23.125,79.0625,-151.5625,Thingy,Falling on knees,48,s1714206,1
58,1633610358828,-0.5673828,0.12207031,-0.10839844,14.46875,-38.375,-4.8125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
59,1633610358874,-0.5126953,0.25390625,-0.16894531,8.71875,-35.375,-5.0625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
60,1633610358917,-0.6015625,0.3310547,-0.23144531,-6.53125,-26.59375,-10.6875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
61,1633610358965,-0.7089844,0.3154297,-0.19042969,-22.03125,-15.78125,-6.46875,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
62,1633610359008,-0.9082031,0.3017578,-0.07910156,-26.3125,-18.34375,-9.9375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
63,1633610359031,-1.0693359,0.3544922,-0.0625,-22.6875,-12.96875,-17.9375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
64,1633610359077,-1.0869141,0.2421875,-0.10839844,-6.46875,-13.875,-16.59375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
65,1633610359123,-1.2900391,0.47851562,-0.16015625,44.0625,-42.34375,1.34375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
66,1633610359165,-1.2070312,0.47460938,-0.049804688,32.15625,-17.375,5.375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
67,1633610359187,-1.5039062,0.5654297,0.055664062,21.375,2.59375,31.3125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
68,1633610359233,-1.4140625,0.4501953,-0.0390625,-2.125,53.25,18.84375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
69,1633610359280,-1.4697266,0.48632812,-0.19238281,5.625,89.5625,34.65625,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
70,1633610359346,-1.5830078,0.32421875,-0.026367188,-17.375,81.8125,48.40625,-20.25,77.0,-149.625,Thingy,Falling on knees,48,s1714206,1
71,1633610359367,-1.0693359,0.4033203,0.091796875,4.09375,79.75,32.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
72,1633610359389,-1.1123047,0.45703125,0.057617188,-16.90625,52.34375,19.78125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
73,1633610359435,-1.0507812,0.31054688,-0.0126953125,-24.09375,61.84375,14.53125,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
74,1633610359482,-1.0849609,0.3828125,-0.05078125,-17.5625,42.03125,32.09375,0.0,0.0,0.0,Thingy,Falling on knees,48,s1714206,1
