,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633610507194,-0.8388672,0.47558594,-0.08105469,17.21875,-4.1875,-0.84375,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
1,1633610507215,-0.8310547,0.5390625,-0.11230469,12.6875,-8.28125,4.8125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
2,1633610507259,-0.89746094,0.5830078,-0.037109375,-0.0625,-8.46875,5.375,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
3,1633610507309,-0.9580078,0.4921875,-0.099609375,-15.375,-2.15625,-2.75,-26.375,52.8125,-115.6875,Thingy,Falling on the left,45,s1714206,1
4,1633610507351,-0.92578125,0.46972656,-0.0703125,-20.375,-0.40625,-3.90625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
5,1633610507376,-0.9140625,0.4248047,-0.05078125,-23.4375,-14.8125,1.40625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
6,1633610507421,-0.8769531,0.375,-0.020507812,-20.25,-18.71875,-2.6875,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
7,1633610507464,-0.88671875,0.36132812,-0.0126953125,-13.3125,-13.78125,-6.65625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
8,1633610507508,-0.8984375,0.4189453,-0.0087890625,-13.0,-11.09375,-7.8125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
9,1633610507553,-0.890625,0.35351562,0.005859375,-17.28125,-12.3125,-9.03125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
10,1633610507579,-0.8535156,0.26757812,-0.0107421875,-10.8125,-10.09375,-14.90625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
11,1633610507623,-0.81347656,0.18652344,-0.083984375,6.28125,-6.0625,-16.3125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
12,1633610507666,-0.8222656,0.2529297,-0.125,27.28125,-9.8125,-15.15625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
13,1633610507713,-0.6611328,0.28125,-0.13183594,40.65625,-13.34375,3.71875,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
14,1633610507756,-0.50390625,0.35351562,-0.19140625,43.15625,-1.3125,28.5,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
15,1633610507778,-0.5097656,0.48339844,-0.04296875,12.15625,-9.5625,20.5625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
16,1633610507824,-0.4736328,0.390625,0.018554688,3.84375,-9.0,7.8125,-25.5,55.8125,-111.1875,Thingy,Falling on the left,45,s1714206,1
17,1633610507867,-0.7597656,0.12792969,-0.044921875,-17.4375,-5.15625,24.90625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
18,1633610507915,-0.60253906,0.4169922,-0.17480469,-15.875,17.0,20.75,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
19,1633610507936,-0.8027344,0.29785156,0.16796875,-39.78125,0.53125,37.28125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
20,1633610507981,-0.8564453,0.13378906,-0.19824219,-37.96875,55.8125,32.96875,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
21,1633610508026,-0.5878906,0.20117188,-0.109375,-16.71875,12.84375,79.59375,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
22,1633610508072,-0.8359375,0.5888672,0.03515625,-21.96875,-0.21875,100.09375,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
23,1633610508115,-0.5292969,0.3828125,-0.58984375,-4.34375,-19.125,118.96875,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
24,1633610508138,-0.640625,1.2685547,-0.7207031,-62.9375,-57.28125,164.0,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
25,1633610508182,-0.60253906,1.5380859,0.03515625,-226.5,-103.5625,184.75,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
26,1633610508229,-1.1962891,0.18359375,0.5390625,-296.1875,-93.28125,231.125,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
27,1633610508274,-0.61816406,1.0537109,1.3642578,-159.1875,-32.875,230.15625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
28,1633610508319,-0.40722656,2.0,2.0,-197.75,-170.625,262.25,6.875,53.0,-82.25,Thingy,Falling on the left,45,s1714206,1
29,1633610508340,-0.052734375,-0.7578125,1.4775391,-63.78125,-104.46875,113.65625,0.0,0.0,0.0,Thingy,Falling on the left,45,s1714206,1
