,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633514536208,-0.01171875,0.35351562,-0.95996094,2.78125,-0.78125,0.34375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
1,1633514536268,-0.0009765625,0.3544922,-0.92871094,0.84375,0.15625,0.15625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
2,1633514536297,-0.001953125,0.3466797,-0.94921875,0.34375,-0.28125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
3,1633514536328,-0.00390625,0.35546875,-0.92285156,0.09375,-0.34375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
4,1633514536388,-0.0009765625,0.3486328,-0.9316406,0.90625,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
5,1633514536417,0.001953125,0.34960938,-0.9316406,1.5,-0.40625,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
6,1633514536447,0.001953125,0.35058594,-0.95703125,1.625,-0.34375,-0.09375,-6.125,49.8125,-160.375,Thingy,Lying down on stomach,8,s1714206,1
7,1633514536509,-0.0048828125,0.3466797,-0.9472656,1.375,-0.09375,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
8,1633514536536,-0.001953125,0.35253906,-0.9453125,0.59375,0.21875,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
9,1633514536568,0.001953125,0.34960938,-0.9355469,-0.34375,0.625,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
10,1633514536627,0.0,0.3564453,-0.953125,-0.9375,0.40625,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
11,1633514536657,0.009765625,0.34570312,-0.93359375,-1.96875,0.8125,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
12,1633514536687,0.0,0.34765625,-0.93066406,-2.34375,0.75,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
13,1633514536747,0.0,0.34765625,-0.92089844,-2.84375,1.4375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
14,1633514536780,0.001953125,0.3564453,-0.9326172,-3.75,1.96875,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
15,1633514536808,-0.00390625,0.36328125,-0.9316406,-5.09375,3.0625,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
16,1633514536869,0.0048828125,0.36328125,-0.9345703,-4.90625,2.40625,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
17,1633514536899,0.0126953125,0.36328125,-0.92871094,-3.5,1.84375,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
18,1633514536928,0.009765625,0.3642578,-0.9296875,-2.21875,1.3125,-0.03125,-5.875,49.8125,-158.0,Thingy,Lying down on stomach,8,s1714206,1
19,1633514536986,0.0126953125,0.38085938,-0.92578125,-2.46875,1.0,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
20,1633514537018,0.0029296875,0.37695312,-0.9423828,-3.125,1.71875,-0.21875,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
21,1633514537049,0.0107421875,0.3720703,-0.9238281,-2.28125,1.375,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
22,1633514537109,0.01953125,0.37304688,-0.9355469,-1.78125,1.375,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
23,1633514537137,0.009765625,0.37402344,-0.9277344,-1.625,1.375,-0.15625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
24,1633514537170,0.0078125,0.3720703,-0.93652344,-1.71875,0.9375,-0.15625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
25,1633514537227,0.01171875,0.3779297,-0.92089844,-1.65625,0.6875,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
26,1633514537258,0.017578125,0.37402344,-0.9355469,-0.9375,0.28125,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
27,1633514537288,0.01953125,0.36914062,-0.9267578,-0.09375,-0.21875,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
28,1633514537346,0.0107421875,0.3701172,-0.93066406,0.40625,-0.34375,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
29,1633514537383,0.015625,0.36816406,-0.9277344,0.84375,-0.46875,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
30,1633514537411,0.016601562,0.3779297,-0.9199219,1.4375,-0.59375,-0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
31,1633514537467,0.01171875,0.37597656,-0.9355469,1.75,-0.9375,-0.09375,-6.0,51.5,-157.875,Thingy,Lying down on stomach,8,s1714206,1
32,1633514537500,0.01171875,0.3779297,-0.921875,1.875,-1.0,0.15625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
33,1633514537531,0.016601562,0.3701172,-0.92578125,2.0,-1.375,-0.25,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
34,1633514537588,0.0078125,0.37402344,-0.9277344,2.1875,-1.25,-0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
35,1633514537618,0.0029296875,0.3671875,-0.94433594,2.125,-1.0,0.03125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
36,1633514537646,0.005859375,0.36328125,-0.92871094,1.875,-0.78125,0.09375,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
37,1633514537708,0.0146484375,0.36621094,-0.93066406,1.375,-0.59375,0.28125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
38,1633514537737,0.01171875,0.36621094,-0.9296875,1.0625,-0.46875,0.21875,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1714206,1
