,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes
0,1633513701756,-0.9794922,-0.2265625,-0.12402344,-2.0,0.4375,0.0,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
1,1633513701786,-0.96875,-0.22460938,-0.12597656,-2.5,0.28125,-0.59375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
2,1633513701849,-0.97753906,-0.22167969,-0.13476562,-2.125,0.34375,-0.40625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
3,1633513701877,-0.98339844,-0.21875,-0.12792969,-1.46875,0.34375,-0.15625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
4,1633513701908,-0.96972656,-0.20996094,-0.12597656,-0.1875,0.28125,-0.28125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
5,1633513701970,-0.9794922,-0.21875,-0.13867188,0.0,0.03125,-0.15625,-36.125,14.4375,-132.5,Thingy,Standing,100,s1714206,1
6,1633513701996,-0.9814453,-0.20898438,-0.13183594,-0.25,-0.46875,-0.28125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
7,1633513702027,-0.9589844,-0.21972656,-0.13085938,-0.59375,-0.84375,-0.71875,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
8,1633513702088,-0.9814453,-0.21386719,-0.13964844,-0.3125,-1.0,-0.46875,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
9,1633513702118,-0.98046875,-0.21582031,-0.14550781,-0.375,-1.0,-0.09375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
10,1633513702148,-0.9707031,-0.21191406,-0.13769531,-0.0625,-1.0625,0.5,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
11,1633513702209,-0.98535156,-0.21972656,-0.13378906,1.28125,-1.0625,-0.09375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
12,1633513702237,-0.9785156,-0.22753906,-0.13671875,1.71875,-0.40625,0.0,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
13,1633513702267,-0.97265625,-0.22460938,-0.12695312,1.65625,0.15625,-0.03125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
14,1633513702329,-0.9746094,-0.22558594,-0.12597656,0.625,0.5,-0.53125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
15,1633513702357,-0.98339844,-0.22167969,-0.12695312,0.5,0.34375,-0.78125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
16,1633513702388,-0.9736328,-0.21972656,-0.13574219,0.25,0.21875,-0.59375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
17,1633513702447,-0.9794922,-0.21972656,-0.140625,-0.46875,-0.34375,-1.15625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
18,1633513702478,-0.9765625,-0.22460938,-0.13085938,-0.71875,0.03125,-1.375,-35.125,15.8125,-132.1875,Thingy,Standing,100,s1714206,1
19,1633513702508,-0.9736328,-0.22167969,-0.12011719,-0.59375,0.15625,-1.09375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
20,1633513702570,-0.96875,-0.21875,-0.13183594,-1.03125,-0.03125,-1.03125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
21,1633513702601,-0.97558594,-0.21777344,-0.12207031,-1.21875,-0.15625,-1.3125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
22,1633513702627,-0.9765625,-0.22363281,-0.13183594,-0.78125,1.125,-0.90625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
23,1633513702688,-0.97265625,-0.22265625,-0.12207031,-0.375,1.71875,-0.15625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
24,1633513702718,-0.97558594,-0.22753906,-0.1328125,0.25,3.0,0.375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
25,1633513702747,-0.97753906,-0.22265625,-0.12988281,0.3125,2.65625,1.0,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
26,1633513702807,-0.96972656,-0.21679688,-0.13085938,0.6875,2.65625,0.4375,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
27,1633513702839,-0.96777344,-0.22949219,-0.1328125,0.8125,2.21875,0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
28,1633513702868,-0.9667969,-0.22851562,-0.12792969,0.125,1.3125,0.25,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
29,1633513702929,-0.98046875,-0.2265625,-0.13671875,-0.46875,-0.53125,-0.03125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
30,1633513702959,-0.97265625,-0.22070312,-0.15234375,-0.0625,-0.71875,-0.46875,-34.375,12.625,-131.125,Thingy,Standing,100,s1714206,1
31,1633513702988,-0.9785156,-0.22949219,-0.13574219,0.625,-0.46875,-0.28125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
32,1633513703048,-0.9765625,-0.22753906,-0.13964844,1.09375,0.28125,-0.03125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
33,1633513703078,-0.9746094,-0.234375,-0.13574219,1.84375,0.5,-0.15625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
34,1633513703107,-0.98339844,-0.22265625,-0.12695312,2.09375,1.1875,0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
35,1633513703167,-0.9667969,-0.2265625,-0.12890625,2.09375,1.6875,0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
36,1633513703207,-0.9814453,-0.22851562,-0.13574219,1.34375,1.90625,0.0,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
37,1633513703227,-0.96777344,-0.23632812,-0.140625,1.34375,1.90625,0.25,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
38,1633513703289,-0.97558594,-0.22949219,-0.13085938,1.34375,1.6875,-0.03125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
39,1633513703317,-0.9746094,-0.22558594,-0.14648438,0.96875,1.71875,-0.21875,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
40,1633513703347,-0.96777344,-0.22851562,-0.14355469,0.625,0.8125,-0.28125,0.0,0.0,0.0,Thingy,Standing,100,s1714206,1
