Unnamed: 0,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
0,1633547876356,-0.22363281,0.18261719,0.9658203,-0.4375,-0.34375,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
1,1633547876358,-0.21386719,0.171875,0.95410156,-0.1875,-0.15625,0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
2,1633547876387,-0.21386719,0.18652344,0.97558594,-0.03125,0.15625,0.09375,-12.4375,-15.5625,-58.875,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
3,1633547876447,-0.21679688,0.17480469,0.9765625,0.03125,0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
4,1633547876480,-0.22265625,0.17089844,0.98339844,-0.1875,-0.21875,0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
5,1633547876506,-0.21582031,0.18164062,0.97558594,0.03125,-0.03125,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
6,1633547876567,-0.22070312,0.18164062,0.9716797,0.21875,-0.09375,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
7,1633547876596,-0.21972656,0.18457031,0.96972656,0.21875,0.15625,-0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
8,1633547876629,-0.21777344,0.17578125,0.97753906,0.15625,-0.03125,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
9,1633547876687,-0.21972656,0.17675781,0.9736328,0.28125,0.09375,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
10,1633547876716,-0.21191406,0.18261719,0.9765625,-0.03125,-0.21875,-0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
11,1633547876746,-0.21582031,0.17675781,0.9667969,-0.15625,0.09375,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
12,1633547876807,-0.21484375,0.17578125,0.95703125,-0.25,0.03125,0.34375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
13,1633547876837,-0.21679688,0.16601562,0.9716797,0.03125,-0.15625,0.34375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
14,1633547876866,-0.21679688,0.1796875,0.96484375,0.03125,-0.03125,-0.09375,-11.125,-16.3125,-58.4375,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
15,1633547876927,-0.21679688,0.17871094,0.96972656,-0.1875,-0.09375,-0.28125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
16,1633547876957,-0.21484375,0.17675781,0.97265625,-0.25,-0.28125,-0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
17,1633547876987,-0.21679688,0.17382812,0.98535156,-0.09375,-0.15625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
18,1633547877047,-0.2109375,0.17871094,0.96777344,-0.09375,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
19,1633547877076,-0.20800781,0.17089844,0.96191406,-0.25,-0.09375,0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
20,1633547877107,-0.21679688,0.17480469,0.97558594,-0.09375,0.09375,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
21,1633547877167,-0.21972656,0.171875,0.9785156,-0.1875,-0.09375,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
22,1633547877195,-0.21875,0.17382812,0.9667969,-0.25,0.03125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1724067,,Thingy_s1724067_Lying down right_06-10-2021_20-18-42
