timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633472007821,-0.2890625,-0.9168091,0.42034912,1.625,0.140625,-0.140625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472007865,-0.30908203,-0.9182739,0.4118042,2.578125,-0.09375,-0.453125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472007941,-0.30493164,-0.923645,0.402771,2.109375,0.234375,-0.046875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472007943,-0.30004883,-0.92193604,0.40130615,2.109375,-0.265625,-0.25,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472007985,-0.29638672,-0.9229126,0.4022827,1.671875,0.109375,-0.140625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008015,-0.30517578,-0.9216919,0.3991089,1.921875,-0.21875,-0.125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008061,-0.30786133,-0.9163208,0.40496826,1.015625,0.703125,0.0625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008106,-0.29174805,-0.9360962,0.40203857,3.8125,-0.921875,-0.09375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008135,-0.30737305,-0.90875244,0.39056396,0.75,0.203125,-0.203125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008181,-0.2980957,-0.9397583,0.3649292,0.046875,-0.46875,-0.515625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008212,-0.31152344,-0.90948486,0.40423584,-2.328125,2.15625,-0.921875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008256,-0.29760742,-0.92071533,0.41693115,4.0,-0.71875,0.1875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008302,-0.29418945,-0.9348755,0.3727417,0.0,0.6875,-0.578125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008331,-0.30664062,-0.91534424,0.39569092,-0.34375,0.125,-0.796875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008391,-0.30151367,-0.9163208,0.38104248,2.15625,0.078125,-0.03125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008406,-0.31030273,-0.92681885,0.40716553,-0.5,0.78125,-0.125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008451,-0.30566406,-0.92510986,0.38909912,1.40625,-0.234375,-0.328125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008495,-0.29638672,-0.9170532,0.3973999,0.84375,0.28125,-0.265625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008526,-0.29956055,-0.9258423,0.38226318,0.484375,-0.734375,0.203125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008571,-0.3010254,-0.93096924,0.38983154,0.078125,0.625,-0.546875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008602,-0.29785156,-0.9143677,0.39666748,1.125,-0.1875,-0.34375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008646,-0.29370117,-0.9302368,0.39031982,-0.390625,0.484375,-0.28125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008691,-0.30004883,-0.92315674,0.3925171,0.046875,-0.078125,-0.53125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008721,-0.30200195,-0.9241333,0.38494873,-1.203125,0.0,-0.4375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008766,-0.31225586,-0.91973877,0.39593506,-2.15625,0.34375,-0.28125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008795,-0.30981445,-0.9221802,0.41204834,0.125,1.046875,0.0625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008841,-0.28710938,-0.93218994,0.39349365,2.15625,0.0625,-0.234375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008886,-0.31274414,-0.9121704,0.3866577,-1.375,0.578125,-0.453125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008915,-0.2919922,-0.92510986,0.4196167,1.71875,-0.78125,0.484375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472008961,-0.30029297,-0.9221802,0.38763428,3.78125,-1.25,0.15625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009035,-0.28515625,-0.9336548,0.3690796,4.296875,-2.046875,-0.796875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009036,-0.3112793,-0.9336548,0.35736084,-1.65625,2.265625,-1.578125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009082,-0.2993164,-0.9138794,0.42962646,-4.40625,2.34375,0.296875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009111,-0.30908203,-0.9055786,0.39422607,2.703125,-2.34375,-0.9375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009155,-0.32177734,-0.9456177,0.338562,0.203125,-0.421875,-0.765625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009201,-0.28808594,-0.9365845,0.36175537,-4.796875,2.125,-0.390625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009231,-0.3005371,-0.91778564,0.4105835,-7.203125,2.578125,-0.46875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009275,-0.29833984,-0.91290283,0.42596436,-4.546875,0.234375,-0.59375,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009305,-0.3088379,-0.91656494,0.41375732,-2.328125,0.59375,-1.640625,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009351,-0.30932617,-0.9031372,0.4364624,-3.046875,0.03125,-0.78125,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009395,-0.30541992,-0.9146118,0.41619873,-1.671875,-0.46875,-0.1875,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
1633472009425,-0.3076172,-0.9204712,0.43304443,-2.5625,1.515625,-1.0,Respeck,Desk work,31,s1801931,,Respeck_s1801931_Desk work_05-10-2021_23-13-57
