timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633508566550,-0.5,-0.22070312,0.84375,-0.25,0.0625,0.3125,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566581,-0.4951172,-0.21289062,0.8457031,-0.375,-0.125,0.5,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566610,-0.5048828,-0.21582031,0.83203125,-0.375,0.125,0.625,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566671,-0.5078125,-0.21679688,0.8408203,-0.5,-0.125,0.8125,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566700,-0.49804688,-0.20703125,0.8408203,-0.1875,-0.125,0.75,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566730,-0.50683594,-0.20996094,0.8466797,-0.125,0.3125,0.8125,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566792,-0.50878906,-0.21289062,0.8378906,-0.3125,0.0,0.84375,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566820,-0.5078125,-0.22363281,0.8339844,-0.25,0.0,0.75,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566850,-0.49121094,-0.20898438,0.8486328,-0.25,-0.25,0.5,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566910,-0.5136719,-0.22753906,0.83203125,-0.1875,0.3125,0.625,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566940,-0.50683594,-0.20800781,0.8378906,-0.4375,0.1875,0.5,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508566970,-0.5058594,-0.20898438,0.8408203,0.0,-0.125,0.0,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508567031,-0.50683594,-0.20800781,0.84765625,0.0,-0.4375,-0.59375,-65.5625,2.75,-100.875,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508567061,-0.50683594,-0.20703125,0.8222656,0.0,-0.3125,-0.78125,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508567089,-0.5019531,-0.21875,0.8339844,0.0,-0.4375,-1.09375,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
1633508567152,-0.50683594,-0.2265625,0.8388672,0.25,-0.3125,-0.96875,0.0,0.0,0.0,Thingy,Desk work,31,s1817972,,Thingy_s1817972_Desk work_06-10-2021_09-23-17
