timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633351484013,-0.29003906,-0.88183594,0.3515625,0.65625,-0.25,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484044,-0.27734375,-0.87597656,0.3544922,-0.8125,-0.0625,-0.09375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484104,-0.26757812,-0.8828125,0.3701172,-1.53125,0.25,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484133,-0.27148438,-0.88671875,0.3515625,-1.09375,0.3125,-0.28125,-6.875,-8.1875,-100.5625,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484163,-0.27929688,-0.9003906,0.3359375,-1.03125,0.40625,-0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484223,-0.2841797,-0.890625,0.3544922,-0.125,-0.0625,0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484254,-0.2783203,-0.8808594,0.33789062,0.46875,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484284,-0.26660156,-0.87890625,0.36328125,0.46875,-0.375,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484343,-0.27929688,-0.88183594,0.35546875,0.25,-0.3125,-0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484373,-0.27734375,-0.8769531,0.36523438,0.0,-0.25,-0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484403,-0.28320312,-0.8779297,0.35546875,-0.5,-0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484463,-0.27441406,-0.8798828,0.36621094,-1.65625,-0.3125,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484494,-0.2705078,-0.88671875,0.3564453,-1.46875,-0.1875,-0.34375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484524,-0.2841797,-0.8779297,0.3486328,-0.3125,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484584,-0.27441406,-0.8876953,0.35351562,0.59375,0.0625,0.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484614,-0.28027344,-0.8779297,0.33691406,0.84375,0.0,0.0625,-7.1875,-7.625,-101.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484644,-0.2783203,-0.8798828,0.36328125,0.0625,-0.1875,0.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484703,-0.2734375,-0.87402344,0.3642578,-0.0625,-0.1875,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484733,-0.28222656,-0.88671875,0.35058594,-0.5,-0.3125,0.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484764,-0.28222656,-0.8955078,0.3466797,-0.8125,-0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484824,-0.27929688,-0.8847656,0.34277344,-1.0,-0.125,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484853,-0.2705078,-0.87890625,0.34960938,-0.125,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484883,-0.28027344,-0.890625,0.35839844,0.0625,0.0625,0.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
1633351484944,-0.29003906,-0.89160156,0.35351562,0.125,0.1875,0.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1823274,,Thingy_s1823274_Lying down on back_04-10-2021_13-45-13
