timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633566794981,-0.32080078,-0.058410645,1.0336304,1.96875,1.390625,-0.359375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795012,-0.31933594,-0.06793213,1.0333861999999998,2.015625,1.609375,-0.25,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795057,-0.31201172,-0.0725708,1.0370483,1.921875,1.15625,-0.390625,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795132,-0.32128906,-0.06890869,1.0392456,2.03125,1.390625,-0.53125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795138,-0.3203125,-0.07135010000000001,1.0346069,2.1875,1.359375,-0.34375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795180,-0.31420898,-0.07232666,1.0346069,1.625,1.390625,-0.453125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795207,-0.32299805,-0.07183838,1.0385132,1.78125,1.46875,-0.25,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795253,-0.31884766,-0.06964111,1.0331421,1.890625,1.34375,-0.1875,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795299,-0.3173828,-0.07208252,1.027771,1.96875,1.5625,-0.484375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795329,-0.31445312,-0.06695557,1.0346069,2.140625,1.453125,-0.28125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795372,-0.32275390000000004,-0.07598877,1.0353394,1.828125,1.421875,-0.125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795419,-0.32128906,-0.07110596,1.0426636,1.921875,1.34375,-0.28125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795449,-0.32397459999999995,-0.07720947,1.0338745,2.0625,1.625,-0.390625,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795492,-0.32470703,-0.062561035,1.0363159,1.796875,1.296875,-0.203125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795522,-0.31420898,-0.07183838,1.0272827,1.390625,1.46875,-0.3125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795570,-0.31933594,-0.07354736,1.0338745,1.96875,1.8125,-0.375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795611,-0.31835938,-0.06939697,1.0238646999999998,1.09375,1.40625,-0.453125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795642,-0.31640625,-0.08697510000000001,1.0331421,2.359375,1.640625,-0.5,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795688,-0.32104492,-0.07720947,1.0414429,2.015625,1.28125,-0.28125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795722,-0.32397459999999995,-0.06768799,1.0307007,1.828125,1.4375,-0.109375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795763,-0.31689453,-0.07672119,1.0370483,2.0625,1.734375,-0.296875,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795808,-0.3190918,-0.07501221,1.0348511,1.6875,1.40625,-0.484375,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795838,-0.32226562,-0.07183838,1.0392456,1.78125,1.21875,-0.296875,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
1633566795899,-0.32226562,-0.078186035,1.0411986999999998,2.265625,1.34375,-0.28125,Respeck,Lying down on back,2,s1826390,,Respeck_s1826390_Lying down on back_07-10-2021_01-34-01
