timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633528731820,0.62060547,-0.51568604,-0.5894165,0.1875,-0.140625,0.03125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528731865,0.61499023,-0.5076294,-0.5730591,-0.078125,-0.546875,-0.421875,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528731909,0.6140137,-0.5198364,-0.57891846,-0.03125,-0.125,-0.015625,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528731940,0.6201172,-0.51446533,-0.569397,-0.0625,0.609375,0.0,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528731987,0.6154785,-0.51641846,-0.58306885,-0.046875,-0.75,-0.078125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732017,0.6179199,-0.5137329,-0.5708618,0.46875,0.515625,0.390625,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732060,0.61694336,-0.5154419,-0.5774536,-0.0625,-0.046875,-0.140625,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732107,0.61865234,-0.5154419,-0.5772095,0.5,0.125,0.03125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732138,0.62353516,-0.5171509,-0.57647705,0.03125,0.46875,-0.203125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732180,0.6188965,-0.51348877,-0.5757446,0.40625,-0.296875,0.09375,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732228,0.62597656,-0.51885986,-0.5881958,-0.140625,-0.046875,-0.453125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732259,0.61035156,-0.5117798,-0.5750122,0.0625,-0.40625,-0.140625,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732301,0.6196289,-0.5203247,-0.57647705,-0.609375,-0.609375,-0.28125,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732377,0.62402344,-0.505188,-0.56744385,-0.25,-0.84375,-0.4375,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732380,0.6166992,-0.5220337,-0.59942627,-0.796875,0.234375,-0.484375,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732452,0.6123047,-0.5256958,-0.5598755,0.375,-0.140625,-0.140625,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732456,0.6208496,-0.5161743,-0.57525635,1.265625,1.21875,0.96875,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
1633528732525,0.6196289,-0.5117798,-0.57940674,0.0625,0.484375,0.046875,Respeck,Sitting bent forward,4,s1841064,,Respeck_s1841064_Sitting bent forward_06-10-2021_14-59-27
