timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633500006622,-0.083740234,-0.8723755,0.3451538,13.578125,-12.046875,13.5,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500006699,-0.09790039,-0.83428955,0.23553467,20.734375,-19.40625,14.90625,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500006701,0.014160156,-0.8513794,0.31414795,28.984375,-22.140625,14.828125,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500006743,0.020019531,-0.8682251,0.20379639,12.0625,-28.484375,8.84375,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500006773,-0.095214844,-0.923645,0.19403076,49.09375,-49.703125,5.734375,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007058,-0.13891602,-0.99591064,0.18304443,96.859375,-49.046875,2.234375,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007063,-0.12890625,-1.1067505,0.11541748,43.71875,-29.625,2.078125,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007080,-0.30541992,-1.2837524,0.14324951,4.8125,-14.84375,1.25,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007098,-0.27001953,-1.2359009,0.042419434,3.390625,-15.484375,8.390625,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007111,-0.063964844,-1.0830688,-0.09942627,6.546875,-16.265625,11.28125,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007129,0.3798828,-0.8452759,-0.08917236,-7.046875,-17.53125,7.09375,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
1633500007131,0.12695312,-0.5545044,-0.24591064,-8.09375,-9.5,-18.125,Respeck,Running,11,s1843072,running,Respeck_s1843072_Running_06-10-2021_07-00-37
