timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632912424561,-0.5148926,-0.38726807,-0.76519775,1.25,-0.359375,0.203125,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424605,-0.5180664,-0.37945557,-0.769104,1.453125,0.046875,0.203125,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424635,-0.51220703,-0.38946533,-0.76275635,1.515625,0.03125,0.15625,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424678,-0.5148926,-0.37872314,-0.76934814,1.359375,-0.0625,0.265625,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424723,-0.51782227,-0.3880005,-0.7637329,1.265625,0.078125,0.609375,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424754,-0.5119629,-0.38726807,-0.7605591,1.046875,-0.015625,0.484375,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424815,-0.5151367,-0.3887329,-0.7703247,1.0,-0.46875,0.609375,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424845,-0.5083008,-0.38702393,-0.7942505,1.109375,-0.453125,0.375,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424876,-0.5180664,-0.38555908,-0.7522583,0.421875,1.140625,0.59375,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424921,-0.5185547,-0.3796997,-0.7776489,0.203125,0.484375,0.75,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424949,-0.517334,-0.38775635,-0.7581177,-0.234375,0.40625,0.65625,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912424995,-0.51904297,-0.39434814,-0.76690674,0.078125,-0.296875,0.796875,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912425040,-0.51953125,-0.38970947,-0.7581177,0.828125,-0.34375,0.71875,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
1632912425070,-0.5185547,-0.3880005,-0.76934814,0.875,-0.109375,0.46875,Respeck,Lying down left,7,s1870467,Rob,Respeck_s1870467_Lying down left_29-09-2021_11-47-37
