timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633614013957,-0.044921875,0.016601562,-1.0185547,-0.03125,-0.15625,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614013987,-0.037109375,0.005859375,-1.0214844,-0.03125,-0.09375,-0.125,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014047,-0.0390625,0.017578125,-1.0185547,-0.09375,-0.15625,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014081,-0.033203125,0.01953125,-1.0175781,-0.15625,-0.03125,0.0625,70.0625,96.9375,-211.6875,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014108,-0.038085938,0.02734375,-1.0107422,-0.03125,-0.09375,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014171,-0.041015625,0.01171875,-1.0195312,-0.09375,-0.03125,0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014197,-0.032226562,0.02734375,-1.0136719,-0.09375,-0.15625,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014227,-0.048828125,0.015625,-1.0195312,0.03125,-0.09375,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014318,-0.037109375,0.018554688,-1.0126953,-0.09375,-0.15625,-0.0625,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
1633614014324,-0.047851562,0.009765625,-1.0273438,-0.09375,-0.09375,0.0,0.0,0.0,0.0,Thingy,Lying down on stomach,8,s1891214,,Thingy_s1891214_Lying down on stomach_07-10-2021_15-40-44
