timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633367408439,-1.2841797,-0.34570312,0.029296875,49.28125,-43.46875,-5.0625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408441,-1.0576172,-0.3359375,-0.16015625,101.15625,-121.09375,36.1875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408468,-1.1083984,-0.053710938,-0.07910156,169.40625,-98.15625,43.9375,-107.375,25.375,-85.5625,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408528,-1.296875,-0.30566406,0.40234375,178.1875,-105.71875,45.21875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408563,-1.1035156,-0.27929688,-0.15527344,124.40625,-46.46875,25.8125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408592,-0.8095703,0.0234375,0.12792969,130.09375,-70.9375,40.34375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408649,-0.66503906,0.12011719,0.16796875,151.28125,-70.25,63.78125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408683,-0.54296875,0.0146484375,0.18457031,76.375,-40.34375,56.40625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408738,-0.5097656,0.034179688,0.19824219,-20.78125,6.15625,16.375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408769,-0.484375,0.14257812,0.3251953,-38.0,22.1875,-47.65625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408807,-0.85839844,0.3857422,0.75878906,-67.90625,52.53125,-55.53125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408827,-1.5087891,-0.10546875,0.7763672,66.875,29.96875,-30.4375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
1633367408889,-1.1767578,0.30664062,0.08984375,-10.59375,-48.96875,-13.375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1893474,,Thingy_s1893474_Walking at normal speed_04-10-2021_18-10-54
