timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633295207776,-0.18115234,-0.9956665,-0.073791504,7.3125,11.6875,-4.234375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295207824,-0.24047852,-0.9636841,-0.06719971,7.4375,10.4375,-4.390625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295207851,-0.26391602,-0.9590454,-0.07354736,7.78125,10.328125,-2.171875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295207896,-0.28930664,-0.954895,-0.10333252,7.25,12.5625,0.671875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295207940,-0.23754883,-0.96099854,-0.09503174,7.03125,14.65625,3.328125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295207971,-0.24731445,-0.94000244,-0.097961426,7.359375,16.984375,5.921875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208016,-0.27148438,-0.9607544,-0.051574707,9.625,14.75,8.53125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208046,-0.2355957,-0.9817505,-0.08502197,12.109375,9.5,9.59375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208091,-0.21069336,-1.048645,-0.10479736,10.703125,4.515625,10.484375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208137,-0.28735352,-1.0413208,-0.070617676,8.515625,-1.171875,11.765625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208166,-0.34643555,-1.229065,-0.2793579,10.140625,-4.234375,14.0625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208211,-0.19067383,-1.5310669,-0.38824463,10.3125,-4.546875,10.4375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208286,0.091796875,-1.2996216,-0.5840454,1.53125,-4.03125,12.703125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208290,-0.03564453,-0.87872314,-0.25543213,1.75,-11.75,15.1875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208332,0.046875,-1.0471802,-0.22515869,-3.5625,-8.859375,19.390625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208362,0.1628418,-1.1160278,-0.29815674,-8.859375,6.734375,19.640625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208406,0.123291016,-1.008606,-0.1350708,-14.453125,11.234375,12.234375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208451,0.07739258,-0.9338989,-0.13726807,-12.0,11.1875,11.34375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208480,0.039794922,-0.7720337,-0.10308838,-13.671875,9.90625,14.484375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208526,0.078125,-0.63482666,-0.066467285,-11.84375,6.65625,15.046875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208570,0.087890625,-0.5742798,-0.07208252,-10.671875,7.0625,13.59375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208600,0.05444336,-0.6231079,-0.04498291,-9.171875,9.125,11.53125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208645,0.11328125,-0.7803345,-0.054260254,-6.875,7.8125,9.859375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208676,0.14428711,-0.8377075,0.07366943,-2.0,7.34375,7.625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208721,0.10229492,-0.9961548,0.012878418,1.765625,2.609375,8.0,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208765,0.08251953,-1.1929321,-0.023010254,2.578125,-4.109375,7.65625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208796,0.0021972656,-1.2981567,0.008483887,1.171875,-2.1875,6.59375,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208841,0.025146484,-1.2085571,0.05316162,3.0,4.15625,4.578125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208886,0.11450195,-1.3599243,-0.035949707,10.125,13.15625,1.515625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208916,0.21313477,-1.4805298,-0.40655518,-0.96875,8.640625,-0.703125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208961,0.33007812,-0.798645,-0.30499268,13.1875,15.921875,-11.0,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295208991,0.2919922,-0.9487915,-0.3880005,9.515625,16.671875,-5.203125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209035,0.13110352,-1.0845337,-0.5430298,8.4375,30.6875,-7.1875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209081,-0.17358398,-1.0881958,-0.29840088,8.78125,28.6875,6.453125,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209111,-0.19506836,-1.2471313,-0.28570557,10.578125,27.140625,7.546875,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209156,-0.140625,-1.4019165,-0.2930298,5.5625,23.1875,7.65625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209201,-0.1640625,-1.2434692,-0.35430908,-3.34375,14.65625,8.15625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
1633295209246,-0.09326172,-1.3189087,-0.84454346,3.703125,2.25,17.390625,Respeck,Climbing stairs,12,s2171825,,Respeck_s2171825_Climbing stairs_03-10-2021_22-07-31
