timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632934666759,-0.017578125,-0.78515625,-0.6123047,-0.5,-0.0625,-0.03125,-19.125,-34.25,-19.5625,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934666806,-0.0146484375,-0.79589844,-0.6230469,0.03125,0.1875,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934666850,-0.01171875,-0.80371094,-0.60839844,0.21875,0.0625,0.21875,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934666897,-0.013671875,-0.79589844,-0.6220703,0.46875,0.1875,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934666916,-0.015625,-0.80566406,-0.6123047,0.34375,-0.0625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934666964,-0.018554688,-0.8027344,-0.6123047,-0.5,0.0625,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667009,-0.0146484375,-0.79785156,-0.62109375,-0.21875,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667054,0.0,-0.79785156,-0.6191406,0.03125,-0.0625,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667099,-0.018554688,-0.79589844,-0.61328125,0.03125,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667119,-0.0126953125,-0.8017578,-0.61816406,-0.15625,0.1875,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667166,-0.01171875,-0.8027344,-0.60058594,-0.15625,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667212,-0.0068359375,-0.7988281,-0.6123047,0.03125,0.1875,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667256,-0.018554688,-0.7998047,-0.6269531,-0.5,-0.0625,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667276,-0.0126953125,-0.79785156,-0.62597656,-0.15625,-0.0625,-0.15625,-18.6875,-34.125,-20.4375,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667324,-0.01953125,-0.79589844,-0.6171875,0.59375,0.0625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667367,-0.021484375,-0.7998047,-0.61816406,0.09375,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667414,-0.009765625,-0.7988281,-0.6191406,-0.03125,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667459,-0.015625,-0.80566406,-0.6308594,-0.03125,0.0,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667503,-0.01171875,-0.81640625,-0.6152344,-0.25,0.0,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667524,-0.01171875,-0.7988281,-0.62109375,-0.21875,-0.125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
1632934667572,-0.009765625,-0.7910156,-0.6044922,-0.03125,0.0,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s2192970,,Thingy_s2192970_Lying down right_29-09-2021_17-58-16
