timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632828120237,-0.25634766,-0.95758057,0.10028076,5.296875,-2.953125,0.984375,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120282,-0.2619629,-0.97003174,0.08416748,5.09375,-3.859375,1.109375,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120328,-0.27929688,-0.9783325,0.06414795,6.859375,-5.40625,1.125,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120359,-0.2368164,-0.9602661,0.04876709,6.234375,-4.75,0.6875,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120402,-0.2241211,-0.96051025,0.06707764,6.9375,-2.375,0.65625,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120447,-0.23291016,-0.9470825,0.05706787,5.234375,-2.625,0.96875,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120481,-0.2644043,-0.93878174,0.055114746,5.84375,-4.609375,0.671875,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120522,-0.2692871,-0.9746704,0.0014038086,1.40625,-2.96875,-0.078125,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120573,-0.2529297,-0.9819946,0.020690918,3.078125,-2.109375,0.84375,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120597,-0.19702148,-0.9561157,0.046325684,1.984375,0.15625,0.0625,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120642,-0.2043457,-0.9627075,0.06512451,-0.328125,3.890625,-0.5,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120672,-0.20532227,-0.96588135,0.07977295,-1.25,7.171875,0.546875,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120717,-0.17138672,-0.96588135,0.082458496,-1.015625,11.6875,1.265625,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
1632828120762,-0.115234375,-0.9690552,0.10321045,-0.390625,14.75,1.265625,Respeck,Falling on the right,46,s2211162,1,Respeck_s2211162_Falling on the right_28-09-2021_12-22-02
