timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633645172485,-0.64941406,0.16308594,0.057617188,-53.40625,-73.9375,21.25,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172531,-0.5546875,0.17675781,0.23925781,-36.5,-64.1875,-2.84375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172553,-0.7001953,0.07519531,0.3173828,-12.34375,-61.125,6.375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172598,-0.43554688,0.14648438,0.23828125,-5.375,-71.875,-9.75,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172642,-0.5175781,0.26367188,0.43847656,-19.1875,-51.4375,-1.0625,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172688,-0.6591797,0.053710938,0.5732422,-34.6875,-41.34375,4.34375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172733,-0.7548828,-0.0009765625,0.5966797,-10.75,-42.875,-4.5,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172757,-0.55371094,0.103515625,0.5966797,1.875,-16.9375,-13.65625,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172801,-0.6269531,0.06347656,0.6582031,-5.5,20.34375,-10.0,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172846,-0.7919922,-0.0029296875,0.67089844,2.5,36.09375,-5.65625,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172891,-0.78808594,0.10644531,0.7207031,10.5625,41.71875,-14.5625,-31.6875,12.75,12.125,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172914,-1.3349609,0.16015625,0.89941406,18.53125,12.0,-8.65625,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645172959,-0.6113281,0.1875,0.5761719,21.15625,62.34375,-14.5625,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173002,-1.2470703,0.16210938,0.8017578,-14.84375,50.4375,15.09375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173049,-1.0019531,0.19628906,0.2734375,-3.125,53.25,0.875,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173072,-0.9267578,0.14746094,0.28710938,32.71875,72.0,1.71875,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173117,-0.78222656,0.203125,0.15332031,18.46875,56.625,-7.25,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173162,-0.94921875,0.087890625,0.25976562,21.53125,70.28125,1.59375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173208,-0.95703125,0.09277344,0.18359375,26.125,57.46875,3.875,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173252,-0.8388672,0.12109375,0.20507812,26.90625,62.21875,-10.78125,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173274,-0.75390625,0.024414062,0.048828125,20.9375,63.4375,-11.8125,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
1633645173320,-0.7998047,0.068359375,0.0859375,30.8125,65.40625,-23.34375,0.0,0.0,0.0,Thingy,Climbing stairs,12,s2211228,,Thingy_s2211228_Climbing stairs_07-10-2021_23-20-08
