timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1633277939719,0.4580078,0.36132812,-0.8222656,1.75,1.375,-0.1875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939759,0.44726562,0.35546875,-0.8144531,1.3125,1.25,-0.1875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939799,0.4423828,0.36328125,-0.8105469,1.03125,0.75,0.125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939842,0.44921875,0.36328125,-0.8105469,1.125,0.6875,0.53125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939881,0.44726562,0.3515625,-0.8222656,0.78125,0.5625,0.46875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939940,0.44140625,0.36328125,-0.8261719,0.96875,0.375,0.0,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277939959,0.45507812,0.359375,-0.81347656,0.53125,0.3125,-0.5,45.125,-16.0,-204.5,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277940000,0.44628906,0.35351562,-0.82910156,0.28125,0.09375,-0.375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277940039,0.44335938,0.3564453,-0.82910156,0.03125,0.21875,0.0625,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277940080,0.45214844,0.36621094,-0.81347656,-0.4375,0.03125,0.53125,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277940121,0.44726562,0.34765625,-0.8144531,-0.3125,0.21875,0.59375,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
1633277940180,0.4501953,0.35058594,-0.828125,-0.375,0.03125,0.1875,0.0,0.0,0.0,Thingy,Sitting bent forward,4,s2212045,,Thingy_s2212045_Sitting bent forward_03-10-2021_17-19-36
