timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632939104336,0.82470703,-0.4656372,0.2387085,2.328125,-0.125,1.171875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104373,0.8405762,-0.49591064,0.24188232,-0.5625,-0.671875,1.0,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104410,0.87890625,-0.49664307,0.26068115,-8.734375,-6.25,-0.328125,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104449,0.9304199,-0.55474854,0.3319702,-28.46875,-13.703125,0.265625,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104485,1.1027832,-0.38824463,0.20062256,-55.375,-17.234375,-4.0,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104535,0.9042969,-0.33673096,0.24285889,-9.359375,-7.265625,-11.484375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104575,0.91748047,-0.4968872,0.3727417,11.84375,-11.40625,-15.734375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104612,0.7055664,-0.2883911,0.22869873,-29.34375,-35.53125,-27.265625,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104649,0.7883301,-0.40386963,0.3439331,3.96875,-39.65625,-27.46875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104686,0.8322754,-0.4487915,0.46209717,1.484375,-43.671875,-23.5625,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104723,0.7548828,-0.44244385,0.44769287,-10.078125,-49.703125,-21.6875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104773,0.49389648,-0.46295166,0.527771,8.65625,-41.859375,-18.96875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104811,0.5283203,-0.5161743,0.60443115,11.078125,-42.59375,-18.515625,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104851,0.49121094,-0.52178955,0.6696167,14.6875,-34.640625,-16.078125,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104887,0.39941406,-0.5125122,0.71136475,11.109375,-32.9375,-17.328125,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104923,0.35742188,-0.5342407,0.80633545,22.109375,-24.046875,-18.34375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939104960,0.32641602,-0.59161377,0.65960693,-2.34375,-25.4375,-20.1875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105011,0.3203125,-0.5757446,0.7501831,32.796875,-18.796875,-24.921875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105049,0.20507812,-0.76104736,0.67059326,36.078125,-9.046875,-26.0,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105085,0.109375,-0.8049927,0.67401123,26.4375,-3.0,-29.796875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105125,0.1184082,-0.77716064,0.5009155,21.59375,7.4375,-26.421875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105162,0.17749023,-0.77593994,0.5565796,49.109375,10.53125,-20.859375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105199,0.14257812,-0.82818604,0.4401245,63.796875,16.1875,-17.59375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105237,0.03955078,-0.850647,0.31292725,74.265625,24.1875,-11.5,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105289,0.16455078,-0.8526001,0.2645874,64.921875,15.34375,-4.734375,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105325,0.28808594,-0.92803955,0.24139404,72.59375,21.15625,7.96875,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105361,0.11035156,-0.92755127,0.09637451,77.71875,24.015625,14.78125,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
1632939105400,0.107910156,-1.0498657,-0.15240479,88.3125,16.25,23.28125,Respeck,Movement,9,s2254050,,Respeck_s2254050_Movement_29-09-2021_19-12-14
