timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632939716507,-0.2685547,0.9277344,0.2705078,0.75,-0.5,0.46875,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716557,-0.2685547,0.9326172,0.27539062,0.0625,-1.0,0.28125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716583,-0.25683594,0.92089844,0.28710938,-0.28125,-1.0625,0.28125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716633,-0.26464844,0.9326172,0.27148438,-0.28125,-0.6875,0.03125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716682,-0.27246094,0.92578125,0.27734375,-0.34375,-0.625,0.40625,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716709,-0.2626953,0.9355469,0.2685547,-0.09375,-0.5,0.8125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716756,-0.26660156,0.9355469,0.265625,0.0625,-0.0625,0.8125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716782,-0.26757812,0.9345703,0.26171875,-0.03125,-0.125,0.71875,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716832,-0.27148438,0.9277344,0.2841797,-0.34375,-0.1875,0.09375,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716907,-0.26757812,0.92089844,0.27539062,-0.28125,-0.125,0.15625,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716910,-0.26367188,0.9238281,0.27539062,-0.40625,-0.625,-0.03125,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716958,-0.265625,0.93359375,0.2861328,0.25,0.09375,-0.15625,-4.9375,19.8125,-122.4375,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
1632939716983,-0.26757812,0.92578125,0.28027344,-0.09375,-0.375,0.65625,0.0,0.0,0.0,Thingy,Lying down left,7,s2254050,,Thingy_s2254050_Lying down left_29-09-2021_19-22-26
