timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664728701852,0.3251953,-0.41436768,-0.862854,-0.5625,0.53125,-0.421875,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728701867,0.3173828,-0.41436768,-0.8543091,-0.5,0.359375,-0.484375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728701911,0.32177734,-0.41314697,-0.86431885,-0.453125,0.375,-0.390625,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728701987,0.31835938,-0.40704346,-0.85943604,-0.4375,0.125,-0.296875,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728701989,0.31567383,-0.4102173,-0.8596802,-0.21875,0.421875,-0.4375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702047,0.32226562,-0.40948486,-0.8562622,-0.40625,0.34375,-0.4375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702062,0.32470703,-0.4138794,-0.8508911,-0.09375,0.453125,-0.34375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702107,0.32666016,-0.40631104,-0.8616333,-0.296875,0.375,-0.34375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702167,0.31982422,-0.39923096,-0.8557739,-0.390625,0.546875,-0.265625,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702182,0.31982422,-0.41314697,-0.85821533,-0.25,0.34375,-0.421875,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
1664728702228,0.32739258,-0.40826416,-0.86505127,-0.109375,0.546875,-0.375,Respeck,Lying down on stomach,8,s1941321,,Respeck_s1941321_Lying down on stomach_02-10-2022_17-38-58
