timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664877330321,-0.036132812,-0.986145,-0.07110596,0.125,0.25,-0.234375,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330367,-0.037109375,-0.986145,-0.07623291,-0.234375,0.390625,0.234375,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330397,-0.04345703,-0.991272,-0.074035645,0.328125,0.25,0.078125,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330441,-0.03881836,-0.9944458,-0.06402588,0.15625,0.046875,-0.015625,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330472,-0.05029297,-0.99053955,-0.08013916,0.3125,0.140625,-0.171875,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330517,-0.04248047,-0.987854,-0.07525635,-0.078125,0.09375,-0.171875,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330561,-0.040283203,-0.99346924,-0.07623291,0.359375,0.03125,-0.4375,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330592,-0.041503906,-0.99713135,-0.074523926,-0.09375,-0.03125,0.390625,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330636,-0.037597656,-0.9924927,-0.08453369,-0.3125,0.328125,-0.296875,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330682,-0.043701172,-0.99713135,-0.074523926,-0.25,-0.015625,-0.15625,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330712,-0.044189453,-0.9859009,-0.0869751,-0.25,0.578125,-0.296875,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330756,-0.03881836,-0.99298096,-0.07696533,0.234375,1.078125,0.15625,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
1664877330802,-0.045410156,-0.9981079,-0.07354736,0.1875,0.515625,-0.265625,Respeck,Standing,100,s1941321,,Respeck_s1941321_Standing_04-10-2022_10-56-06
