"# PDIoT walking data"
"# Start time: 20180921T124839"
"# Group: B"
"# Subject:  Walking up stairs, 30"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper arm"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1537530519484","0","0.97265625","0.057617188","-0.24511719","-19.03125","-9.5","-10.15625"
"1537530519677","1","0.9140625","0.13769531","-0.33203125","-17.375","-28.96875","-15.3125"
"1537530519678","2","0.7910156","0.2841797","-0.49023438","-45.09375","-80.71875","-21.21875"
"1537530519679","3","0.9345703","0.2548828","-0.40722656","-83.96875","-92.875","-46.65625"
"1537530519679","4","1.1748047","0.37402344","-0.20117188","-42.03125","-105.375","-68.34375"
"1537530519876","5","1.1650391","0.46875","-0.359375","-52.46875","-124.0625","-87.875"
"1537530519877","6","1.1972656","0.33789062","-0.38378906","-41.0","-123.75","-101.90625"
"1537530519877","7","1.0439453","0.47558594","-0.47558594","-22.6875","-112.46875","-115.875"
"1537530519877","8","0.92871094","0.72558594","-0.46191406","-24.09375","-93.78125","-109.46875"
"1537530519878","9","0.7763672","0.5957031","-0.45410156","-7.46875","-74.0625","-108.75"
"1537530520074","10","0.6611328","0.42578125","-0.40039062","-43.5625","-49.53125","-88.90625"
"1537530520075","11","0.578125","0.40625","-0.49121094","-36.09375","-39.34375","-68.53125"
"1537530520077","12","0.5595703","0.38671875","-0.49316406","-35.625","-24.875","-56.75"
"1537530520077","13","0.48535156","0.296875","-0.5136719","1.75","-8.09375","-36.34375"
"1537530520077","14","0.32226562","0.29003906","-0.38476562","3.6875","7.40625","-11.75"
"1537530520275","15","0.38085938","0.5439453","-0.39941406","-32.5625","1.59375","7.78125"
"1537530520275","16","0.48632812","0.53222656","-0.546875","15.21875","10.9375","24.75"
"1537530520275","17","0.5996094","0.5078125","-0.5605469","33.53125","28.78125","39.6875"
"1537530520275","18","0.5957031","1.2431641","-0.9169922","37.1875","4.59375","40.96875"
"1537530520276","19","0.7265625","1.0185547","-0.7060547","34.4375","9.40625","11.6875"
"1537530520472","20","0.6816406","-0.296875","-0.49023438","118.25","61.90625","12.28125"
"1537530520473","21","0.98046875","0.88671875","-0.8730469","-4.25","40.375","96.75"
"1537530520473","22","0.9580078","0.43164062","-0.39160156","63.625","53.84375","72.03125"
"1537530520473","23","0.87109375","-0.0068359375","-0.64746094","67.96875","37.5625","65.28125"
"1537530520474","24","0.87109375","0.2578125","-0.5292969","9.375","80.59375","87.375"
"1537530520671","25","0.8125","0.21484375","-0.49804688","5.40625","54.9375","83.40625"
"1537530520671","26","0.78515625","0.14257812","-0.5410156","11.25","57.625","72.59375"
"1537530520671","27","0.7939453","0.15527344","-0.41015625","31.875","65.75","70.53125"
"1537530520672","28","0.76660156","0.15820312","-0.41503906","49.78125","65.9375","61.96875"
"1537530520673","29","0.8183594","0.28808594","-0.53222656","45.5625","54.84375","49.8125"
"1537530520872","30","0.76953125","0.30566406","-0.42089844","28.46875","38.03125","17.53125"
"1537530520872","31","1.0458984","0.016601562","-0.54003906","29.9375","24.3125","10.65625"
"1537530520872","32","1.1279297","-0.080078125","-0.4765625","72.0625","35.375","6.0625"
"1537530520872","33","1.34375","-0.056640625","-0.30273438","114.03125","51.96875","26.75"
"1537530520873","34","1.2216797","0.11425781","-0.265625","84.3125","82.0","37.6875"
"1537530521072","35","1.0429688","0.37597656","-0.328125","17.40625","65.09375","32.25"
"1537530521072","36","0.78222656","0.4033203","-0.60546875","-23.15625","7.71875","5.28125"
"1537530521072","37","0.76171875","0.3779297","-0.4169922","47.28125","-21.21875","-55.53125"
"1537530521073","38","0.8466797","0.39941406","-0.5048828","-1.25","-103.5625","-104.71875"
"1537530521073","39","1.5996094","0.3310547","-0.16699219","-50.28125","-117.28125","-143.78125"
"1537530521268","40","1.4414062","-0.048828125","-0.15429688","-41.40625","-131.625","-157.03125"
"1537530521269","41","1.1875","0.26660156","-0.26367188","29.6875","-134.8125","-186.1875"
"1537530521269","42","0.96777344","0.1953125","-0.3857422","69.3125","-109.0","-147.8125"
"1537530521269","43","0.80566406","0.4375","-0.3544922","-36.53125","-92.5625","-116.96875"
"1537530521269","44","0.703125","0.2529297","-0.23535156","-60.8125","-49.40625","-91.15625"
"1537530521468","45","0.6044922","-0.005859375","-0.45214844","-38.375","-50.8125","-59.59375"
"1537530521468","46","0.45703125","0.021484375","-0.44726562","-37.03125","-14.6875","-23.40625"
"1537530521665","47","0.4638672","0.0234375","-0.27441406","-10.90625","11.5","-1.0"
"1537530521666","48","0.37402344","0.25878906","-0.5654297","23.90625","2.71875","36.53125"
"1537530521666","49","0.5341797","0.58496094","-0.5576172","67.53125","43.78125","55.75"
"1537530521667","50","0.7792969","0.11816406","-0.7314453","96.34375","75.59375","71.125"
"1537530521668","51","1.2011719","1.0117188","-0.6230469","58.8125","70.5625","77.0625"
"1537530521668","52","0.7890625","0.087890625","-0.42871094","29.6875","62.40625","37.8125"
