"# PDIoT walking data"
"# Start time: 20181002T130336"
"# Group: F"
"# Subject: Paulius"
"# Activity type: Walking (level ground)"
"# Sensor position: Upper arm"
"# Side of body: Right"
"# Sensor mounting: Body"
"# Number of steps: 100"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1538481816476","0","0.9267578","-0.21191406","-0.2939453","-1.4375","-0.71875","0.0"
"1538481816477","1","0.9189453","-0.21289062","-0.30078125","-0.46875","-2.3125","-0.5625"
"1538481816477","2","0.9189453","-0.20898438","-0.29882812","-0.21875","-2.625","-1.21875"
"1538481816477","3","0.92089844","-0.22949219","-0.28808594","4.34375","-5.96875","-0.4375"
"1538481816477","4","0.8935547","-0.21191406","-0.31445312","2.34375","-5.71875","-0.8125"
"1538481816478","5","0.8964844","-0.11816406","-0.37304688","0.375","-0.46875","-5.9375"
"1538481816480","6","0.984375","-0.25195312","-0.296875","4.59375","2.875","1.71875"
"1538481816480","7","0.8828125","-0.18652344","-0.32617188","-0.46875","1.71875","-3.375"
"1538481816480","8","0.9326172","-0.1875","-0.31835938","2.34375","-0.40625","-3.375"
"1538481816674","9","0.92285156","-0.21777344","-0.2939453","7.28125","-3.28125","-2.875"
"1538481816675","10","0.90527344","-0.20117188","-0.296875","10.59375","-6.46875","-3.4375"
"1538481816676","11","0.9199219","-0.19335938","-0.31347656","13.5625","-5.96875","-4.40625"
"1538481817072","12","0.92871094","-0.21386719","-0.30566406","14.4375","-4.3125","-3.4375"
"1538481817075","13","0.9111328","-0.21679688","-0.3076172","12.15625","-3.09375","-3.84375"
"1538481817075","14","0.91308594","-0.21386719","-0.31054688","9.3125","-2.375","-4.46875"
"1538481817075","15","0.91796875","-0.22167969","-0.3203125","5.4375","-1.75","-5.0625"
"1538481817076","16","0.92089844","-0.21972656","-0.30664062","1.96875","-2.0","-4.8125"
"1538481817076","17","0.9042969","-0.20605469","-0.29296875","-1.3125","-0.96875","-5.125"
"1538481817076","18","0.91796875","-0.1796875","-0.3076172","-1.03125","0.625","-8.1875"
