timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1632913637803,-0.61816406,-0.38964844,0.59765625,-1.9375,5.0625,3.375,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913637832,-0.7050781,-0.4423828,0.6347656,-1.65625,-2.09375,-0.53125,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913637862,-0.68359375,-0.44628906,0.57421875,0.4375,0.53125,-0.96875,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913637923,-0.6767578,-0.47265625,0.5996094,0.1875,-1.84375,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913637952,-0.6464844,-0.47460938,0.6201172,2.25,2.4375,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913638044,-0.64746094,-0.45410156,0.5996094,0.125,0.1875,-1.34375,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913638048,-0.64941406,-0.46484375,0.59765625,0.6875,-1.46875,-2.5,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913638103,-0.65722656,-0.46191406,0.62109375,-0.0625,-1.09375,-0.90625,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913638111,-0.66015625,-0.45703125,0.609375,-0.34375,-0.4375,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
1632913638161,-0.6640625,-0.453125,0.625,0.875,-0.0625,-0.59375,0.0,0.0,0.0,Thingy,Sitting,0,s1718069,,Thingy_s1718069_Sitting_29-09-2021_12-07-48
