# Sensor position: Wrist
# Sensor side: Right
# Activity type: Standing
# Activity code: 100
# Subject id: s1768094
timestamp,seq,accel_x,accel_y,accel_z
1601413768313,0,-1.0473633,-0.11090088,-0.18658447
1601413768315,1,-1.0490723,-0.11553955,-0.18365479
1601413768317,2,-1.0441895,-0.10626221,-0.1885376
1601413768320,3,-1.0488281,-0.09429932,-0.1873169
1601413768322,4,-1.0549316,-0.09674072,-0.18365479
1601413768325,5,-1.0539551,-0.105529785,-0.1885376
1601413768327,6,-1.0549316,-0.11090088,-0.18756104
1601413768328,7,-1.0566406,-0.09039307,-0.19073486
1601413768329,8,-1.0541992,-0.089660645,-0.1963501
1601413768337,9,-1.0512695,-0.097229004,-0.19317627
1601413768339,10,-1.0512695,-0.093322754,-0.190979
1601413768340,11,-1.0515137,-0.08892822,-0.19537354
1601413768340,12,-1.0483398,-0.093566895,-0.19683838
1601413768340,13,-1.0466309,-0.09283447,-0.1921997
1601413768340,14,-1.0549316,-0.089660645,-0.19610596
1601413768341,15,-1.0441895,-0.10015869,-0.19146729
1601413768342,16,-1.050293,-0.08917236,-0.19244385
1601413768344,17,-1.0524902,-0.074035645,-0.21173096
1601413768345,18,-1.0603027,-0.07965088,-0.20245361
1601413768346,19,-1.0461426,-0.113098145,-0.18511963
1601413768347,20,-1.0473633,-0.10699463,-0.17901611
1601413768348,21,-1.0529785,-0.09136963,-0.19586182
1601413768349,22,-1.0529785,-0.1026001,-0.19122314
1601413768349,23,-1.0527344,-0.11114502,-0.190979
1601413768350,24,-1.0454102,-0.097229004,-0.19586182
1601413768352,25,-1.0439453,-0.081604004,-0.20196533
1601413768353,26,-1.0583496,-0.089660645,-0.20391846
1601413768354,27,-1.0441895,-0.097229004,-0.19952393
1601413768355,28,-1.0361328,-0.14019775,-0.16949463
1601413768356,29,-1.0490723,-0.10015869,-0.18951416
1601413768357,30,-1.0510254,-0.12799072,-0.190979
1601413768358,31,-1.050293,-0.14068604,-0.16900635
1601413770863,32,-1.046875,-0.15093994,-0.1638794
1601413770866,33,-1.0568848,-0.15631104,-0.1765747
1601413770871,34,-1.0629883,-0.1482544,-0.16583252
1601413770875,35,-1.0561523,-0.17364502,-0.1296997
1601413770879,36,-1.0410156,-0.21343994,-0.11920166
1601413770883,37,-1.0483398,-0.18682861,-0.14068604
1601413770886,38,-1.0400391,-0.17779541,-0.14801025
1601413770888,39,-1.0476074,-0.17803955,-0.13873291
